,fire_name,fire_size,fire_cause,latitude,longitude,state,discovery_month,year,putout_time,Vegetation,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont,remoteness
89,SWEETBAY 1,1.0,Other,25.334719,-80.80555600000001,FL,Apr,1992,0,12,21.40113154,22.19745042,23.98895706,0.0,5.189533239,5.180169972,5.328220859,0.0,70.96676301,73.53977273,75.15337423,0.0,0.0,0.0,0.0,0.0,0.131003293445296
91,RL278,20.0,Other,47.8666,-94.9169,MN,Apr,2000,0,15,-0.139007092,1.805633803,0.581818182,0.0,4.160795455,5.004225352,5.346060606,0.0,61.94460227,62.53802817,61.57575758,0.0,21.0,18.0,12.7,0.0,0.2465745578827336
95,FY2015-LAURENS-107,4.0,Debris Burning,32.25136667,-82.91357222,GA,Jan,2015,0,12,8.147935035,8.484572491,8.01547619,0.0,1.737633411,1.7823420069999998,2.370833333,0.0,60.78588808,60.89057751,62.28686327,0.0,0.0,0.0,0.0,0.0,0.1439278422115411
97,FY2011-HARRIS-024,9.94,Debris Burning,32.78947346,-84.84721729,GA,Feb,2011,0,12,9.430668127,11.39900498,16.46974359,0.0,2.727601314,2.445273632,2.281538462,0.0,68.88056206,60.87531172,66.01025641,0.0,96.5,8.1,0.0,0.0,0.1608674518866872
98,HAMMER CREEK,26.0,Accidental,45.76867435,-116.3321016,ID,Aug,2012,0,15,21.5948324,21.20505618,20.58231707,0.0,0.564106145,0.538764045,0.513414634,0.0,58.11033520000001,57.84269663,59.5,0.0,0.0,0.0,0.0,0.0,0.4550891494307116
111,FY2001-DADE-041,3.4,Arson,34.9102,-85.4287,GA,Mar,2001,0,16,9.76573499,9.725373134,8.141935484,0.0,3.2640625,3.456465517,4.412962963,0.0,66.86682243,65.30751174,67.18055556,0.0,305.5,196.5,102.0,0.0,0.1646940623147792
114,WABANA POWERLINE,2.0,Utilities,47.41333333,-94.49,MN,Mar,1998,0,15,-2.428571429,-4.907284768,-10.43478261,0.0,3.833282675,4.442715232,3.891304348,0.0,74.28658537,68.84333333,62.87681159,0.0,0.0,0.0,0.0,0.0,0.2426723339716054
115,FY2012-COWETA-020,5.2,Other,33.42630321,-84.92522609999999,GA,Apr,2012,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1611297655602113
119,EIGHT MILE,2.0,Accidental,37.1575,-107.0202778,CO,Sep,2008,3,0,8.664914586,7.032212885,6.604060914,6.0382165610000005,4.722141918999999,4.633613445,3.873857868,6.91910828,40.75965379,37.54297994,35.34010152,53.36305732,0.0,0.0,0.0,0.0,0.3660826818678131
121,OLD ELK,1.0,Other,45.5639,-107.4868,MT,Oct,1995,0,15,14.04709141,9.798333333,12.51904762,0.0,2.866445183,2.727333333,2.600714286,0.0,57.01502504,60.87878788,53.05,0.0,23.0,23.0,0.0,0.0,0.36726205791625
123,BALL,3.0,Lightning,36.0602,-118.0965,CA,Jul,2003,2,0,33.90123457,35.44444444,35.10714286,34.5,4.684710744,4.325,4.509090909,4.572222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4769991839981995
124,WHITFIELD RD.,1.0,Arson,34.8839,-98.2039,OK,Aug,2011,0,16,33.97345013,34.19567568,34.41666667,0.0,3.947843666,4.2013513510000005,3.982142857,0.0,37.33962264,37.63513514,36.39880952,0.0,0.8,0.0,0.0,0.0,0.2826857602442385
130,NICHOLS,78.0,Arson,36.78186,-96.004014,OK,Dec,2013,0,0,0.269237833,0.3441340779999999,-2.034069401,0.0,2.04214876,2.018249534,1.700630915,0.0,77.41107185,80.88157895,88.90733591,0.0,18.9,14.8,13.0,0.0,0.260836229987279
131,MULTIPLE,3.0,Arson,33.2892,-110.4575,AZ,May,2006,0,16,24.38005502,26.35081967,27.86300578,0.0,4.2039889960000005,4.290163934,4.902312139,0.0,16.61019284,17.05737705,20.53179191,0.0,1.1,0.6,0.3,0.0,0.4022346600857496
133,FY2000-STEWART-045,1.23,Other,32.0988,-84.7623,GA,Mar,2000,0,12,14.88989784,15.37817797,14.83275109,0.0,2.976027397,3.1441364610000004,3.882743363,0.0,66.19035847,69.26607539,69.8411215,0.0,114.7,87.9,69.6,0.0,0.1605963665451146
139,LASILOO,1.0,Accidental,35.0623,-108.8434,NM,May,1997,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3851686196017032
142,LAKERIDGE1,1.0,Lightning,33.9848,-110.0857,AZ,Jul,1997,0,16,26.63636364,26.79,26.08510638,0.0,4.91010101,4.841,5.017021277,0.0,19.66161616,21.71,24.44680851,0.0,2.0,2.0,2.0,0.0,0.3980950892780281
146,AGARD,1.0,Debris Burning,46.1144,-100.6923,ND,Apr,2001,0,9,-1.333333333,-0.153203343,-0.05988024,0.0,3.925558659,4.10027933,4.186144578,0.0,76.08645533,70.22126437,70.06289308,0.0,2.6,2.3,1.3,0.0,0.301474802346217
154,LINDEN - 411,1.0,Other,33.58500167,-95.08555556,TX,Aug,2011,0,16,32.62925012,33.66106443,33.09325397,0.0,1.862785282,1.851727358,2.143849206,0.0,46.36376339,41.1914099,41.41666667,0.0,0.0,0.0,0.0,0.0,0.2542088211236235
157,BUCK LAKE,9.1,Accidental,29.1325,-81.62,FL,May,2015,0,12,23.9530451,25.38432836,26.05645161,0.0,2.731174278,2.619662921,2.93959596,0.0,72.50804829,74.23092170000001,73.06289308,0.0,0.0,0.0,0.0,0.0,0.1348264311774838
165,HOLZERS,17.9,Accidental,48.0443,-118.3853,WA,May,2001,0,15,12.35106383,14.43589744,12.16666667,0.0,2.196153846,3.0521739130000003,3.145454545,0.0,57.91025641,49.91304348,52.72727273,0.0,25.1,17.5,17.5,0.0,0.4754027581898195
173,WLDFR-BOYE,40.0,Utilities,41.533,-96.0333,NE,Aug,2002,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2588358689611001
187,FRIEBORN,1.5,Lightning,33.7319444,-109.026667,NM,Jul,2010,3,16,24.02811671,24.79572193,25.51436782,26.13095238,3.772413793,3.532352941,3.047126437,4.513095238,28.45949535,33.35294118,40.27011494,46.64285714,0.8,0.8,0.8,11.2,0.3878281738083908
192,LONESOME,1.0,Lightning,40.22861111,-120.6713889,CA,Jun,2006,1,14,11.74899058,13.26522327,15.78106509,14.75,1.548317631,1.4974289580000002,1.11035503,1.102083333,61.60083682,60.52248062,58.56089744,62.88888889,2.5,2.5,0.0,0.0,0.5011084791821621
193,FY2014-BLECKLEY-006,10.0,Arson,32.51734167,-83.2437,GA,Dec,2013,0,12,11.56821378,12.44159544,8.580912863,0.0,2.082512893,1.915194682,1.846058091,0.0,70.15806662,76.58732612,70.85279188,0.0,0.0,0.0,0.0,0.0,0.1466857763978688
199,CROOKED RD,2.0,Debris Burning,42.9758,-108.9493,WY,Mar,2006,0,4,-4.752636719,1.062383178,3.549494949,0.0,2.566113281,3.0901869160000004,3.756060606,0.0,58.96285435,50.18501171,43.13131313,0.0,31.5,1.5,1.5,0.0,0.3823820474380426
219,FY2012-FULTON SOUTH-002,6.0,Other,33.55983163,-84.47725968,GA,Nov,2011,0,16,14.91270023,12.08337182,11.12663317,0.0,2.241990847,1.793533487,1.4693467340000002,0.0,70.96440873,72.03488372,71.30612245,0.0,34.8,17.8,1.5,0.0,0.1570137205854405
220,FY2015-TREUTLEN-022,0.8,Debris Burning,32.45075,-82.61933333,GA,Dec,2014,0,12,11.23170732,11.6038961,7.799603175,0.0,1.898634146,1.474489796,1.818452381,0.0,71.51806491,72.87644342,67.85513078,0.0,0.0,0.0,0.0,0.0,0.141160670333434
222,8.52014E+12,5.0,Accidental,31.55336502,-90.38181672,MS,Nov,2014,0,12,11.3474026,8.625231911,12.27435388,0.0,2.223886827,2.612801484,2.222266402,0.0,66.80668127,66.46703911,68.21428571,0.0,0.0,0.0,0.0,0.0,0.2120601734587761
225,LEYBA,1.0,Other,35.5773,-106.3884,NM,Jan,1996,0,15,-1.181147541,0.0,0.0,0.0,4.26147541,0.0,0.0,0.0,51.14285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3608299295520969
227,INDIAN CREEK,46.4,Arson,37.73305556,-91.075,MO,Mar,2012,0,0,4.907527881,7.051948052,8.305555556,0.0,3.316968852,3.796750232,4.527777778,0.0,64.06889952,54.50473485,46.87698413,0.0,46.2,22.4,13.5,0.0,0.2145037092842483
230,BURLINGTON ROAD (39),1.0,Arson,30.3595,-84.8169,FL,Jun,2015,0,12,26.41514523,26.84,28.04398148,0.0,2.52195122,2.045196507,2.301869159,0.0,72.25556734,73.86681223,71.71495327,0.0,220.2,139.6,49.4,0.0,0.1624007292139953
232,WEST HUNGRYLAND (43),76.0,Lightning,27.0042,-80.3196,FL,Jul,2015,0,12,25.88221884,25.90976331,25.728125,0.0,2.158599696,1.96735905,1.74984326,0.0,79.37366003,80.0044843,80.19242902,0.0,0.0,0.0,0.0,0.0,0.1251510307054246
236,GREEN MOUNTAIN,510.0,Lightning,47.95055556,-115.6347222,MT,Aug,2000,18,15,25.93277311,27.51515152,28.54166667,21.98275862,2.486324786,2.2953125,2.270833333,2.660344828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4476025693539021
237,LUCKY2,30.0,Utilities,34.197,-103.532,NM,Mar,2011,0,16,11.2238806,13.30769231,16.4,0.0,5.811940299,6.128205127999999,6.3875,0.0,28.17910448,23.03846154,22.725,0.0,0.0,0.0,0.0,0.0,0.3340096913726771
241,1448 LIBERTY CHURCH RD.,1.0,Debris Burning,36.0107,-80.650283,NC,Jan,2015,0,0,5.867725919,0.0,0.0,0.0,1.526017875,0.0,0.0,0.0,78.76666667,0.0,0.0,0.0,39.7,0.0,0.0,0.0,0.1213598340723935
261,BANNING LANE,5.0,Arson,35.34527778,-82.63527778,NC,May,2006,1,15,16.81509795,15.95551257,15.2327044,16.75,1.394457716,1.503288201,1.526205451,2.81875,66.23065550000001,69.49512671,61.81341719,47.390625,0.0,0.0,0.0,0.0,0.1393861218551078
262,YATSATTIE,15.0,Debris Burning,34.8834,-109.034,NM,Mar,1996,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3871542684643707
266,MARSHMELLO,3.0,Accidental,43.255,-100.8376,SD,May,2002,0,9,8.912280702,6.94375,8.09047619,0.0,6.020350877,5.775,5.335714286,0.0,61.40078844,63.8175,64.56741573,0.0,68.1,65.0,43.9,0.0,0.3036802720230633
269,212DAYSCHL,168.3,Other,45.0917,-100.4587,SD,Apr,1992,0,9,4.304545455,6.434328357999999,7.965714286,0.0,5.13030303,5.219402985,5.122857143,0.0,59.93181818,50.01492537,45.54285714,0.0,0.0,0.0,0.0,0.0,0.2995062100566414
274,VALLEY 2,1.3,Other,33.50411,-116.3795,CA,Oct,2013,5,16,18.60167785,17.35140187,17.41745283,13.17653631,1.93557047,2.238317757,2.402830189,2.894382022,58.16484848,52.57212714,50.33678756,68.92655367,0.0,0.0,0.0,27.9,0.4612355740522211
286,LONG  CYN.,5.2,Lightning,33.7556,-109.6509,AZ,Jun,2005,3,16,16.59636872,18.67226891,17.09090909,17.56132075,4.586219739,4.902987862,5.270909091,6.702830189,35.27061015,35.72523364,35.43838384,30.04245283,0.0,0.0,0.0,0.0,0.3939582478635892
290,BLUEBELLSP,3.0,Lightning,39.4555,-109.9757,UT,Aug,1996,0,0,26.37894737,24.46341463,23.05882353,0.0,2.076842105,2.263414634,2.347058824,0.0,41.35789474,49.12195122,49.76470588,0.0,0.0,0.0,0.0,0.0,0.3939250170951713
291,COWHOUSE ISLAND 1,29.0,Arson,31.0201,-82.23888889,GA,Apr,2006,16,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1388270409937599
297,ELIZABETH STREET,1.0,Lightning,39.28266823,-80.58605765,WV,Apr,1995,0,0,10.8684435,9.959183673,12.69115044,0.0,3.11684435,3.337142857,3.714159292,0.0,43.23409669,44.45918367,29.625,0.0,0.0,0.0,0.0,0.0,0.1190527112701793
308,FREEWAY 2,8.0,Other,39.951177,-122.200397,CA,May,2014,0,0,18.33741393,20.44186047,19.78733032,0.0,3.448578017,2.965333333,3.323636364,0.0,47.31500393,39.53936348,52.24423963,0.0,0.0,0.0,0.0,0.0,0.5169308264175019
312,WENDY,3.0,Other,35.92829376,-119.3128859,CA,Jun,1999,0,15,21.85877318,23.52492669,25.91428571,0.0,2.695577746,2.639002933,2.781142857,0.0,37.90442225,36.82991202,36.22285714,0.0,0.0,0.0,0.0,0.0,0.4894498767334381
313,CREW CAB,1.0,Utilities,46.1525,-100.6915,ND,May,2005,0,9,8.762987737000001,6.695475113,2.457943925,0.0,5.76477146,5.626244344,6.230841121,0.0,54.86241611,51.63122172,55.09813084,0.0,51.8,9.2,1.0,0.0,0.3014581870491482
318,ELK TRACE,9.0,Accidental,37.7073881,-81.73046153,WV,May,2014,0,0,13.88100559,15.70593407,16.20193237,0.0,3.958108108,4.000441501,3.985436893,0.0,54.1463964,56.73951435,55.99029126,0.0,53.2,30.3,4.6,0.0,0.1299865007721712
319,FY2002-FLOYD-087,9.77,Debris Burning,34.4816,-85.1115,GA,Apr,2002,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1621090790503823
323,FIGHTER,4.5,Arson,48.8525,-99.685,ND,Oct,2006,0,15,12.73972868,11.27167969,13.71446809,0.0,4.985645005,5.72578125,5.46893617,0.0,68.63189569,68.9739479,61.06382979,0.0,29.5,25.7,3.3,0.0,0.291362207306082
338,HONDO,2.0,Lightning,35.6845,-106.5517,NM,Jul,2001,1,15,20.5,21.125,26.0,0.0,4.866666667,3.35,3.1,0.0,37.66666667,52.5,28.0,0.0,0.0,0.0,0.0,0.0,0.3623568554325755
344,LEFT HAND,2.0,Lightning,33.77555556,-108.8855556,NM,Nov,2013,0,16,9.757039187,9.229551451,6.705882353,0.0,3.025726744,3.199736148,3.036898396,0.0,41.74563953,46.97889182,52.27807487,0.0,15.2,13.7,12.4,0.0,0.3864116504135366
357,UPS FIRE,1.0,Debris Burning,35.6995,-80.25333333,NC,Apr,2010,0,15,12.57722008,14.11724806,17.51143451,0.0,1.3764478759999998,1.65125969,1.063617464,0.0,58.98604911,59.12717391,53.87982833,0.0,0.0,0.0,0.0,0.0,0.1180362007557749
361,FY2016-HOUSTON-003,4.89,Debris Burning,32.37227778,-83.84344444,GA,Aug,2015,0,12,27.90471254,27.55888325,26.67259036,0.0,2.425754717,2.405423729,1.985240964,0.0,72.58578680000001,74.83804143,78.5,0.0,19.3,16.0,15.7,0.0,0.1521547062121024
368,1603 17 MILE FIRE,4.2,Debris Burning,42.9808,-108.4483,WY,Apr,2012,0,4,8.291103604,8.397396963,5.42173913,0.0,4.492298981,4.690611354,4.075982533,0.0,38.23216308,40.22489083,49.6069869,0.0,17.4,17.4,17.4,0.0,0.3774589159374497
377,SENECA FIRE,2.2,Debris Burning,38.86861111,-79.36194444,WV,Apr,2009,2,0,7.713532513,8.528944381,7.514285714,9.403669725,1.335383714,1.59568672,0.451190476,0.155963303,61.81389870000001,60.6009122,62.80238095,63.51428571,0.0,0.0,0.0,0.0,0.1084531228262617
382,SHEEP PASTURE ROAD FIRE,2.0,Debris Burning,35.12,-77.83833333,NC,Apr,2010,0,15,15.527390900000002,17.641527,20.79759519,0.0,1.801021356,1.713873371,0.705410822,0.0,58.45755473,57.92401216,55.85520362,0.0,0.0,0.0,0.0,0.0,0.0971625642740896
384,TOWN HILL,1.0,Debris Burning,37.10551834,-82.8234024,KY,Dec,2013,0,0,3.244621141,2.762664165,1.777777778,0.0,3.205004677,3.582082552,4.204166667,0.0,68.46410442,68.01929825,63.35795455,0.0,0.0,0.0,0.0,0.0,0.1400410206112583
385,9N CORN,470.0,Utilities,42.2017,-96.5558,NE,Mar,2010,0,9,2.12681669,4.234074074,6.06468254,0.0,3.797515237,4.196574074,4.668253968,0.0,78.82154341,71.08534323,63.68452381,0.0,5.6,0.5,0.0,0.0,0.2634855151153379
389,FY2014-WALKER-051,8.71,Accidental,34.67888889,-85.30972222,GA,Apr,2014,0,16,10.11024436,10.46093458,10.86403162,0.0,2.187511826,2.519318182,3.141463415,0.0,69.61987041,68.27234927,64.34934498,0.0,238.0,142.8,34.0,0.0,0.1637680142564319
396,SHAWN,4.9,Debris Burning,48.8655,-99.8528,ND,Apr,2010,0,15,5.941639648,8.467099166,9.848906561,0.0,5.103942486,5.076508821,3.274051896,0.0,58.85946197,53.82265552,48.43712575,0.0,47.3,23.1,0.0,0.0,0.2929564751840856
401,SQUAWCREEK,32.4,Lightning,41.2352,-116.7362,NV,Jul,2001,1,15,29.24183007,30.85135135,29.03448276,27.11111111,4.374,3.969863014,4.739285714,4.811111111000001,17.06,21.42465753,33.0,37.77777778,0.0,0.0,0.0,0.0,0.4606533913802617
407,10316,15.0,Lightning,34.41000001,-95.91016668,OK,Jun,2009,0,16,24.66878669,27.10721248,28.31707317,0.0,2.154397233,2.196831683,2.139837398,0.0,72.68441273,74.18459916,70.23870968,0.0,0.0,0.0,0.0,0.0,0.2613862463907999
419,ROLLF,1.0,Arson,39.936181,-122.09345,CA,Aug,2004,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5158369078627127
421,FLAT TOP,1.0,Arson,35.7239,-94.5942,OK,Nov,2008,0,15,9.762695776,6.724170616,5.5975609760000005,0.0,2.62586616,2.319241706,1.993902439,0.0,62.41984334,57.58605664,55.96,0.0,0.0,0.0,0.0,0.0,0.2482595837950465
424,GABLE FIRE,656.0,Utilities,34.8,-102.24,TX,Jul,2011,0,16,28.4452182,28.80277778,28.74404762,0.0,5.2136026,4.579907407,4.243055556,0.0,33.30536131,35.8962963,38.73015873,0.0,0.0,0.0,0.0,0.0,0.3211932712657261
439,COON CREEK FIRE,15.0,Debris Burning,37.10174179,-83.29543304,KY,Apr,2013,1,0,4.742282507,4.384044527,4.8111332010000005,5.591549296,2.078890456,2.169953488,1.803386454,1.985714286,67.29130435,68.45183044,74.33755274,47.1,0.0,0.0,0.0,0.0,0.1442580853792219
441,OAK,3.0,Utilities,38.886764,-123.16392,CA,Oct,2009,0,0,18.11330749,14.81461538,12.07871287,0.0,1.3751937980000002,1.545384615,1.088613861,0.0,52.75398936,51.26756757,58.14285714,0.0,0.3,0.0,0.0,0.0,0.5273652849121566
445,ADA STROUD RD FIRE,1.0,Accidental,35.36848333,-77.94196666,NC,Mar,2010,0,15,9.370060923,12.60490694,12.02472325,0.0,2.980765883,2.515736041,2.699630996,0.0,58.5671406,55.70491803,59.13475177,0.0,57.2,21.0,10.8,0.0,0.0979164033188904
455,SWEENEY,10.0,Accidental,37.21778,-87.73299,KY,Mar,2012,1,0,12.10450231,14.97069444,13.86884921,11.07118056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1841991915309835
462,WARD ROAD,1.5,Other,46.38,-120.337,WA,Jun,2007,0,9,18.53682353,17.7028169,19.00753769,0.0,3.280196802,3.172048193,3.25257732,0.0,45.55842558,47.33012048,44.29896907,0.0,6.4,1.4,0.0,0.0,0.4956296560361821
464,96,1.0,Arson,47.9783,-99.0225,ND,Apr,2007,0,15,-1.37564645,-2.86972821,-1.735059761,0.0,5.796229972000001,6.056619717999999,5.2156,0.0,72.39124227,65.80432738,57.604,0.0,21.2,12.5,0.0,0.0,0.2852066737854397
470,CADE,1.0,Debris Burning,41.81416667,-123.35833329999998,CA,Jun,2005,0,15,13.49457672,13.66272494,11.83786982,0.0,3.1058201060000004,3.140359897,3.0112426039999995,0.0,63.75629139,63.03608247,59.31360947,0.0,26.3,7.6,0.0,0.0,0.5280936571717687
474,SHEEP,0.6,Lightning,34.33805556,-117.7088889,CA,Jul,2011,1,16,21.0,21.0,0.0,0.0,2.6,2.6,0.0,0.0,78.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4741295275066108
482,THUMB,1.0,Lightning,35.06555556,-112.0052778,AZ,May,2001,0,15,15.34555556,18.68709677,28.9,0.0,3.801111111,3.703225806,7.2,0.0,41.35555556,37.74193548,18.0,0.0,5.6,1.5,0.0,0.0,0.416416398838074
486,HOPE RD FIRE,3.8,Lightning,34.383334999999995,-80.966667,SC,Jul,2011,0,16,27.95972696,28.08231707,28.0,0.0,2.3621843,2.323272358,2.020240964,0.0,53.00204778,54.82418699,53.47710843,0.0,0.0,0.0,0.0,0.0,0.1251640706558876
489,FY2011-UPSON-070,2.45,Debris Burning,32.84417763,-84.40365152,GA,Apr,2011,0,12,13.30962343,14.96265173,11.62828283,0.0,2.6820548580000003,2.442296919,2.028888889,0.0,70.14821029,70.56183746,82.52040816,0.0,0.0,0.0,0.0,0.0,0.1568441449371005
494,ZURFLUH GRASS FIRE,1.68,Debris Burning,44.69583,-122.72389,OR,Aug,2014,0,15,21.10714286,21.20018536,21.63817097,0.0,3.774524362,3.655380334,3.539960239,0.0,61.83519034,60.3463324,58.33466135,0.0,1.6,0.0,0.0,0.0,0.5205759301880752
501,FY2011-GLYNN-044,2.2,Lightning,31.27108084,-81.46903512,GA,Jun,2011,1,12,24.90509584,26.07786116,25.83266932,29.37142857,2.589060309,2.253939962,2.303984064,3.434285714,68.29145978,68.97025641,67.91341991,63.9,0.0,0.0,0.0,0.0,0.1317947260004877
504,FY2012-STEPHENS-013,0.75,Debris Burning,34.51570968,-83.35523917,GA,Apr,2012,0,16,16.14093649,16.42685185,16.59722222,0.0,2.099026426,2.139444444,2.989880952,0.0,50.18830084,53.93727811,44.06352941,0.0,0.0,0.0,0.0,0.0,0.1463328540476784
508,MM 141,1.0,Other,40.62478,-118.22181,NV,Jul,2014,1,15,27.44635083,27.20460358,24.38604651,29.732,3.445725389,3.412176166,2.998224852,3.2375,24.44836601,27.10817942,30.03680982,14.91666667,1.3,1.3,1.3,0.0,0.4759560222942425
509,SURVEY,1.0,Other,44.29277778,-111.2758333,ID,Sep,2000,1,15,9.785046729,9.229166667,3.791666667,0.5,2.728037383,2.227083333,2.4625,2.05,63.86666667,61.64583333,71.125,59.75,47.8,3.6,3.6,0.0,0.4049254722154451
525,DOOLEN'S RIDGE,29.0,Arson,35.0192,-96.6255,OK,Mar,2013,1,15,6.8777985070000005,7.828971963,4.163021869,8.450704225,4.228311567,3.86411215,4.177534791,5.895774648,63.62540021,62.51434644,65.68058968,47.61971831,0.0,0.0,0.0,0.0,0.2677170736744372
