,fire_name,veg_label
486,HOPE RD FIRE,Secondary Tropical Evergreen Broadleaf Forest
489,FY2011-UPSON-070,Open Shrubland
494,ZURFLUH GRASS FIRE,Polar Desert/Rock/Ice
501,FY2011-GLYNN-044,Open Shrubland
504,FY2012-STEPHENS-013,Secondary Tropical Evergreen Broadleaf Forest
508,MM 141,Polar Desert/Rock/Ice
509,SURVEY,Polar Desert/Rock/Ice
525,DOOLEN'S RIDGE,Polar Desert/Rock/Ice
528,109,Other
531,BROKEN AXLE FIRE,Secondary Tropical Evergreen Broadleaf Forest
538,RL007,Polar Desert/Rock/Ice
542,JOHN VANN,Polar Desert/Rock/Ice
545,FY2015-BALDWIN-004,Secondary Tropical Evergreen Broadleaf Forest
547,VOLT CIRCLE,Polar Desert/Rock/Ice
552,RIVER,Open Shrubland
564,CEDAR GAP,Other
566,LIVINGSTON - 226,Open Shrubland
589,OTA 14,C3 Grassland/Steppe
597,NAVAJO 1,Polar Desert/Rock/Ice
599,44,Other
603,SECO,Other
604,CROCKER 2,Polar Desert/Rock/Ice
608,BAR,Other
614,CAL-PAC 17,Polar Desert/Rock/Ice
621,5.92014E+12,Open Shrubland
624,RL385,Polar Desert/Rock/Ice
625,FY2014-LAMAR-007,Secondary Tropical Evergreen Broadleaf Forest
626,1019,Other
627,DAILY,Polar Desert/Rock/Ice
630,LIMPY,Polar Desert/Rock/Ice
632,CARVER CEMETERY,Other
633,WILLOW CREEK,Polar Desert/Rock/Ice
636,FOURMILE,Polar Desert/Rock/Ice
640,WILSON,Polar Desert/Rock/Ice
641,MILE MARKER FIVE 5,Other
642,OLD HWY 27,Other
644,FY2002-DOOLY-024,Open Shrubland
646,CHRISTOPHER,Secondary Tropical Evergreen Broadleaf Forest
647,PGE #2,Other
648,CON6029750,Polar Desert/Rock/Ice
654,KENSINGTON,Other
662,CIG,Open Shrubland
668,FY2002-TAYLOR-040,Open Shrubland
670,HELPMEJACK LAKES,Other
676,BOULDER,C3 Grassland/Steppe
684,WEITAS,Polar Desert/Rock/Ice
685,RUSH FK.,Other
697,SHOE,Temperate Evergreen Needleleaf Forest TmpENF
700,#9,Secondary Tropical Evergreen Broadleaf Forest
711,OTA 127,C3 Grassland/Steppe
714,BALLI,Open Shrubland
715,21007,Other
721,SHIPROCK 1,Other
722,DOYLE,Other
725,52,Other
730,PHOEBE ISLAND,Polar Desert/Rock/Ice
734,ARLENE,Open Shrubland
744,57,Polar Desert/Rock/Ice
751,FENCEMAKER,Desert
755,493,Open Shrubland
761,FY2000-POLK-105,Secondary Tropical Evergreen Broadleaf Forest
769,LICK CREEK,Polar Desert/Rock/Ice
775,FY2000-GRADY-073,Open Shrubland
779,18TH AVE NE (11),Open Shrubland
788,CARROL FIRE,Open Shrubland
791,6.12015E+12,Open Shrubland
804,FY2015-SEMINOLE-001,Open Shrubland
808,COLUMBIA,Polar Desert/Rock/Ice
811,2360 NORTH,Open Shrubland
817,POWERPLANT,Temperate Evergreen Needleleaf Forest TmpENF
818,SKU CANAL,Polar Desert/Rock/Ice
826,FY2002-CARROLL-037,Secondary Tropical Evergreen Broadleaf Forest
834,BRIMESTONE,Other
838,OLD TIMER,C3 Grassland/Steppe
847,PEARL DRIVE,Secondary Tropical Evergreen Broadleaf Forest
848,T,Polar Desert/Rock/Ice
858,BAX23614311,Other
860,CLARK,Other
866,RL439,Polar Desert/Rock/Ice
873,WOOD CANYON COMPLEX,Open Shrubland
874,762,Open Shrubland
886,TRIBAL,Polar Desert/Rock/Ice
888,JACK,Secondary Tropical Evergreen Broadleaf Forest
890,WHITNEY PASS,Other
892,OGEMAW 02 - DECKERVILLE,Polar Desert/Rock/Ice
898,TURNER CREEK,Polar Desert/Rock/Ice
900,BUTTERFIELD,Secondary Tropical Evergreen Broadleaf Forest
904,EASTER,Other
909,CUMARO,Open Shrubland
919,30311,Polar Desert/Rock/Ice
921,9.2014E+11,Secondary Tropical Evergreen Broadleaf Forest
922,HONEY SPRINGS,Polar Desert/Rock/Ice
925,COUNTY ROAD 31  / COUNTY,Other
928,MT ZION,Open Shrubland
932,COTTONWOOD,Polar Desert/Rock/Ice
933,EAGLE SPRINGS SANDPIT,Polar Desert/Rock/Ice
937,HORSE,Secondary Tropical Evergreen Broadleaf Forest
947,SNOW FALLS FIRE,C3 Grassland/Steppe
953,CORNPATCH,Secondary Tropical Evergreen Broadleaf Forest
956,FY2000-WAYNE-046,Open Shrubland
970,HORSE PASTURE FIRE,Other
974,HUBBARD LN,C3 Grassland/Steppe
977,021 DAY OFF,Open Shrubland
984,RAT RIVER,C3 Grassland/Steppe
988,CARPFARM,Polar Desert/Rock/Ice
994,15-0052,Other
1001,18TH DRIVE,C3 Grassland/Steppe
1006,FY2011-TWIGGS-040,Open Shrubland
1008,FIFTEENTH,Other
1010,CACTUS;S,C3 Grassland/Steppe
1013,HICKEY,Other
1016,GENE,Other
1017,READING,Polar Desert/Rock/Ice
1018,CURTIS ROAD,Polar Desert/Rock/Ice
1022,ROCK,C3 Grassland/Steppe
1023,382,Open Shrubland
1030,20034,Secondary Tropical Evergreen Broadleaf Forest
1031,WILKEY RD. 11/22/14,Polar Desert/Rock/Ice
1035,WALKER,Polar Desert/Rock/Ice
1040,SELECK (64),Open Shrubland
1041,MAUER,Polar Desert/Rock/Ice
1042,30117,Polar Desert/Rock/Ice
1045,"361 NEWTON HILL RD., AL",Open Shrubland
1056,TWP ROR,Other
1062,LEONS,Polar Desert/Rock/Ice
1083,SCATWIL 01,Polar Desert/Rock/Ice
1086,FAREWELL,Polar Desert/Rock/Ice
1087,NYGARD,Polar Desert/Rock/Ice
1089,JEEP TRAIL,Other
1093,DEAD MAN,Polar Desert/Rock/Ice
1097,MOORE,Other
1099,COLE CREEK,Polar Desert/Rock/Ice
1101,RED LAKE 178,Polar Desert/Rock/Ice
1103,LENA,Secondary Tropical Evergreen Broadleaf Forest
1104,JAKE,Other
1113,JAZZY GIRL,Polar Desert/Rock/Ice
1122,GOOD LUCK,C3 Grassland/Steppe
1127,CHUI CHU,Open Shrubland
1129,551 JARVISBURG RD,Other
1131,TEN MILE,Other
1140,FY2001-PULASKI-038,Open Shrubland
1145,MILE POST 6 FIRE,Open Shrubland
1151,DALY,Polar Desert/Rock/Ice
1153,JOLLY RODGER,Polar Desert/Rock/Ice
1158,515,Other
1172,FOWLERS FIRE,Open Shrubland
1180,HILL,Other
1182,PEONY,Polar Desert/Rock/Ice
1197,SIMMONS POND FIRE,Secondary Tropical Evergreen Broadleaf Forest
1199,RED WILLOW,Polar Desert/Rock/Ice
1207,MUSKEGON 03,C3 Grassland/Steppe
1210,WESTON HILLS,Polar Desert/Rock/Ice
1211,2011-CARUSO FIRE-0106,Open Shrubland
1212,LONG BRANCH,Other
1213,DEEP CREEK,Open Shrubland
1214,FY2001-BRANTLEY-088,Open Shrubland
1215,STOCKDALE,C3 Grassland/Steppe
1235,CHANDALAR,Other
1236,WILLIAM SMITH ROAD,Other
1247,FY2014-LOWNDES-009,Open Shrubland
1251,BOULDER-WYMAN,C3 Grassland/Steppe
1260,4TH OF JULY,Secondary Tropical Evergreen Broadleaf Forest
1261,REBURN,C3 Grassland/Steppe
1271,H HOLLOW 2,Other
1276,8054,Open Shrubland
1277,UNNAMED FIRE 1981,Other
1285,STERLING FIRE,Polar Desert/Rock/Ice
1291,OLD WHETSTONE,Other
1294,MURPH,Polar Desert/Rock/Ice
1297,FY2012-DECATUR-001,Open Shrubland
1304,DEER LAKE,Other
1308,6272,Open Shrubland
1309,HIDDEN AGENDA,Polar Desert/Rock/Ice
1310,POPLAR,C3 Grassland/Steppe
1312,RL059,Polar Desert/Rock/Ice
1323,DONUT,C3 Grassland/Steppe
1327,BLUE,Secondary Tropical Evergreen Broadleaf Forest
1328,UNIT 48,Polar Desert/Rock/Ice
1334,LINDEN - 6283,Secondary Tropical Evergreen Broadleaf Forest
1336,HENDERSON - 385,Open Shrubland
1338,RL37,Polar Desert/Rock/Ice
1339,WOODVILLE - 200,Open Shrubland
1340,HURRICANE ASST. #3,Other
1351,OTA 11,C3 Grassland/Steppe
1357,REICHWEIN RD,Polar Desert/Rock/Ice
1368,FY2013-BULLOCH-053,Open Shrubland
1370,BROOLYN BRIDGE,Open Shrubland
1375,MCNIGHT FIRE,Open Shrubland
1376,"LOST CREEK RD, AL",Secondary Tropical Evergreen Broadleaf Forest
1383,WHITE BODY,Polar Desert/Rock/Ice
1393,CAYUSE,C3 Grassland/Steppe
1399,UNKNOWN,Other
1406,LAGUNA,Open Shrubland
1416,LONGHOLL2,Polar Desert/Rock/Ice
1423,RL192,Polar Desert/Rock/Ice
1430,CANADA,Other
1432,FY2015-COWETA-013,Secondary Tropical Evergreen Broadleaf Forest
1436,LIVINGSTON - 231,Open Shrubland
1441,DEEP LAKE,Open Shrubland
1454,HIDDEN VALLEY,Temperate Evergreen Needleleaf Forest TmpENF
1455,MS2003,Polar Desert/Rock/Ice
1459,BIRTHDAY (38),Open Shrubland
1466,AIRPORT,Secondary Tropical Evergreen Broadleaf Forest
1474,LA PLATA 3,Other
1480,SLICK CREEK 8,C3 Grassland/Steppe
1482,HORSE STABLE,Other
1489,SOME KUDZU,Other
1496,RL489,Polar Desert/Rock/Ice
1512,8017,Open Shrubland
1518,FLEMING,Other
1519,WHEAT,Secondary Tropical Evergreen Broadleaf Forest
1520,STATE,Secondary Tropical Evergreen Broadleaf Forest
1522,RT 10 NEAR SAND CREEK,Other
1523,LIVESTOCK YARD,Polar Desert/Rock/Ice
1528,FITZHUGH WILLIAMS LN,Secondary Tropical Evergreen Broadleaf Forest
1529,VALLEY CRK 184,Polar Desert/Rock/Ice
1531,OWL SPRINGS 1,Other
1536,HAWK CREEK,C3 Grassland/Steppe
1539,RADIO RANGE,Secondary Tropical Evergreen Broadleaf Forest
1542,HONDAH,Secondary Tropical Evergreen Broadleaf Forest
1543,LIVINGSTON - 52,Open Shrubland
1555,PETERSONII,Polar Desert/Rock/Ice
1564,H. GROUND,Secondary Tropical Evergreen Broadleaf Forest
1565,RIDGE,Other
1566,MOSQUITO CREEK,Other
1567,11-00098,Polar Desert/Rock/Ice
1568,"9769 HWY 159, AL",Secondary Tropical Evergreen Broadleaf Forest
1583,HOLIDAY,Polar Desert/Rock/Ice
1585,FY2013-DECATUR-006,Open Shrubland
1593,GOOD FRIDAY,Polar Desert/Rock/Ice
1599,PENNER POND 21,Open Shrubland
1604,RL636,Polar Desert/Rock/Ice
1608,SAPLIN HEAD,Open Shrubland
1610,WEBB ROAD,Other
1613,GREEN PASTURES FIRE,Other
1620,GARDEN BURNER,Other
1624,HOURGLASS,Desert
1626,LIME KILN #1,C3 Grassland/Steppe
1629,MELTON 1,Polar Desert/Rock/Ice
1633,30463,Polar Desert/Rock/Ice
1634,JOSHUA,Open Shrubland
1639,15-0156,Other
1642,FY2012-DOOLY-025,Open Shrubland
1643,JOHN STARR,Polar Desert/Rock/Ice
1665,17-PILGRIM TRAIL FIRE-0309,Open Shrubland
1669,C-1 WASH,Secondary Tropical Evergreen Broadleaf Forest
1670,LAWN MOWER MAN,Polar Desert/Rock/Ice
1673,FIRE BALL,Open Shrubland
1677,LEWIN,Secondary Tropical Evergreen Broadleaf Forest
1681,BIG HLW 2,Secondary Tropical Evergreen Broadleaf Forest
1687,MERRIWEATHER,Open Shrubland
1688,BANKS,Polar Desert/Rock/Ice
1694,A. J. LANE,Secondary Tropical Evergreen Broadleaf Forest
1695,FY2011-CALHOUN-034,Open Shrubland
1705,HEISLER RD (32),Open Shrubland
1707,OTA 11,C3 Grassland/Steppe
1710,ASH,Other
1711,RUUD,Polar Desert/Rock/Ice
1712,LESLIE,Other
1713,KING RUN ROAD,Other
1714,DEAD CALF,Polar Desert/Rock/Ice
1717,STONE HOUSE RD.,Other
1718,WALATOWA,Polar Desert/Rock/Ice
1719,CAP1,Secondary Tropical Evergreen Broadleaf Forest
1720,MULE PASS,Open Shrubland
1737,WINNIE DAM #1,Polar Desert/Rock/Ice
1751,SECTION 30,Polar Desert/Rock/Ice
1755,ANDERSONBR,Polar Desert/Rock/Ice
1761,FY2014-MACON-010,Open Shrubland
1762,NORTH BEAVER CREEK,Other
1764,"27301 CORD 32, AL",Open Shrubland
1772,B FIREHOLE,Polar Desert/Rock/Ice
1776,BOLGER FIRE,Polar Desert/Rock/Ice
1788,008-032,Polar Desert/Rock/Ice
1791,TH1815,Polar Desert/Rock/Ice
1792,FY2015-EARLY-015,Open Shrubland
1794,FY2012-MERIWETHER-006,Open Shrubland
1795,NOT READY,Open Shrubland
1797,LINDEN - 235,Open Shrubland
1811,CAN,Polar Desert/Rock/Ice
1817,RT301EAST,Polar Desert/Rock/Ice
1818,BUTTERMILK,Polar Desert/Rock/Ice
1819,"1724 ROBERTSMILL POND RD, AL",Secondary Tropical Evergreen Broadleaf Forest
1835,MHM SE 36,Other
1837,JACK KNIFE II,Polar Desert/Rock/Ice
1852,JEFFERSON,Polar Desert/Rock/Ice
1855,PAPOOSE,C3 Grassland/Steppe
1861,WESTWATER 1,Other
1869,DEER VALLEY FIRE,Other
1870,RL212,Polar Desert/Rock/Ice
1878,35 E,Open Shrubland
1881,EUCALYPTUS 2 (26),Open Shrubland
1882,WATER TOWER,Secondary Tropical Evergreen Broadleaf Forest
1883,NESP DUMP,Polar Desert/Rock/Ice
1892,STEAMHOLLO,Other
1898,HARMON II,Other
1902,DITCH,Secondary Tropical Evergreen Broadleaf Forest
1906,17 - HWY 90 FIRE,Open Shrubland
1909,LOST 2,Other
1913,30445,Polar Desert/Rock/Ice
1922,(OK) LARSONS (746),Open Shrubland
1923,RED HOUSE 2,Polar Desert/Rock/Ice
1926,15-BLUE DUCK FIRE SET 2-0121,Open Shrubland
1939,FY2015-RANDOLPH-009,Open Shrubland
1945,MS2208,Polar Desert/Rock/Ice
1949,UPO,C3 Grassland/Steppe
1955,RED LAKE 069,Polar Desert/Rock/Ice
1959,FY2003-BARTOW-006,Secondary Tropical Evergreen Broadleaf Forest
1961,8TH HOLE,Other
1962,SNIDER,Polar Desert/Rock/Ice
1971,FRANKS RD FIRE,Open Shrubland
1974,SQUIRREL,Secondary Tropical Evergreen Broadleaf Forest
1985,FOWLER CREEK,Polar Desert/Rock/Ice
1986,DENNY,Polar Desert/Rock/Ice
1988,FY2002-BULLOCH-137,Open Shrubland
1989,FAIRVIEW,Secondary Tropical Evergreen Broadleaf Forest
1994,TOWNHALL,C3 Grassland/Steppe
1997,BARNES FIRE,Other
1999,7055,Open Shrubland
2000,ALCHESAY,Secondary Tropical Evergreen Broadleaf Forest
2005,RIVERA,Polar Desert/Rock/Ice
2012,TUTON,Secondary Tropical Evergreen Broadleaf Forest
2014,WOHLFORD 3,Secondary Tropical Evergreen Broadleaf Forest
2015,17CALIBER,Polar Desert/Rock/Ice
2019,1191,Other
2023,JENKINS FORK #2,Other
2026,R7,Polar Desert/Rock/Ice
2027,2NDCHANCE,C3 Grassland/Steppe
2028,FY2013-PIERCE-004,Open Shrubland
2032,FY2012-BULLOCH-044,Open Shrubland
2056,30157,Polar Desert/Rock/Ice
2059,HOTSPRINGS,C3 Grassland/Steppe
2061,SCHOLHOUSE,Secondary Tropical Evergreen Broadleaf Forest
2077,CENTURY,Secondary Tropical Evergreen Broadleaf Forest
2089,TOAD,Other
2101,JIM CREEK,Polar Desert/Rock/Ice
2103,FIVE STAR,Other
2108,HENDERSON - 068,Open Shrubland
2118,LMU LGT 56,Polar Desert/Rock/Ice
2119,SUNDANCE,Other
2122,GARCIA 2,Other
2124,SHELL,Secondary Tropical Evergreen Broadleaf Forest
2125,W.PRYORS,C3 Grassland/Steppe
2126,LOVE CEM. RD.,Other
2128,4.72014E+12,Open Shrubland
2129,BALL HILL,Other
2131,CR 392 (07),Open Shrubland
2135,RL036,Polar Desert/Rock/Ice
2138,KENTON,Secondary Tropical Evergreen Broadleaf Forest
2143,HAZ HOGS,C3 Grassland/Steppe
2157,BLACK CREEK,Secondary Tropical Evergreen Broadleaf Forest
2159,HORSESHOE LAKE,Polar Desert/Rock/Ice
2168,AIRPORT 1,Polar Desert/Rock/Ice
2170,THIRTY,Other
2184,TWO FINGER,Other
2195,PARKER CANYON,Open Shrubland
2202,20126,Secondary Tropical Evergreen Broadleaf Forest
2203,05-02-NOV/MORRIS FIRE-1807,Open Shrubland
2205,HAMPTON 5 (53),Open Shrubland
2213,RUBY,Other
2227,CUTTING TORCH FIRE,Polar Desert/Rock/Ice
2231,SLASH,Temperate Evergreen Needleleaf Forest TmpENF
2232,RL037,Polar Desert/Rock/Ice
2234,PINE WOOD (5),Open Shrubland
2235,RL 337,Polar Desert/Rock/Ice
2238,HWY. 157,Polar Desert/Rock/Ice
2243,EL MIRAGE,Secondary Tropical Evergreen Broadleaf Forest
2248,FFS 136/ 184 WF,Open Shrubland
2256,LAWN CHAIR,Polar Desert/Rock/Ice
2260,NO ACCESS,Secondary Tropical Evergreen Broadleaf Forest
2261,CEDAR CANYON,Other
2268,SPAR PEAK,Polar Desert/Rock/Ice
2270,COUNTY LINE,Secondary Tropical Evergreen Broadleaf Forest
2273,NORTHCINDR,C3 Grassland/Steppe
2292,TREE,Polar Desert/Rock/Ice
2300,CALPAC4,Polar Desert/Rock/Ice
2301,415 POWERLINES (64),Open Shrubland
2302,LOUISIANA MAN,Open Shrubland
2304,FY2000-GORDON-066,Secondary Tropical Evergreen Broadleaf Forest
2317,ORGAN,Open Shrubland
2326,POTTER 2,Polar Desert/Rock/Ice
2327,WHITE,Polar Desert/Rock/Ice
2328,IRON HAWK,C3 Grassland/Steppe
2329,COOPERS CR.,Polar Desert/Rock/Ice
2336,25 MILE II,Polar Desert/Rock/Ice
2354,RND BALE 2,Polar Desert/Rock/Ice
2355,(MA) ROSEMARY ONE (433),Open Shrubland
2357,NE 30136,Polar Desert/Rock/Ice
2360,7059,Open Shrubland
2362,COOPER CREEK,Polar Desert/Rock/Ice
2363,VAN10310565,Polar Desert/Rock/Ice
2368,ARMIGO,Secondary Tropical Evergreen Broadleaf Forest
2371,WNA 19,Other
2374,77TH RD(61),Open Shrubland
2378,LINDEN - 6147,Open Shrubland
2391,FLARE,Polar Desert/Rock/Ice
2407,MOSS SPRINGS,C3 Grassland/Steppe
2436,POWERLINES,Temperate Evergreen Needleleaf Forest TmpENF
2440,INVERNESS (26),Open Shrubland
2443,REFUSED FIRE,Polar Desert/Rock/Ice
2445,PRIVATE FARM RD,Other
2449,STILES COMPLEX,Open Shrubland
2453,FY2000-MILLER-047,Open Shrubland
2458,LONG BRANCH,Open Shrubland
2470,FY2001-DECATUR-053,Open Shrubland
2471,FY2002-FLOYD-044,Secondary Tropical Evergreen Broadleaf Forest
2474,CACHE,Polar Desert/Rock/Ice
2477,MOSS BUFF 18,Open Shrubland
2478,BUNYARD,Polar Desert/Rock/Ice
2488,MOSELEY MOUNTAIN FIRE,Other
2492,JOHN DEERE,Polar Desert/Rock/Ice
2496,MACK LAKE,Open Shrubland
2499,EJ RANCH,Open Shrubland
2500,S5WEST BOUINK MTN,Other
2501,OAK II,Other
2513,TALLULAH RIVER #3,Secondary Tropical Evergreen Broadleaf Forest
2516,CARIBOU,Polar Desert/Rock/Ice
2521,LITTLE SAL,Other
2527,NEVADA.,Other
2533,FLATIRON,C3 Grassland/Steppe
2534,LILLIAN,Polar Desert/Rock/Ice
2546,ROLLOVER CREEK,Polar Desert/Rock/Ice
2547,LONG POND,Other
2553,DUNN,Polar Desert/Rock/Ice
2558,DUMP,Secondary Tropical Evergreen Broadleaf Forest
2560,OREO LANE,Polar Desert/Rock/Ice
2563,1058,Open Shrubland
2569,BARE MT,Other
2570,FY2002-HOUSTON-037,Open Shrubland
2571,HUNSINGER,Polar Desert/Rock/Ice
2579,COYOTE,Polar Desert/Rock/Ice
2582,LUCY BROOK,Polar Desert/Rock/Ice
2583,RUNNER,C3 Grassland/Steppe
2595,OTA 144,C3 Grassland/Steppe
2600,FY2012-GRADY-023,Open Shrubland
2613,VALDEZ FIRE,Polar Desert/Rock/Ice
2615,RIGHT FLAN,Other
2621,A1302056,C3 Grassland/Steppe
2622,3RD KENNDEY,Polar Desert/Rock/Ice
2630,GREENBRIAR ESTATES  (55),Open Shrubland
2641,MINE,Other
2648,ALDRICH BRANCH #2,Other
2650,PARKER,C3 Grassland/Steppe
2657,FALKOR,C3 Grassland/Steppe
2659,R182,Polar Desert/Rock/Ice
2660,LEWIS,Secondary Tropical Evergreen Broadleaf Forest
2661,JONES LOOP 485,Polar Desert/Rock/Ice
2674,SCONA LODGE,Polar Desert/Rock/Ice
2687,HASTINGS,Secondary Tropical Evergreen Broadleaf Forest
2692,FY2011-COFFEE-066,Open Shrubland
2693,SUMMIT,Other
2705,SAND CREEK,C3 Grassland/Steppe
2708,OLD AIRPORT 3,Polar Desert/Rock/Ice
2712,FY2011-CLAY-025,Open Shrubland
2714,R16,Polar Desert/Rock/Ice
2722,SHIPROCK01,Other
2725,BEN SPRINGS,Polar Desert/Rock/Ice
2736,SLADE ROAD,Other
2739,SHOCKEY,Open Shrubland
2740,RRMP415,C3 Grassland/Steppe
2749,OAK,Other
2751,TP,Polar Desert/Rock/Ice
2753,SABAL PALM (11),Open Shrubland
2757,10517,Secondary Tropical Evergreen Broadleaf Forest
2763,KOELLING,Secondary Tropical Evergreen Broadleaf Forest
2766,30389,Other
2774,9.12014E+12,Open Shrubland
2782,340 N. OLDENWAY,C3 Grassland/Steppe
2787,KEE FIRE,Polar Desert/Rock/Ice
2788,KEELING,Open Shrubland
2795,HENDERSON - 7111,Open Shrubland
2800,MACHINE,Other
2803,BLUEJAY 97,Open Shrubland
2816,JOHNSONVILLE SCHOOL ROAD 2,Polar Desert/Rock/Ice
2817,BACHELOR CREEK,Other
2830,WAGON WHEEL,Open Shrubland
2832,FY2014-OCONEE-001,Secondary Tropical Evergreen Broadleaf Forest
2833,SPLINTER,C3 Grassland/Steppe
2837,AIRPORT,Secondary Tropical Evergreen Broadleaf Forest
2838,FY2013-RICHMOND-011,Secondary Tropical Evergreen Broadleaf Forest
2845,BALFOUR 2,Other
2849,CRA13818841,Polar Desert/Rock/Ice
2859,FY2002-BULLOCH-125,Open Shrubland
2860,OR-MAF-2014-14410,Polar Desert/Rock/Ice
2864,COTTONWD#2,C3 Grassland/Steppe
2866,JOHNNY,Other
2868,RL520,Polar Desert/Rock/Ice
2872,FY2012-BLECKLEY-008,Open Shrubland
2878,ROLLER COASTER,Polar Desert/Rock/Ice
2887,SALT CREEK,C3 Grassland/Steppe
2902,FY2001-MILLER-032,Open Shrubland
2905,TWIN PEAKS,Other
2924,TUBE,Secondary Tropical Evergreen Broadleaf Forest
2925,FIXICO,Secondary Tropical Evergreen Broadleaf Forest
2929,MT. MISERY,Secondary Tropical Evergreen Broadleaf Forest
2932,INC 194,Polar Desert/Rock/Ice
2934,COORS FIRE,Secondary Tropical Evergreen Broadleaf Forest
2948,RODGERS CREEK,Polar Desert/Rock/Ice
2951,PRAIRIE,Secondary Tropical Evergreen Broadleaf Forest
2960,BROCKTON,Polar Desert/Rock/Ice
2966,SCISSORS,Secondary Tropical Evergreen Broadleaf Forest
2974,CLARE 12,C3 Grassland/Steppe
2975,FY2013-MACON-014,Open Shrubland
2978,IRONWOOD DR. FIRE,Polar Desert/Rock/Ice
2979,BLACKHAWK,Open Shrubland
