,fire_index,fire_size,fire_cause,latitude,longitude,discovery_month,putout_time,Temp_cont,Wind_cont,Hum_cont,Prec_cont,year
27,125,1.5,Arson,31.4636,-81.3551,Jul,0,0.0,0.0,0.0,0.0,1996
28,126,15.0,Arson,34.80025167,-89.65493016,May,0,0.0,0.0,0.0,0.0,1996
29,127,4.0,Lightning,45.63666667,-106.0383333,Jun,1,0.0,0.0,0.0,0.0,1994
30,130,78.0,Arson,36.78186,-96.004014,Dec,0,0.0,0.0,0.0,0.0,2013
31,131,3.0,Arson,33.2892,-110.4575,May,0,0.0,0.0,0.0,0.0,2006
32,139,1.0,Accidental,35.0623,-108.8434,May,0,0.0,0.0,0.0,0.0,1997
33,142,1.0,Lightning,33.9848,-110.0857,Jul,0,0.0,0.0,0.0,0.0,1997
34,146,1.0,Debris Burning,46.1144,-100.6923,Apr,0,0.0,0.0,0.0,0.0,2001
35,148,3.0,Debris Burning,34.301426,-79.426903,Mar,0,0.0,0.0,0.0,0.0,2014
36,157,9.1,Accidental,29.1325,-81.62,May,0,0.0,0.0,0.0,0.0,2015
37,165,17.9,Accidental,48.0443,-118.3853,May,0,0.0,0.0,0.0,0.0,2001
38,170,4.0,Arson,33.310308,-87.777564,Apr,0,0.0,0.0,0.0,0.0,2008
39,173,40.0,Utilities,41.533,-96.0333,Aug,0,0.0,0.0,0.0,0.0,2002
40,175,1.74,Utilities,42.82194189,-73.35379719,Apr,0,0.0,0.0,0.0,0.0,2005
41,187,1.5,Lightning,33.7319444,-109.026667,Jul,3,26.13095238,4.513095238,46.64285714,11.2,2010
42,192,1.0,Lightning,40.22861111,-120.6713889,Jun,1,14.75,1.102083333,62.88888889,0.0,2006
43,193,10.0,Arson,32.51734167,-83.2437,Dec,0,0.0,0.0,0.0,0.0,2013
44,197,3.06,Accidental,33.71,-84.2811,Mar,0,0.0,0.0,0.0,0.0,1994
45,199,2.0,Debris Burning,42.9758,-108.9493,Mar,0,0.0,0.0,0.0,0.0,2006
46,204,1.0,Utilities,42.68452,-97.4667,Apr,0,0.0,0.0,0.0,0.0,2015
47,206,1.03,Debris Burning,32.0471,-83.6526,Jun,0,0.0,0.0,0.0,0.0,1996
48,217,2.0,Arson,33.483334,-79.349998,Nov,0,0.0,0.0,0.0,0.0,2012
49,220,0.8,Debris Burning,32.45075,-82.61933333,Dec,0,0.0,0.0,0.0,0.0,2014
50,221,2.4,Arson,41.85472222,-77.70888889,Apr,0,0.0,0.0,0.0,0.0,2003
51,222,5.0,Accidental,31.55336502,-90.38181672,Nov,0,0.0,0.0,0.0,0.0,2014
52,227,46.4,Arson,37.73305556,-91.075,Mar,0,0.0,0.0,0.0,0.0,2012
53,230,1.0,Arson,30.3595,-84.8169,Jun,0,0.0,0.0,0.0,0.0,2015
54,232,76.0,Lightning,27.0042,-80.3196,Jul,0,0.0,0.0,0.0,0.0,2015
55,236,510.0,Lightning,47.95055556,-115.6347222,Aug,18,21.98275862,2.660344828,0.0,0.0,2000
56,237,30.0,Utilities,34.197,-103.532,Mar,0,0.0,0.0,0.0,0.0,2011
57,241,1.0,Debris Burning,36.0107,-80.650283,Jan,0,0.0,0.0,0.0,0.0,2015
58,251,15.0,Arson,30.54395234,-88.4540867,Feb,0,0.0,0.0,0.0,0.0,1999
59,261,5.0,Arson,35.34527778,-82.63527778,May,1,16.75,2.81875,47.390625,0.0,2006
60,262,15.0,Debris Burning,34.8834,-109.034,Mar,0,0.0,0.0,0.0,0.0,1996
61,266,3.0,Accidental,43.255,-100.8376,May,0,0.0,0.0,0.0,0.0,2002
62,276,1.0,Arson,31.359876,-89.39684914,Feb,0,0.0,0.0,0.0,0.0,1993
63,277,1.8,Lightning,45.28217824,-88.82622296,Aug,0,0.0,0.0,0.0,0.0,1994
64,280,3.6,Debris Burning,32.1151,-81.7517,Feb,0,0.0,0.0,0.0,0.0,1996
65,284,30.0,Debris Burning,34.11264952,-88.55461438,Oct,0,0.0,0.0,0.0,0.0,1999
66,286,5.2,Lightning,33.7556,-109.6509,Jun,3,17.56132075,6.702830189,30.04245283,0.0,2005
67,290,3.0,Lightning,39.4555,-109.9757,Aug,0,0.0,0.0,0.0,0.0,1996
68,291,29.0,Arson,31.0201,-82.23888889,Apr,16,0.0,0.0,0.0,0.0,2006
69,297,1.0,Lightning,39.28266823,-80.58605765,Apr,0,0.0,0.0,0.0,0.0,1995
70,298,20.0,Arson,33.559897,-86.926153,Feb,0,0.0,0.0,0.0,0.0,2007
71,313,1.0,Utilities,46.1525,-100.6915,May,0,0.0,0.0,0.0,0.0,2005
72,315,85.0,Arson,34.82717,-95.255,Feb,0,0.0,0.0,0.0,0.0,2015
73,318,9.0,Accidental,37.7073881,-81.73046153,May,0,0.0,0.0,0.0,0.0,2014
74,319,9.77,Debris Burning,34.4816,-85.1115,Apr,0,0.0,0.0,0.0,0.0,2002
75,323,4.5,Arson,48.8525,-99.685,Oct,0,0.0,0.0,0.0,0.0,2006
76,324,2.93,Debris Burning,32.1841,-83.3691,Feb,0,0.0,0.0,0.0,0.0,1996
77,328,2.0,Arson,30.524226,-87.522374,Apr,0,0.0,0.0,0.0,0.0,2004
78,338,2.0,Lightning,35.6845,-106.5517,Jul,1,0.0,0.0,0.0,0.0,2001
79,343,1.0,Debris Burning,34.93982412,-88.70155732,Mar,0,0.0,0.0,0.0,0.0,1993
80,344,2.0,Lightning,33.77555556,-108.8855556,Nov,0,0.0,0.0,0.0,0.0,2013
81,347,1.53,Arson,31.7893,-81.6331,Mar,0,0.0,0.0,0.0,0.0,1992
82,357,1.0,Debris Burning,35.6995,-80.25333333,Apr,0,0.0,0.0,0.0,0.0,2010
83,360,1.0,Accidental,46.49912396,-87.45859711,Apr,1,4.466666667,4.595833333,61.33333333,0.0,1995
84,361,4.89,Debris Burning,32.37227778,-83.84344444,Aug,0,0.0,0.0,0.0,0.0,2015
85,368,4.2,Debris Burning,42.9808,-108.4483,Apr,0,0.0,0.0,0.0,0.0,2012
86,369,25.0,Debris Burning,31.1505289,-91.04434619,Mar,0,0.0,0.0,0.0,0.0,1999
87,374,1.5,Accidental,32.37180688,-109.6627996,May,0,0.0,0.0,0.0,0.0,1993
88,377,2.2,Debris Burning,38.86861111,-79.36194444,Apr,2,9.403669725,0.155963303,63.51428571,0.0,2009
89,382,2.0,Debris Burning,35.12,-77.83833333,Apr,0,0.0,0.0,0.0,0.0,2010
90,384,1.0,Debris Burning,37.10551834,-82.8234024,Dec,0,0.0,0.0,0.0,0.0,2013
91,385,470.0,Utilities,42.2017,-96.5558,Mar,0,0.0,0.0,0.0,0.0,2010
92,389,8.71,Accidental,34.67888889,-85.30972222,Apr,0,0.0,0.0,0.0,0.0,2014
93,393,1.0,Debris Burning,31.998438,-87.323307,Mar,0,0.0,0.0,0.0,0.0,2008
94,395,60.0,Debris Burning,31.1773011,-88.51974019,Jan,0,0.0,0.0,0.0,0.0,1994
95,396,4.9,Debris Burning,48.8655,-99.8528,Apr,0,0.0,0.0,0.0,0.0,2010
96,399,8.57,Utilities,44.83029129999999,-88.05570118,May,0,0.0,0.0,0.0,0.0,1996
97,401,32.4,Lightning,41.2352,-116.7362,Jul,1,27.11111111,4.811111111000001,37.77777778,0.0,2001
98,407,15.0,Lightning,34.41000001,-95.91016668,Jun,0,0.0,0.0,0.0,0.0,2009
99,419,1.0,Arson,39.936181,-122.09345,Aug,0,0.0,0.0,0.0,0.0,2004
100,421,1.0,Arson,35.7239,-94.5942,Nov,0,0.0,0.0,0.0,0.0,2008
101,424,656.0,Utilities,34.8,-102.24,Jul,0,0.0,0.0,0.0,0.0,2011
102,439,15.0,Debris Burning,37.10174179,-83.29543304,Apr,1,5.591549296,1.985714286,47.1,0.0,2013
103,440,2.0,Debris Burning,42.35957122,-74.0207546,Apr,0,0.0,0.0,0.0,0.0,2007
104,441,3.0,Utilities,38.886764,-123.16392,Oct,0,0.0,0.0,0.0,0.0,2009
105,445,1.0,Accidental,35.36848333,-77.94196666,Mar,0,0.0,0.0,0.0,0.0,2010
106,448,1.01,Arson,31.6865,-81.7947,Feb,0,0.0,0.0,0.0,0.0,1996
107,455,10.0,Accidental,37.21778,-87.73299,Mar,1,11.07118056,0.0,0.0,0.0,2012
108,464,1.0,Arson,47.9783,-99.0225,Apr,0,0.0,0.0,0.0,0.0,2007
109,470,1.0,Debris Burning,41.81416667,-123.35833329999998,Jun,0,0.0,0.0,0.0,0.0,2005
110,474,0.6,Lightning,34.33805556,-117.7088889,Jul,1,0.0,0.0,0.0,0.0,2011
111,479,0.55,Debris Burning,31.515,-81.3746,Sep,0,0.0,0.0,0.0,0.0,1997
112,482,1.0,Lightning,35.06555556,-112.0052778,May,0,0.0,0.0,0.0,0.0,2001
113,484,4.0,Arson,31.111340500000004,-89.59378043,Oct,0,0.0,0.0,0.0,0.0,1992
114,486,3.8,Lightning,34.383334999999995,-80.966667,Jul,0,0.0,0.0,0.0,0.0,2011
115,489,2.45,Debris Burning,32.84417763,-84.40365152,Apr,0,0.0,0.0,0.0,0.0,2011
116,494,1.68,Debris Burning,44.69583,-122.72389,Aug,0,0.0,0.0,0.0,0.0,2014
117,501,2.2,Lightning,31.27108084,-81.46903512,Jun,1,29.37142857,3.434285714,63.9,0.0,2011
118,504,0.75,Debris Burning,34.51570968,-83.35523917,Apr,0,0.0,0.0,0.0,0.0,2012
119,507,9.0,Arson,33.798132,-87.29437,Mar,0,0.0,0.0,0.0,0.0,2004
120,513,2.0,Debris Burning,30.726895000000003,-88.352533,Sep,0,0.0,0.0,0.0,0.0,2006
121,516,1.0,Arson,31.121967,-88.23605400000001,Jan,0,0.0,0.0,0.0,0.0,2006
122,524,1.0,Debris Burning,33.009374,-85.826621,Mar,0,0.0,0.0,0.0,0.0,2006
123,525,29.0,Arson,35.0192,-96.6255,Mar,1,8.450704225,5.895774648,47.61971831,0.0,2013
124,528,5.0,Debris Burning,38.79,-95.83,Apr,0,0.0,0.0,0.0,0.0,2015
125,532,38.0,Arson,32.369469,-85.858073,Apr,0,0.0,0.0,0.0,0.0,2006
126,538,1.0,Arson,47.8686,-95.0864,Mar,0,0.0,0.0,0.0,0.0,2003
127,542,3.0,Arson,35.7242,-94.5592,Nov,0,0.0,0.0,0.0,0.0,2012
128,545,1.0,Debris Burning,33.03691667,-83.31219444,Oct,0,0.0,0.0,0.0,0.0,2014
129,547,3.0,Utilities,35.74901666,-81.03288333,Mar,0,0.0,0.0,0.0,0.0,2010
130,548,34.0,Lightning,34.2471,-93.54496,Jul,0,0.0,0.0,0.0,0.0,2011
131,552,5.0,Debris Burning,26.49373,-98.8915,Aug,0,0.0,0.0,0.0,0.0,2003
132,553,1.65,Utilities,34.3445,-85.462,Dec,0,0.0,0.0,0.0,0.0,1994
133,555,1.0,Debris Burning,31.6769881,-89.8169897,Oct,0,0.0,0.0,0.0,0.0,1993
134,561,0.85,Debris Burning,32.0128,-83.6124,Jan,0,0.0,0.0,0.0,0.0,1996
135,564,33.0,Arson,36.27722222,-82.135,Sep,5,22.05833333,0.921666667,67.75652174,0.0,2005
136,565,8.0,Accidental,32.62693511,-89.99720688,Jul,0,0.0,0.0,0.0,0.0,1994
137,566,10.0,Debris Burning,31.18938333,-95.61306667,Apr,0,0.0,0.0,0.0,0.0,2011
138,576,60.0,Debris Burning,32.08419,-85.112963,Mar,0,0.0,0.0,0.0,0.0,2004
139,587,1.5,Debris Burning,41.89322313,-74.11896046,Mar,0,0.0,0.0,0.0,0.0,2006
140,589,12.1,Utilities,43.14277,-116.07345,Jun,0,0.0,0.0,0.0,0.0,2013
141,595,25.0,Accidental,31.92045542,-110.96774840000002,Nov,1,9.8375,1.908333333,22.04166667,0.0,1992
142,599,30.0,Debris Burning,39.15,-95.1,Mar,0,0.0,0.0,0.0,0.0,2015
143,606,1.0,Arson,34.51807952,-88.48278853,Nov,0,0.0,0.0,0.0,0.0,1999
144,608,15.0,Lightning,39.49527778,-121.12583329999998,May,3,16.36893204,2.49223301,43.26130653,0.0,2013
145,612,0.75,Arson,44.760028000000005,-68.827528,Feb,0,0.0,0.0,0.0,0.0,2006
146,613,65.0,Accidental,34.35624487,-89.74125852,Feb,0,0.0,0.0,0.0,0.0,1995
147,614,4.0,Arson,41.0332,-123.6512,Oct,0,0.0,0.0,0.0,0.0,1998
148,621,2.0,Debris Burning,30.6826327,-88.57432712,Oct,0,0.0,0.0,0.0,0.0,2014
149,625,4.0,Arson,33.12555833,-84.19145,Dec,0,0.0,0.0,0.0,0.0,2013
150,627,2.0,Lightning,47.25583,-107.15017,May,0,0.0,0.0,0.0,0.0,2014
151,630,0.8,Accidental,45.5275,-106.9812,Mar,0,0.0,0.0,0.0,0.0,1995
152,632,6.0,Accidental,38.4443,-83.2043,Mar,0,0.0,0.0,0.0,0.0,2015
153,633,1600.0,Lightning,46.6617,-108.5317,Jul,0,0.0,0.0,0.0,0.0,2006
154,636,18.0,Lightning,41.6908,-116.4258,Aug,1,24.992,2.676,35.88,0.0,2012
155,640,160.0,Debris Burning,47.34027778,-114.74666670000002,May,19,17.4,2.844285714,0.0,0.0,2001
156,642,1.0,Arson,36.86638889,-84.49083333,Apr,1,8.5,0.791666667,51.34782609,0.0,2004
157,644,12.1,Debris Burning,32.2014,-83.7933,Jan,0,0.0,0.0,0.0,0.0,2002
158,646,3.0,Lightning,34.2722222,-111.035556,Sep,3,24.69444444,1.643255814,24.85581395,0.0,2010
159,654,1500.0,Debris Burning,39.83333333,-98.83333333,Oct,1,14.16666667,4.579166667,33.5,0.0,1999
160,655,1.0,Debris Burning,31.2408,-81.4975,Jun,0,0.0,0.0,0.0,0.0,1993
161,661,1.0,Arson,31.28657477,-89.76181109999999,May,0,0.0,0.0,0.0,0.0,1996
162,665,75.0,Utilities,43.175,-103.975,Oct,0,0.0,0.0,0.0,0.0,1992
163,668,2.81,Debris Burning,32.4415,-84.1977,Mar,0,0.0,0.0,0.0,0.0,2002
164,670,5.0,Lightning,66.9106,-153.675,Jul,12,12.79927835,2.005360825,68.98142415,0.0,2011
165,671,135.0,Debris Burning,34.64395,-92.18399,Jun,0,0.0,0.0,0.0,0.0,2012
166,676,0.8,Lightning,45.18722222,-116.3205556,Jul,1,21.125,1.7583333330000002,50.91666667,0.0,2003
167,680,27.0,Arson,34.380043,-87.995841,Mar,0,0.0,0.0,0.0,0.0,2005
168,684,8.0,Lightning,46.57666667,-115.4566667,Aug,5,0.0,0.0,0.0,0.0,1998
169,685,11.0,Debris Burning,39.43448578,-80.97662087,Mar,0,0.0,0.0,0.0,0.0,2001
170,695,1.0,Arson,33.92163022,-89.94962868,Mar,0,0.0,0.0,0.0,0.0,1992
171,700,1.0,Arson,34.8366667,-92.7663889,Mar,1,0.0,0.0,0.0,0.0,2010
172,708,6.0,Debris Burning,40.60509109,-98.47724152,May,0,0.0,0.0,0.0,0.0,2013
173,710,8.0,Debris Burning,34.30303308,-88.96634433,Aug,0,0.0,0.0,0.0,0.0,1999
174,711,25.0,Arson,43.2533,-116.1603,Jul,0,0.0,0.0,0.0,0.0,2011
175,714,5.0,Arson,26.13027778,-98.15666667,Jul,0,0.0,0.0,0.0,0.0,2009
176,721,83.0,Debris Burning,36.7875,-108.6911,Apr,0,0.0,0.0,0.0,0.0,2009
177,722,8.0,Lightning,39.9932,-119.9877,Jun,1,21.28461538,1.811538462,40.0,0.0,1996
178,730,0.7,Accidental,47.855,-91.00777778,Jul,1,18.34722222,1.711111111,66.68055556,0.0,2002
179,744,0.6,Accidental,45.9916,-89.8529,Apr,0,0.0,0.0,0.0,0.0,1997
180,745,0.72,Debris Burning,43.31068615,-76.42438889,Apr,0,0.0,0.0,0.0,0.0,2000
181,755,10.0,Debris Burning,26.41166667,-98.92027778,Jan,1,0.0,0.0,0.0,0.0,2008
182,761,10.11,Debris Burning,34.0531,-85.2719,Jan,0,0.0,0.0,0.0,0.0,2000
183,763,2.0,Accidental,48.465,-114.015,Apr,0,0.0,0.0,0.0,0.0,1992
184,769,25.0,Arson,35.367933,-84.39156,Oct,0,0.0,0.0,0.0,0.0,2007
185,772,35.0,Accidental,41.87133408,-103.4590988,Jul,0,0.0,0.0,0.0,0.0,2013
186,773,10.0,Accidental,33.594593,-80.206375,Feb,0,0.0,0.0,0.0,0.0,2011
187,775,0.6,Debris Burning,30.8988,-84.1749,Feb,0,0.0,0.0,0.0,0.0,2000
188,778,3.0,Utilities,34.54682996,-89.65597737,Jun,0,0.0,0.0,0.0,0.0,2012
189,779,2.0,Lightning,26.2639,-81.514,Aug,0,0.0,0.0,0.0,0.0,2014
190,782,1.0,Arson,43.17635235,-77.61052715,Aug,1,22.92666667,1.023333333,76.41176471,1.0,2003
191,788,2.0,Debris Burning,28.34296667,-97.71205,Aug,0,0.0,0.0,0.0,0.0,2014
192,791,2.0,Debris Burning,31.8859302,-89.20268668,May,0,0.0,0.0,0.0,0.0,2015
193,801,1.0,Debris Burning,44.28044214,-91.93976122,May,0,0.0,0.0,0.0,0.0,2014
194,804,1.95,Debris Burning,31.01638889,-84.89972222,Jul,0,0.0,0.0,0.0,0.0,2014
195,808,4.9,Arson,44.70000082,-67.80000333,Jun,0,0.0,0.0,0.0,0.0,1992
196,811,70.0,Debris Burning,26.3825,-98.605,Feb,1,-12.07916667,3.025,72.79166667,0.0,2005
197,817,7.0,Utilities,42.60045,-114.39701,Aug,0,0.0,0.0,0.0,0.0,2000
198,818,2.0,Arson,41.7782,-122.6395,Jul,0,0.0,0.0,0.0,0.0,2000
199,826,1.1,Accidental,33.6588,-85.1642,Nov,0,0.0,0.0,0.0,0.0,2001
200,834,125.0,Arson,36.3156,-84.47952,Apr,2,16.44583333,0.822916667,55.33333333,0.0,2007
201,842,4.0,Arson,32.456084999999995,-80.987724,Mar,0,0.0,0.0,0.0,0.0,2014
202,848,10.0,Lightning,45.94527778,-115.3161111,Aug,5,20.00840336,0.888235294,64.60824742,26.2,2003
203,856,1.0,Arson,31.45454988,-89.72966745,Feb,0,0.0,0.0,0.0,0.0,1996
204,858,27.0,Debris Burning,36.26666,-92.28333,Apr,0,0.0,0.0,0.0,0.0,2014
205,860,1.0,Accidental,37.78222222,-118.9413889,Sep,0,0.0,0.0,0.0,0.0,2011
206,864,1.0,Debris Burning,31.409569,-87.96703000000001,Jul,0,0.0,0.0,0.0,0.0,2006
207,873,1.5,Utilities,32.2286,-104.3106,Jun,0,0.0,0.0,0.0,0.0,2010
208,874,1.0,Debris Burning,30.81772821,-89.62257954,Oct,0,0.0,0.0,0.0,0.0,2015
209,885,1.0,Accidental,45.80415537,-87.19286579999999,May,0,0.0,0.0,0.0,0.0,1992
210,886,5.0,Debris Burning,35.525,-106.3809,May,0,0.0,0.0,0.0,0.0,2002
211,888,0.8,Lightning,33.715,-109.1166667,Jun,1,19.83333333,2.9125,46.79166667,0.0,2000
212,890,12.0,Lightning,36.55,-114.0792,Jul,2,35.048,2.862,18.54,0.0,2007
213,892,14.6,Debris Burning,44.45954,-84.0329,Mar,0,0.0,0.0,0.0,0.0,2012
214,897,1.0,Arson,31.38485886,-89.69710991,Jul,0,0.0,0.0,0.0,0.0,2012
215,898,48.4,Debris Burning,48.7929,-118.8518,Apr,167,11.80290456,3.610570236,43.03059805,3.3,2015
216,904,10.0,Debris Burning,37.1167,-107.2839,Apr,0,0.0,0.0,0.0,0.0,1998
217,905,0.6,Debris Burning,34.7387,-85.0726,Mar,0,0.0,0.0,0.0,0.0,1992
218,909,725.0,Lightning,32.56916667,-110.4536111,Jun,3,33.60666667,3.786666667,18.25333333,0.0,2008
219,919,50.0,Debris Burning,35.51670001,-94.75148335,Feb,0,0.0,0.0,0.0,0.0,2009
220,920,1.5,Lightning,40.46307,-101.7912,Aug,0,0.0,0.0,0.0,0.0,2014
221,921,1.0,Debris Burning,34.93883823,-89.22131759,Jan,0,0.0,0.0,0.0,0.0,2014
222,925,8.0,Utilities,38.90525,-121.960717,May,0,0.0,0.0,0.0,0.0,2012
223,929,5.0,Arson,34.86037408,-88.70755890000001,Feb,0,0.0,0.0,0.0,0.0,1995
224,932,0.9,Lightning,35.28333333,-108.35,Jul,1,23.36363636,4.363636364,41.04545455,0.0,2004
225,933,1.0,Arson,35.3,-79.66666666,Aug,0,0.0,0.0,0.0,0.0,2010
226,935,7.0,Arson,36.23507,-91.16863,Mar,0,0.0,0.0,0.0,0.0,2012
227,937,62.0,Lightning,33.8962,-104.4169,Jul,0,0.0,0.0,0.0,0.0,1998
228,938,70.0,Arson,32.75036778,-89.89871456,Feb,0,0.0,0.0,0.0,0.0,1992
229,947,110.4,Lightning,45.25945,-88.44646999999999,May,2,19.54930556,2.382638889,77.07801418,3.6,2014
230,956,0.7,Arson,31.618,-81.8955,Feb,0,0.0,0.0,0.0,0.0,2000
231,959,80.0,Arson,32.286666,-85.373632,Mar,0,0.0,0.0,0.0,0.0,2007
232,963,146.0,Debris Burning,38.204,-93.528,Mar,0,0.0,0.0,0.0,0.0,2014
233,970,1.8,Debris Burning,36.50583333,-81.0585,Apr,0,0.0,0.0,0.0,0.0,2013
234,974,20.0,Debris Burning,46.4054,-120.747,Jul,0,0.0,0.0,0.0,0.0,2002
235,977,1.9,Lightning,31.59722222,-92.54388889,Jun,0,0.0,0.0,0.0,0.0,2012
236,984,1.0,Debris Burning,45.48194444,-88.49444444,Sep,0,0.0,0.0,0.0,0.0,2008
237,988,62.0,Arson,35.2758,-98.3019,Aug,1,33.20833333,0.0,42.63888889,0.0,2010
238,1002,1.0,Accidental,37.95704,-86.13524,Mar,0,0.0,0.0,0.0,0.0,2010
239,1003,2.0,Debris Burning,31.60720273,-89.63028941,Sep,0,0.0,0.0,0.0,0.0,1999
240,1006,2.51,Accidental,32.62073868,-83.34583685,Jan,0,0.0,0.0,0.0,0.0,2011
241,1010,1.0,Accidental,43.9592,-99.2376,Jul,0,0.0,0.0,0.0,0.0,2000
242,1013,360.0,Debris Burning,36.4739,-96.6853,Apr,0,0.0,0.0,0.0,0.0,2002
243,1014,0.6,Debris Burning,43.0038,-76.222,May,0,0.0,0.0,0.0,0.0,2015
244,1016,15.0,Lightning,36.78,-107.2744444,Aug,0,0.0,0.0,0.0,0.0,2002
245,1018,0.65,Utilities,47.4922,-117.4899,Jun,6,28.05515152,3.062424242,36.0,0.3,2015
246,1022,5.0,Lightning,42.12944444,-105.3236111,Jun,0,0.0,0.0,0.0,0.0,2002
247,1023,1.0,Debris Burning,31.63911778,-90.25931278,Sep,0,0.0,0.0,0.0,0.0,2015
248,1030,95.0,Arson,34.9846667,-94.97000001,Jan,0,0.0,0.0,0.0,0.0,2011
249,1031,2.0,Debris Burning,35.52415,-84.95835,Nov,0,0.0,0.0,0.0,0.0,2014
250,1035,0.75,Lightning,44.94805556,-119.7075,Jul,2,22.57864583,1.4729166669999998,0.0,0.0,2008
251,1040,4.0,Lightning,29.0151,-80.9726,Jul,0,0.0,0.0,0.0,0.0,2015
252,1041,15.0,Lightning,44.95083333,-112.76666670000002,Jul,1,24.48148148,4.177777778,30.7037037,0.0,2003
253,1045,0.75,Debris Burning,32.142708899999995,-88.11415190000001,Feb,0,0.0,0.0,0.0,0.0,2011
254,1062,3.0,Debris Burning,48.4667,-108.6007,Apr,0,0.0,0.0,0.0,0.0,1999
255,1077,20.0,Debris Burning,33.895671,-86.963599,Jan,0,0.0,0.0,0.0,0.0,2009
256,1079,7.0,Arson,34.30679716,-89.67820616,Mar,0,0.0,0.0,0.0,0.0,1998
257,1082,25.0,Arson,31.691048,-88.27058199999999,Feb,0,0.0,0.0,0.0,0.0,2009
258,1083,3.0,Lightning,35.7917,-109.1932,Jul,0,0.0,0.0,0.0,0.0,2006
259,1085,9.0,Arson,35.8003,-94.53392,Feb,0,0.0,0.0,0.0,0.0,2013
260,1086,3.8,Utilities,35.79222222,-82.01472222,Feb,0,0.0,0.0,0.0,0.0,2011
261,1087,3.5,Debris Burning,48.1109,-105.3189,Apr,0,0.0,0.0,0.0,0.0,1995
262,1089,5.0,Utilities,39.5214825,-78.32149812,Jul,0,0.0,0.0,0.0,0.0,1999
263,1093,1.0,Arson,45.563,-107.6611,Jan,0,0.0,0.0,0.0,0.0,2006
264,1097,1.0,Debris Burning,36.51855,-86.556833,Mar,0,0.0,0.0,0.0,0.0,2014
265,1099,80.0,Utilities,45.71166667,-102.5286111,Aug,0,0.0,0.0,0.0,0.0,2006
266,1101,750.0,Arson,47.92056,-95.37611,Apr,0,0.0,0.0,0.0,0.0,2010
267,1103,1.0,Arson,34.6769444,-93.2147222,Sep,0,0.0,0.0,0.0,0.0,2010
268,1104,1.0,Arson,37.81888889,-91.93388889,Apr,1,15.35294118,2.917647059,36.05882353,0.0,2000
269,1105,61.0,Arson,34.97711577,-89.32270676,Mar,0,0.0,0.0,0.0,0.0,1994
270,1110,13.0,Arson,34.992608000000004,-87.255062,Mar,0,0.0,0.0,0.0,0.0,2006
