,fire_name,fire_size,stat_cause_descr,latitude,longitude,state,discovery_month,putout_time,year
82,GABLE FIRE,656.0,Equipment Use,34.8,-102.24,TX,Jul,0,2011
83,COON CREEK FIRE,15.0,Debris Burning,37.10174179,-83.29543304,KY,Apr,1 days 00:00:00.000000000,2013
84,OAK,3.0,Equipment Use,38.886764,-123.16392,CA,Oct,0,2009
85,ADA STROUD RD FIRE,1.0,Smoking,35.36848333,-77.94196666,NC,Mar,0,2010
86,SWEENEY,10.0,Campfire,37.21778,-87.73299,KY,Mar,1 days 00:00:00.000000000,2012
87,WARD ROAD,1.5,Miscellaneous,46.38,-120.337,WA,Jun,0,2007
88,96,1.0,Arson,47.9783,-99.0225,ND,Apr,0,2007
89,CADE,1.0,Debris Burning,41.81416667,-123.35833329999998,CA,Jun,0,2005
90,SHEEP,0.6,Lightning,34.33805556,-117.7088889,CA,Jul,1 days 00:00:00.000000000,2011
91,THUMB,1.0,Lightning,35.06555556,-112.0052778,AZ,May,0,2001
92,HOPE RD FIRE,3.8,Lightning,34.383334999999995,-80.966667,SC,Jul,0,2011
93,FY2011-UPSON-070,2.45,Debris Burning,32.84417763,-84.40365152,GA,Apr,0,2011
94,ZURFLUH GRASS FIRE,1.68,Debris Burning,44.69583,-122.72389,OR,Aug,0,2014
95,FY2011-GLYNN-044,2.2,Lightning,31.27108084,-81.46903512,GA,Jun,1 days 00:00:00.000000000,2011
96,FY2012-STEPHENS-013,0.75,Debris Burning,34.51570968,-83.35523917,GA,Apr,0,2012
97,MM 141,1.0,Missing/Undefined,40.62478,-118.22181,NV,Jul,1 days 00:00:00.000000000,2014
98,SURVEY,1.0,Miscellaneous,44.29277778,-111.2758333,ID,Sep,1 days 00:00:00.000000000,2000
99,DOOLEN'S RIDGE,29.0,Arson,35.0192,-96.6255,OK,Mar,1 days 00:00:00.000000000,2013
100,109,5.0,Debris Burning,38.79,-95.83,KS,Apr,0,2015
101,BROKEN AXLE FIRE,42.0,Missing/Undefined,34.98655,-77.31756667,NC,Jun,0,2011
102,RL007,1.0,Arson,47.8686,-95.0864,MN,Mar,0,2003
103,JOHN VANN,3.0,Arson,35.7242,-94.5592,OK,Nov,0,2012
104,FY2015-BALDWIN-004,1.0,Debris Burning,33.03691667,-83.31219444,GA,Oct,0,2014
105,VOLT CIRCLE,3.0,Equipment Use,35.74901666,-81.03288333,NC,Mar,0,2010
106,RIVER,5.0,Debris Burning,26.49373,-98.8915,TX,Aug,0,2003
107,CEDAR GAP,33.0,Arson,36.27722222,-82.135,TN,Sep,5 days 00:00:00.000000000,2005
108,LIVINGSTON - 226,10.0,Debris Burning,31.18938333,-95.61306667,TX,Apr,0,2011
109,OTA 14,12.1,Equipment Use,43.14277,-116.07345,ID,Jun,0,2013
110,NAVAJO 1,1.0,Miscellaneous,35.25564,-109.02519,NM,May,0,2009
111,44,30.0,Debris Burning,39.15,-95.1,KS,Mar,0,2015
112,SECO,5.0,Miscellaneous,36.23638889,-121.4586111,CA,Oct,0,1995
113,CROCKER 2,4.0,Missing/Undefined,35.4125,-119.7908,CA,Jun,0,2011
114,BAR,15.0,Lightning,39.49527778,-121.12583329999998,CA,May,3 days 00:00:00.000000000,2013
115,CAL-PAC 17,4.0,Arson,41.0332,-123.6512,CA,Oct,0,1998
116,5.92014E+12,2.0,Debris Burning,30.6826327,-88.57432712,MS,Oct,0,2014
117,RL385,1.0,Miscellaneous,47.9733,-95.2519,MN,Apr,0,2000
118,FY2014-LAMAR-007,4.0,Arson,33.12555833,-84.19145,GA,Dec,0,2013
119,1019,1.0,Miscellaneous,39.29333,-88.368889,IL,Mar,0,2010
120,DAILY,2.0,Lightning,47.25583,-107.15017,MT,May,0,2014
121,LIMPY,0.8,Children,45.5275,-106.9812,MT,Mar,0,1995
122,CARVER CEMETERY,6.0,Campfire,38.4443,-83.2043,KY,Mar,0,2015
123,WILLOW CREEK,1600.0,Lightning,46.6617,-108.5317,MT,Jul,0,2006
124,FOURMILE,18.0,Lightning,41.6908,-116.4258,NV,Aug,1 days 00:00:00.000000000,2012
125,WILSON,160.0,Debris Burning,47.34027778,-114.74666670000002,MT,May,19 days 00:00:00.000000000,2001
126,MILE MARKER FIVE 5,1.0,Miscellaneous,39.44166667,-82.28555556,OH,Mar,0,2008
127,OLD HWY 27,1.0,Arson,36.86638889,-84.49083333,KY,Apr,1 days 00:00:00.000000000,2004
128,FY2002-DOOLY-024,12.1,Debris Burning,32.2014,-83.7933,GA,Jan,0,2002
129,CHRISTOPHER,3.0,Lightning,34.2722222,-111.035556,AZ,Sep,3 days 00:00:00.000000000,2010
130,PGE #2,1.5,Miscellaneous,36.05823,-119.49154,CA,Aug,0,2005
131,CON6029750,20.0,Miscellaneous,35.3947,-92.8079,AR,Feb,0,2014
132,KENSINGTON,1500.0,Debris Burning,39.83333333,-98.83333333,KS,Oct,1 days 00:00:00.000000000,1999
133,CIG,1.0,Miscellaneous,31.9167,-111.849,AZ,Oct,0,2010
134,FY2002-TAYLOR-040,2.81,Debris Burning,32.4415,-84.1977,GA,Mar,0,2002
135,HELPMEJACK LAKES,5.0,Lightning,66.9106,-153.675,AK,Jul,12 days 00:00:00.000000000,2011
136,BOULDER,0.8,Lightning,45.18722222,-116.3205556,ID,Jul,1 days 00:00:00.000000000,2003
137,WEITAS,8.0,Lightning,46.57666667,-115.4566667,ID,Aug,5 days 00:00:00.000000000,1998
138,RUSH FK.,11.0,Debris Burning,39.43448578,-80.97662087,WV,Mar,0,2001
139,SHOE,5.0,Miscellaneous,42.8848,-116.10859,ID,Aug,1 days 00:00:00.000000000,2015
140,#9,1.0,Arson,34.8366667,-92.7663889,AR,Mar,1 days 00:00:00.000000000,2010
141,OTA 127,25.0,Arson,43.2533,-116.1603,ID,Jul,0,2011
142,BALLI,5.0,Arson,26.13027778,-98.15666667,TX,Jul,0,2009
143,21007,2.0,Miscellaneous,37.35,-94.83,KS,Feb,0,2015
144,SHIPROCK 1,83.0,Debris Burning,36.7875,-108.6911,NM,Apr,0,2009
145,DOYLE,8.0,Lightning,39.9932,-119.9877,CA,Jun,1 days 00:00:00.000000000,1996
146,52,5.0,Miscellaneous,39.01,-95.44,KS,Mar,0,2015
147,PHOEBE ISLAND,0.7,Campfire,47.855,-91.00777778,MN,Jul,1 days 00:00:00.000000000,2002
148,ARLENE,10610.0,Miscellaneous,31.33888889,-110.54583329999998,AZ,May,6 days 00:00:00.000000000,2011
149,57,0.6,Children,45.9916,-89.8529,WI,Apr,0,1997
150,FENCEMAKER,2.0,Miscellaneous,40.0649,-117.8626,NV,Jun,1 days 00:00:00.000000000,1994
151,493,10.0,Debris Burning,26.41166667,-98.92027778,TX,Jan,1 days 00:00:00.000000000,2008
152,FY2000-POLK-105,10.11,Debris Burning,34.0531,-85.2719,GA,Jan,0,2000
153,LICK CREEK,25.0,Arson,35.367933,-84.39156,TN,Oct,0,2007
154,FY2000-GRADY-073,0.6,Debris Burning,30.8988,-84.1749,GA,Feb,0,2000
155,18TH AVE NE (11),2.0,Lightning,26.2639,-81.514,FL,Aug,0,2014
156,CARROL FIRE,2.0,Debris Burning,28.34296667,-97.71205,TX,Aug,0,2014
157,6.12015E+12,2.0,Debris Burning,31.8859302,-89.20268668,MS,May,0,2015
158,FY2015-SEMINOLE-001,1.95,Debris Burning,31.01638889,-84.89972222,GA,Jul,0,2014
159,COLUMBIA,4.9,Arson,44.70000082,-67.80000333,ME,Jun,0,1992
160,2360 NORTH,70.0,Debris Burning,26.3825,-98.605,TX,Feb,1 days 00:00:00.000000000,2005
161,POWERPLANT,7.0,Powerline,42.60045,-114.39701,ID,Aug,0,2000
162,SKU CANAL,2.0,Arson,41.7782,-122.6395,CA,Jul,0,2000
163,FY2002-CARROLL-037,1.1,Campfire,33.6588,-85.1642,GA,Nov,0,2001
164,BRIMESTONE,125.0,Arson,36.3156,-84.47952,TN,Apr,2 days 00:00:00.000000000,2007
165,OLD TIMER,3.0,Missing/Undefined,46.44665,-111.96946,MT,Mar,4 days 00:00:00.000000000,1994
166,PEARL DRIVE,2.0,Missing/Undefined,34.74143333,-76.63756667,NC,Jul,0,2011
167,T,10.0,Lightning,45.94527778,-115.3161111,ID,Aug,5 days 00:00:00.000000000,2003
168,BAX23614311,27.0,Debris Burning,36.26666,-92.28333,AR,Apr,0,2014
169,CLARK,1.0,Campfire,37.78222222,-118.9413889,CA,Sep,0,2011
170,RL439,7.0,Miscellaneous,47.8569,-94.8964,MN,Apr,0,2000
171,WOOD CANYON COMPLEX,1.5,Equipment Use,32.2286,-104.3106,NM,Jun,0,2010
172,762,1.0,Debris Burning,30.81772821,-89.62257954,MS,Oct,0,2015
173,TRIBAL,5.0,Debris Burning,35.525,-106.3809,NM,May,0,2002
174,JACK,0.8,Lightning,33.715,-109.1166667,AZ,Jun,1 days 00:00:00.000000000,2000
175,WHITNEY PASS,12.0,Lightning,36.55,-114.0792,NV,Jul,2 days 00:00:00.000000000,2007
176,OGEMAW 02 - DECKERVILLE,14.6,Debris Burning,44.45954,-84.0329,MI,Mar,0,2012
177,TURNER CREEK,48.4,Debris Burning,48.7929,-118.8518,WA,Apr,167 days 00:00:00.000000000,2015
178,BUTTERFIELD,1.0,Miscellaneous,34.505,-117.88,CA,Jul,0,1998
179,EASTER,10.0,Debris Burning,37.1167,-107.2839,CO,Apr,0,1998
180,CUMARO,725.0,Lightning,32.56916667,-110.4536111,AZ,Jun,3 days 00:00:00.000000000,2008
181,30311,50.0,Debris Burning,35.51670001,-94.75148335,OK,Feb,0,2009
182,9.2014E+11,1.0,Debris Burning,34.93883823,-89.22131759,MS,Jan,0,2014
183,HONEY SPRINGS,700.0,Miscellaneous,35.5367,-95.4822,OK,Aug,3 days 00:00:00.000000000,2012
184,COUNTY ROAD 31  / COUNTY,8.0,Equipment Use,38.90525,-121.960717,CA,May,0,2012
185,MT ZION,3.0,Missing/Undefined,32.1403,-90.6644,MS,Nov,0,2014
186,COTTONWOOD,0.9,Lightning,35.28333333,-108.35,NM,Jul,1 days 00:00:00.000000000,2004
187,EAGLE SPRINGS SANDPIT,1.0,Arson,35.3,-79.66666666,NC,Aug,0,2010
188,HORSE,62.0,Lightning,33.8962,-104.4169,NM,Jul,0,1998
189,SNOW FALLS FIRE,110.4,Lightning,45.25945,-88.44646999999999,WI,May,2 days 00:00:00.000000000,2014
190,CORNPATCH,2.0,Miscellaneous,33.1501,-111.7865,AZ,May,0,1993
191,FY2000-WAYNE-046,0.7,Arson,31.618,-81.8955,GA,Feb,0,2000
192,HORSE PASTURE FIRE,1.8,Debris Burning,36.50583333,-81.0585,NC,Apr,0,2013
193,HUBBARD LN,20.0,Debris Burning,46.4054,-120.747,WA,Jul,0,2002
194,021 DAY OFF,1.9,Lightning,31.59722222,-92.54388889,LA,Jun,0,2012
195,RAT RIVER,1.0,Debris Burning,45.48194444,-88.49444444,WI,Sep,0,2008
196,CARPFARM,62.0,Arson,35.2758,-98.3019,OK,Aug,1 days 00:00:00.000000000,2010
197,15-0052,2.0,Miscellaneous,37.28,-94.87,KS,Nov,0,2015
198,18TH DRIVE,1.4,Miscellaneous,43.80695,-89.25458,WI,May,0,2012
199,FY2011-TWIGGS-040,2.51,Children,32.62073868,-83.34583685,GA,Jan,0,2011
200,FIFTEENTH,8.0,Miscellaneous,36.4103,-96.8369,OK,Feb,0,2006
201,CACTUS;S,1.0,Fireworks,43.9592,-99.2376,SD,Jul,0,2000
202,HICKEY,360.0,Debris Burning,36.4739,-96.6853,OK,Apr,0,2002
203,GENE,15.0,Lightning,36.78,-107.2744444,NM,Aug,0,2002
204,READING,1.0,Missing/Undefined,40.595767,-122.8924,CA,Oct,0,2012
205,CURTIS ROAD,0.65,Equipment Use,47.4922,-117.4899,WA,Jun,6 days 00:00:00.000000000,2015
206,ROCK,5.0,Lightning,42.12944444,-105.3236111,WY,Jun,0,2002
207,382,1.0,Debris Burning,31.63911778,-90.25931278,MS,Sep,0,2015
208,20034,95.0,Arson,34.9846667,-94.97000001,OK,Jan,0,2011
209,WILKEY RD. 11/22/14,2.0,Debris Burning,35.52415,-84.95835,TN,Nov,0,2014
210,WALKER,0.75,Lightning,44.94805556,-119.7075,OR,Jul,2 days 00:00:00.000000000,2008
211,SELECK (64),4.0,Lightning,29.0151,-80.9726,FL,Jul,0,2015
212,MAUER,15.0,Lightning,44.95083333,-112.76666670000002,MT,Jul,1 days 00:00:00.000000000,2003
213,30117,50.0,Miscellaneous,35.95900002,-94.65166664,OK,Mar,0,2010
214,"361 NEWTON HILL RD., AL",0.75,Debris Burning,32.142708899999995,-88.11415190000001,AL,Feb,0,2011
215,TWP ROR,1.0,Miscellaneous,39.133333,-89.828333,IL,Dec,0,2008
216,LEONS,3.0,Debris Burning,48.4667,-108.6007,MT,Apr,0,1999
217,SCATWIL 01,3.0,Lightning,35.7917,-109.1932,AZ,Jul,0,2006
218,FAREWELL,3.8,Railroad,35.79222222,-82.01472222,NC,Feb,0,2011
219,NYGARD,3.5,Debris Burning,48.1109,-105.3189,MT,Apr,0,1995
220,JEEP TRAIL,5.0,Equipment Use,39.5214825,-78.32149812,WV,Jul,0,1999
221,DEAD MAN,1.0,Arson,45.563,-107.6611,MT,Jan,0,2006
222,MOORE,1.0,Debris Burning,36.51855,-86.556833,TN,Mar,0,2014
223,COLE CREEK,80.0,Equipment Use,45.71166667,-102.5286111,SD,Aug,0,2006
224,RED LAKE 178,750.0,Arson,47.92056,-95.37611,MN,Apr,0,2010
225,LENA,1.0,Arson,34.6769444,-93.2147222,AR,Sep,0,2010
226,JAKE,1.0,Arson,37.81888889,-91.93388889,MO,Apr,1 days 00:00:00.000000000,2000
227,JAZZY GIRL,20.0,Miscellaneous,35.1311,-96.7453,OK,Mar,0,2006
228,GOOD LUCK,168.3,Equipment Use,45.27,-107.6309,MT,Aug,0,2008
229,CHUI CHU,1.0,Miscellaneous,32.7537,-111.7699,AZ,Jun,0,2009
230,551 JARVISBURG RD,1.0,Equipment Use,36.17985,-75.84795,NC,Jul,0,2013
231,TEN MILE,100.0,Lightning,38.8333,-109.8173,UT,Jul,0,1993
232,FY2001-PULASKI-038,12.98,Debris Burning,32.2356,-83.5304,GA,Jan,0,2001
233,MILE POST 6 FIRE,5.0,Miscellaneous,32.27305556,-110.6427778,AZ,Nov,0,2009
234,DALY,0.6,Smoking,44.0772,-99.4571,SD,Apr,0,2002
235,JOLLY RODGER,1.0,Lightning,45.66833333,-118.04833329999998,OR,Jul,0,1998
236,515,15.0,Miscellaneous,39.33,-95.77,KS,May,0,2015
237,FOWLERS FIRE,11.0,Miscellaneous,29.41944444,-83.00055556,FL,Jun,12 days 00:00:00.000000000,2011
238,HILL,1.0,Miscellaneous,38.3525,-122.537833,CA,Aug,0,2013
239,PEONY,0.75,Debris Burning,48.6419,-119.1895,WA,Aug,69 days 00:00:00.000000000,2015
240,SIMMONS POND FIRE,6.0,Missing/Undefined,34.1485,-78.74366667,NC,Mar,0,2011
241,RED WILLOW,1.0,Lightning,35.8911,-108.8073,NM,Aug,0,2005
242,MUSKEGON 03,43.7,Powerline,43.202603,-86.09146,MI,Jul,0,2013
243,WESTON HILLS,6.5,Lightning,44.6061,-105.3747,WY,Aug,1 days 00:00:00.000000000,2009
244,2011-CARUSO FIRE-0106,1.0,Powerline,27.4463,-82.4795,FL,Feb,0,2011
245,LONG BRANCH,300.0,Fireworks,37.96294298,-81.40544539,WV,Apr,1 days 00:00:00.000000000,2014
246,DEEP CREEK,224.0,Lightning,30.35333333,-82.52694444,FL,Aug,1 days 00:00:00.000000000,2013
247,FY2001-BRANTLEY-088,4.0,Debris Burning,31.3266,-81.8971,GA,Apr,0,2001
248,STOCKDALE,300.0,Missing/Undefined,42.0439,-111.7747,ID,Jul,3 days 00:00:00.000000000,2007
249,CHANDALAR,57.0,Lightning,67.983,-147.7194,AK,Jun,8 days 00:00:00.000000000,2004
250,WILLIAM SMITH ROAD,2.0,Campfire,39.55455495,-80.10804517,WV,Nov,0,2005
251,FY2014-LOWNDES-009,1.5,Children,30.91638889,-83.02333333,GA,Jan,0,2014
252,BOULDER-WYMAN,12.0,Miscellaneous,46.40694444,-113.2186111,MT,May,2 days 00:00:00.000000000,2001
253,4TH OF JULY,25.0,Fireworks,34.8972,-114.6331,AZ,Jul,4 days 00:00:00.000000000,2015
254,REBURN,2.0,Miscellaneous,46.25,-100.6837,ND,Sep,0,1996
255,H HOLLOW 2,76.0,Lightning,38.75,-112.7174,UT,Jul,2 days 00:00:00.000000000,1994
256,8054,21.0,Debris Burning,30.83833333,-95.82066667,TX,Jul,0,2014
257,UNNAMED FIRE 1981,2.0,Arson,37.989414,-120.412489,CA,Oct,0,2007
258,STERLING FIRE,4.0,Arson,47.087222,-68.048611,ME,Jul,0,2013
259,OLD WHETSTONE,18.0,Debris Burning,38.554,-82.8766,KY,Oct,1 days 00:00:00.000000000,2015
260,MURPH,2.2,Smoking,48.41666667,-107.73333329999998,MT,Sep,0,1996
261,FY2012-DECATUR-001,2.17,Debris Burning,30.77560111,-84.54970796,GA,Aug,0,2011
262,DEER LAKE,2613.0,Arson,36.8039,-96.2222,OK,Mar,3 days 00:00:00.000000000,2010
263,6272,1.0,Miscellaneous,32.60381667,-94.68415,TX,Aug,0,2013
264,HIDDEN AGENDA,1.0,Arson,47.9472,-117.9017,WA,Jun,3 days 00:00:00.000000000,2014
265,POPLAR,1.0,Debris Burning,43.73333333,-85.7,MI,May,0,2000
266,RL059,0.8,Arson,47.8725,-94.9872,MN,Apr,0,2009
267,DONUT,1.0,Fireworks,43.0839,-102.5936,SD,Jun,0,2006
268,BLUE,3.0,Arson,33.3001,-110.434,AZ,Jul,0,1992
269,UNIT 48,23.8,Lightning,35.76823,-106.29758,NM,May,2 days 00:00:00.000000000,1993
270,LINDEN - 6283,1.0,Miscellaneous,33.80944444,-94.96555556,TX,Nov,0,2012
271,HENDERSON - 385,3.0,Equipment Use,31.81123333,-95.6897,TX,Aug,0,2011
272,RL37,20.0,Miscellaneous,47.8777,-95.0419,MN,Mar,0,2000
273,WOODVILLE - 200,5.0,Lightning,30.42027778,-94.66861111,TX,Aug,0,2009
274,HURRICANE ASST. #3,23.5,Miscellaneous,37.155594,-113.400836,UT,Jun,2 days 00:00:00.000000000,2011
275,OTA 11,18.0,Miscellaneous,43.24603,-116.15787,ID,Jun,0,2010
276,REICHWEIN RD,0.75,Debris Burning,40.7575,-76.39,PA,Mar,3 days 00:00:00.000000000,2015
277,FY2013-BULLOCH-053,1.1,Debris Burning,32.45363889,-81.70655556,GA,Mar,0,2013
278,BROOLYN BRIDGE,2.0,Railroad,31.05277778,-89.18444444,MS,Feb,2 days 00:00:00.000000000,2000
279,MCNIGHT FIRE,95.0,Lightning,30.75407502,-103.7228986,TX,Aug,0,2011
280,"LOST CREEK RD, AL",1.0,Arson,33.932387899999995,-88.1866787,AL,Nov,0,2011
281,WHITE BODY,4.0,Miscellaneous,47.6,-101.9004,ND,Oct,0,1998
282,CAYUSE,1077.0,Lightning,45.44222222,-114.5575,ID,Aug,12 days 00:00:00.000000000,2012
283,UNKNOWN,3.0,Smoking,38.4621,-107.8663,CO,Mar,0,2013
284,LAGUNA,1.0,Miscellaneous,31.9117,-111.8935,AZ,Nov,0,2008
285,LONGHOLL2,2.0,Debris Burning,45.6894,-97.1606,SD,Apr,0,2001
286,RL192,30.0,Children,48.0361,-94.8855,MN,May,0,2009
287,CANADA,5.0,Lightning,36.11472222,-105.84166670000002,NM,Jul,1 days 00:00:00.000000000,2008
288,FY2015-COWETA-013,2.3,Debris Burning,33.316125,-84.54743056,GA,Mar,0,2015
289,LIVINGSTON - 231,4.0,Arson,30.49633333,-95.34413333,TX,Aug,0,2009
290,DEEP LAKE,8330.0,Lightning,26.03333,-81.3,FL,Jun,4 days 00:00:00.000000000,2008
291,HIDDEN VALLEY,6.5,Lightning,42.885,-114.0164,ID,Jul,0,2012
