,fire_index,fire_size,fire_cause,latitude,longitude,discovery_month,putout_time,Temp_pre_15,Wind_pre_15,Hum_pre_15,Prec_pre_15,year
74,319,9.77,Debris Burning,34.4816,-85.1115,Apr,0,0.0,0.0,0.0,0.0,2002
75,323,4.5,Arson,48.8525,-99.685,Oct,0,11.27167969,5.72578125,68.9739479,25.7,2006
76,324,2.93,Debris Burning,32.1841,-83.3691,Feb,0,7.071428571,3.327692308,71.17431193,28.2,1996
77,328,2.0,Arson,30.524226,-87.522374,Apr,0,17.13504823,3.429677419,65.70479705,0.3,2004
78,338,2.0,Lightning,35.6845,-106.5517,Jul,1,21.125,3.35,52.5,0.0,2001
79,343,1.0,Debris Burning,34.93982412,-88.70155732,Mar,0,6.375792507000001,3.387572254,65.15362319,0.0,1993
80,344,2.0,Lightning,33.77555556,-108.8855556,Nov,0,9.229551451,3.199736148,46.97889182,13.7,2013
81,347,1.53,Arson,31.7893,-81.6331,Mar,0,19.25123153,1.365517241,69.795,8.5,1992
82,357,1.0,Debris Burning,35.6995,-80.25333333,Apr,0,14.11724806,1.65125969,59.12717391,0.0,2010
83,360,1.0,Accidental,46.49912396,-87.45859711,Apr,1,1.351149425,3.808333333,72.24637681,132.8,1995
84,361,4.89,Debris Burning,32.37227778,-83.84344444,Aug,0,27.55888325,2.405423729,74.83804143,16.0,2015
85,368,4.2,Debris Burning,42.9808,-108.4483,Apr,0,8.397396963,4.690611354,40.22489083,17.4,2012
86,369,25.0,Debris Burning,31.1505289,-91.04434619,Mar,0,0.0,0.0,0.0,0.0,1999
87,374,1.5,Accidental,32.37180688,-109.6627996,May,0,20.76040268,2.427133269,23.45733461,0.0,1993
88,377,2.2,Debris Burning,38.86861111,-79.36194444,Apr,2,8.528944381,1.59568672,60.6009122,0.0,2009
89,382,2.0,Debris Burning,35.12,-77.83833333,Apr,0,17.641527,1.713873371,57.92401216,0.0,2010
90,384,1.0,Debris Burning,37.10551834,-82.8234024,Dec,0,2.762664165,3.582082552,68.01929825,0.0,2013
91,385,470.0,Utilities,42.2017,-96.5558,Mar,0,4.234074074,4.196574074,71.08534323,0.5,2010
92,389,8.71,Accidental,34.67888889,-85.30972222,Apr,0,10.46093458,2.519318182,68.27234927,142.8,2014
93,393,1.0,Debris Burning,31.998438,-87.323307,Mar,0,3.928854215,2.218156425,0.0,0.0,2008
94,395,60.0,Debris Burning,31.1773011,-88.51974019,Jan,0,0.0,0.0,0.0,0.0,1994
95,396,4.9,Debris Burning,48.8655,-99.8528,Apr,0,8.467099166,5.076508821,53.82265552,23.1,2010
96,399,8.57,Utilities,44.83029129999999,-88.05570118,May,0,15.28444444,4.148611111,62.82535211,46.4,1996
97,401,32.4,Lightning,41.2352,-116.7362,Jul,1,30.85135135,3.969863014,21.42465753,0.0,2001
98,407,15.0,Lightning,34.41000001,-95.91016668,Jun,0,27.10721248,2.196831683,74.18459916,0.0,2009
99,419,1.0,Arson,39.936181,-122.09345,Aug,0,0.0,0.0,0.0,0.0,2004
100,421,1.0,Arson,35.7239,-94.5942,Nov,0,6.724170616,2.319241706,57.58605664,0.0,2008
101,424,656.0,Utilities,34.8,-102.24,Jul,0,28.80277778,4.579907407,35.8962963,0.0,2011
102,439,15.0,Debris Burning,37.10174179,-83.29543304,Apr,1,4.384044527,2.169953488,68.45183044,0.0,2013
103,440,2.0,Debris Burning,42.35957122,-74.0207546,Apr,0,4.085761047,3.982487725,66.83584590000001,284.6,2007
104,441,3.0,Utilities,38.886764,-123.16392,Oct,0,14.81461538,1.545384615,51.26756757,0.0,2009
105,445,1.0,Accidental,35.36848333,-77.94196666,Mar,0,12.60490694,2.515736041,55.70491803,21.0,2010
106,448,1.01,Arson,31.6865,-81.7947,Feb,0,11.46931818,3.428977273,64.12280702,35.0,1996
107,455,10.0,Accidental,37.21778,-87.73299,Mar,1,14.97069444,0.0,0.0,0.0,2012
108,464,1.0,Arson,47.9783,-99.0225,Apr,0,-2.86972821,6.056619717999999,65.80432738,12.5,2007
109,470,1.0,Debris Burning,41.81416667,-123.35833329999998,Jun,0,13.66272494,3.140359897,63.03608247,7.6,2005
110,474,0.6,Lightning,34.33805556,-117.7088889,Jul,1,21.0,2.6,78.0,0.0,2011
111,479,0.55,Debris Burning,31.515,-81.3746,Sep,0,26.16666667,2.541919192,70.11794872,5.1,1997
112,482,1.0,Lightning,35.06555556,-112.0052778,May,0,18.68709677,3.703225806,37.74193548,1.5,2001
113,484,4.0,Arson,31.111340500000004,-89.59378043,Oct,0,20.9630854,2.64600551,77.41046832,0.0,1992
114,486,3.8,Lightning,34.383334999999995,-80.966667,Jul,0,28.08231707,2.323272358,54.82418699,0.0,2011
115,489,2.45,Debris Burning,32.84417763,-84.40365152,Apr,0,14.96265173,2.442296919,70.56183746,0.0,2011
116,494,1.68,Debris Burning,44.69583,-122.72389,Aug,0,21.20018536,3.655380334,60.3463324,0.0,2014
117,501,2.2,Lightning,31.27108084,-81.46903512,Jun,1,26.07786116,2.253939962,68.97025641,0.0,2011
118,504,0.75,Debris Burning,34.51570968,-83.35523917,Apr,0,16.42685185,2.139444444,53.93727811,0.0,2012
119,507,9.0,Arson,33.798132,-87.29437,Mar,0,14.24824356,3.836533958,61.73043478,48.5,2004
120,513,2.0,Debris Burning,30.726895000000003,-88.352533,Sep,0,24.14772727,2.641875,73.93907563,134.3,2006
121,516,1.0,Arson,31.121967,-88.23605400000001,Jan,0,14.87808219,1.828767123,80.67123288,0.0,2006
122,524,1.0,Debris Burning,33.009374,-85.826621,Mar,0,14.52434457,2.493164794,61.98909812,0.0,2006
123,525,29.0,Arson,35.0192,-96.6255,Mar,1,7.828971963,3.86411215,62.51434644,0.0,2013
124,528,5.0,Debris Burning,38.79,-95.83,Apr,0,11.49532909,5.010300429,65.00643777,18.0,2015
125,532,38.0,Arson,32.369469,-85.858073,Apr,0,22.168000000000003,2.7208,53.9623431,4.4,2006
126,538,1.0,Arson,47.8686,-95.0864,Mar,0,-5.861195542000001,3.916717325,65.93277311,0.5,2003
127,542,3.0,Arson,35.7242,-94.5592,Nov,0,8.755388941,1.932239925,58.926,0.0,2012
128,545,1.0,Debris Burning,33.03691667,-83.31219444,Oct,0,17.71111111,0.541203704,71.80200861,0.0,2014
129,547,3.0,Utilities,35.74901666,-81.03288333,Mar,0,3.809554731,2.449907063,58.47586207,4.8,2010
130,548,34.0,Lightning,34.2471,-93.54496,Jul,0,21.48626679,2.623611111,0.0,0.0,2011
131,552,5.0,Debris Burning,26.49373,-98.8915,Aug,0,30.95347594,6.152406417000001,62.07506702,0.0,2003
132,553,1.65,Utilities,34.3445,-85.462,Dec,0,6.611627907000001,2.40872093,63.52034884,0.0,1994
133,555,1.0,Debris Burning,31.6769881,-89.8169897,Oct,0,21.70714286,1.6105714290000002,57.74,0.0,1993
134,561,0.85,Debris Burning,32.0128,-83.6124,Jan,0,4.835074627,2.146268657,70.19587629,0.8,1996
135,564,33.0,Arson,36.27722222,-82.135,Sep,5,20.20833333,0.989322917,68.45479452,2.1,2005
136,565,8.0,Accidental,32.62693511,-89.99720688,Jul,0,25.4552017,2.285562633,81.21585903,182.6,1994
137,566,10.0,Debris Burning,31.18938333,-95.61306667,Apr,0,18.94707521,3.291457753,63.68699187,0.0,2011
138,576,60.0,Debris Burning,32.08419,-85.112963,Mar,0,16.39919137,2.976280323,46.1671159,3.3,2004
139,587,1.5,Debris Burning,41.89322313,-74.11896046,Mar,0,0.0,0.0,0.0,0.0,2006
140,589,12.1,Utilities,43.14277,-116.07345,Jun,0,20.24957507,5.543626062,30.14730878,1.5,2013
141,595,25.0,Accidental,31.92045542,-110.96774840000002,Nov,1,12.33527778,2.088888889,25.275,1.0,1992
142,599,30.0,Debris Burning,39.15,-95.1,Mar,0,-2.744920993,3.952954545,65.52424942,5.6,2015
143,606,1.0,Arson,34.51807952,-88.48278853,Nov,0,13.83082524,2.233980583,66.08201893,91.0,1999
144,608,15.0,Lightning,39.49527778,-121.12583329999998,May,3,18.56237817,1.998148148,29.99706745,0.0,2013
145,612,0.75,Arson,44.760028000000005,-68.827528,Feb,0,0.0,0.0,0.0,0.0,2006
146,613,65.0,Accidental,34.35624487,-89.74125852,Feb,0,6.8272222220000005,4.168888889,59.25655977,270.0,1995
147,614,4.0,Arson,41.0332,-123.6512,Oct,0,12.64453376,3.113826367,76.49267399,88.3,1998
148,621,2.0,Debris Burning,30.6826327,-88.57432712,Oct,0,15.92195122,1.054613936,77.99531616,0.0,2014
149,625,4.0,Arson,33.12555833,-84.19145,Dec,0,9.728452271,1.998146432,37.14285714,0.0,2013
150,627,2.0,Lightning,47.25583,-107.15017,May,0,15.15561644,3.361111111,56.7270195,10.1,2014
151,630,0.8,Accidental,45.5275,-106.9812,Mar,0,1.565833333,3.306666667,62.64561404,0.5,1995
152,632,6.0,Accidental,38.4443,-83.2043,Mar,0,8.011121409,1.6367604269999998,66.09507446,110.0,2015
153,633,1600.0,Lightning,46.6617,-108.5317,Jul,0,26.39644809,3.199180328,34.51639344,3.6,2006
154,636,18.0,Lightning,41.6908,-116.4258,Aug,1,24.47675,2.7245,30.705,2.1,2012
155,640,160.0,Debris Burning,47.34027778,-114.74666670000002,May,19,13.61538462,2.894230769,0.0,0.0,2001
156,642,1.0,Arson,36.86638889,-84.49083333,Apr,1,11.01139601,2.411142857,57.60248447,0.0,2004
157,644,12.1,Debris Burning,32.2014,-83.7933,Jan,0,0.0,0.0,0.0,0.0,2002
158,646,3.0,Lightning,34.2722222,-111.035556,Sep,3,22.66825548,2.161296473,49.85805763,0.0,2010
159,654,1500.0,Debris Burning,39.83333333,-98.83333333,Oct,1,10.44314869,4.820991254,47.14868805,0.0,1999
160,655,1.0,Debris Burning,31.2408,-81.4975,Jun,0,28.68453039,2.177348066,63.64088398,24.0,1993
161,661,1.0,Arson,31.28657477,-89.76181109999999,May,0,23.38189415,1.486629526,66.13091922,0.0,1996
162,665,75.0,Utilities,43.175,-103.975,Oct,0,18.98991597,4.349159664,34.40506329,0.0,1992
163,668,2.81,Debris Burning,32.4415,-84.1977,Mar,0,0.0,0.0,0.0,0.0,2002
164,670,5.0,Lightning,66.9106,-153.675,Jul,12,14.41870629,2.010858144,63.98153034,0.0,2011
165,671,135.0,Debris Burning,34.64395,-92.18399,Jun,0,25.24664879,3.0093833780000003,59.42359249,7.7,2012
166,676,0.8,Lightning,45.18722222,-116.3205556,Jul,1,20.48377581,1.491445428,51.2191358,3.8,2003
167,680,27.0,Arson,34.380043,-87.995841,Mar,0,1.853038674,5.485359116000001,63.33333333,0.0,2005
168,684,8.0,Lightning,46.57666667,-115.4566667,Aug,5,0.0,0.0,0.0,0.0,1998
169,685,11.0,Debris Burning,39.43448578,-80.97662087,Mar,0,4.037825058999999,3.573838631,65.40740741,14.8,2001
170,695,1.0,Arson,33.92163022,-89.94962868,Mar,0,12.88309456,2.9369627510000003,68.74269006,12.0,1992
171,700,1.0,Arson,34.8366667,-92.7663889,Mar,1,0.0,0.0,0.0,0.0,2010
172,708,6.0,Debris Burning,40.60509109,-98.47724152,May,0,6.349409449,7.269291339,70.07983193,45.4,2013
173,710,8.0,Debris Burning,34.30303308,-88.96634433,Aug,0,26.73463687,1.5977653630000002,63.53954802,11.7,1999
174,711,25.0,Arson,43.2533,-116.1603,Jul,0,23.66243523,3.887564767,35.52072539,1.5,2011
175,714,5.0,Arson,26.13027778,-98.15666667,Jul,0,30.43086191,3.635866543,58.62624822,0.0,2009
176,721,83.0,Debris Burning,36.7875,-108.6911,Apr,0,5.179633867,5.943249428,44.46313364,4.6,2009
177,722,8.0,Lightning,39.9932,-119.9877,Jun,1,18.74972376,2.020994475,41.83425414,0.3,1996
178,730,0.7,Accidental,47.855,-91.00777778,Jul,1,20.41748527,2.7392927310000004,65.17519685,0.0,2002
179,744,0.6,Accidental,45.9916,-89.8529,Apr,0,9.4,3.08,33.3,0.0,1997
180,745,0.72,Debris Burning,43.31068615,-76.42438889,Apr,0,7.708588957000001,3.210736196,75.10508475,22.1,2000
181,755,10.0,Debris Burning,26.41166667,-98.92027778,Jan,1,17.1395881,3.4178398060000004,63.36748634,0.0,2008
182,761,10.11,Debris Burning,34.0531,-85.2719,Jan,0,0.0,0.0,0.0,0.0,2000
183,763,2.0,Accidental,48.465,-114.015,Apr,0,5.498888889,3.094166667,63.13611111,15.9,1992
184,769,25.0,Arson,35.367933,-84.39156,Oct,0,19.0304878,0.3968292679999999,73.27541828,0.0,2007
185,772,35.0,Accidental,41.87133408,-103.4590988,Jul,0,0.0,0.0,0.0,0.0,2013
186,773,10.0,Accidental,33.594593,-80.206375,Feb,0,8.31047266,1.974698795,63.36674817,0.0,2011
187,775,0.6,Debris Burning,30.8988,-84.1749,Feb,0,13.95762712,3.477854671,62.11196911,0.0,2000
188,778,3.0,Utilities,34.54682996,-89.65597737,Jun,0,24.04566636,1.174347015,68.63870353,0.0,2012
189,779,2.0,Lightning,26.2639,-81.514,Aug,0,28.495625,2.8839583330000003,80.2519084,233.0,2014
190,782,1.0,Arson,43.17635235,-77.61052715,Aug,1,21.65820106,2.327336861,82.25179856,164.0,2003
191,788,2.0,Debris Burning,28.34296667,-97.71205,Aug,0,30.38156162,4.601505174,65.48635478,3.6,2014
192,791,2.0,Debris Burning,31.8859302,-89.20268668,May,0,0.0,0.0,0.0,0.0,2015
193,801,1.0,Debris Burning,44.28044214,-91.93976122,May,0,7.929092805,4.025234619,69.25646794,0.0,2014
194,804,1.95,Debris Burning,31.01638889,-84.89972222,Jul,0,29.28571429,1.8767507,68.92749529,0.0,2014
195,808,4.9,Arson,44.70000082,-67.80000333,Jun,0,12.40898876,4.0617977530000005,0.0,0.0,1992
196,811,70.0,Debris Burning,26.3825,-98.605,Feb,1,0.966666667,4.48603352,72.61242604,0.0,2005
197,817,7.0,Utilities,42.60045,-114.39701,Aug,0,25.72554348,4.298595506,37.16011236,3.3,2000
198,818,2.0,Arson,41.7782,-122.6395,Jul,0,22.5855615,3.1244623660000004,39.03763441,0.0,2000
199,826,1.1,Accidental,33.6588,-85.1642,Nov,0,11.78280423,1.7010840109999998,63.50628931,1.1,2001
200,834,125.0,Arson,36.3156,-84.47952,Apr,2,9.642826087,1.4028260869999998,62.83789954,86.8,2007
201,842,4.0,Arson,32.456084999999995,-80.987724,Mar,0,13.20087336,2.944541485,72.92527473,6.6,2014
202,848,10.0,Lightning,45.94527778,-115.3161111,Aug,5,22.17847025,1.050424929,58.375,2.3,2003
203,856,1.0,Arson,31.45454988,-89.72966745,Feb,0,5.824233982999999,2.991364903,70.26462396,0.0,1996
204,858,27.0,Debris Burning,36.26666,-92.28333,Apr,0,11.73606911,2.782721382,66.13716814,20.6,2014
205,860,1.0,Accidental,37.78222222,-118.9413889,Sep,0,13.31325301,2.071268657,49.8793591,0.0,2011
206,864,1.0,Debris Burning,31.409569,-87.96703000000001,Jul,0,27.01960352,2.469603524,66.59251101,49.6,2006
207,873,1.5,Utilities,32.2286,-104.3106,Jun,0,29.62512195,4.84,39.18536585,14.3,2010
208,874,1.0,Debris Burning,30.81772821,-89.62257954,Oct,0,21.66161935,2.119915701,67.24657534,0.0,2015
209,885,1.0,Accidental,45.80415537,-87.19286579999999,May,0,5.673029046,4.225619835,77.79338843,69.7,1992
210,886,5.0,Debris Burning,35.525,-106.3809,May,0,0.0,0.0,0.0,0.0,2002
211,888,0.8,Lightning,33.715,-109.1166667,Jun,1,22.52380952,4.187955182,30.32212885,0.0,2000
212,890,12.0,Lightning,36.55,-114.0792,Jul,2,35.08791209,3.180769231,7.889807162999999,0.0,2007
213,892,14.6,Debris Burning,44.45954,-84.0329,Mar,0,8.316419295,3.880103627,71.99792746,0.0,2012
214,897,1.0,Arson,31.38485886,-89.69710991,Jul,0,28.33712121,2.291627022,54.27307326,0.0,2012
215,898,48.4,Debris Burning,48.7929,-118.8518,Apr,167,8.711842105,3.014095745,57.91489362,1.6,2015
216,904,10.0,Debris Burning,37.1167,-107.2839,Apr,0,2.551622419,3.735103245,63.06896552,0.0,1998
217,905,0.6,Debris Burning,34.7387,-85.0726,Mar,0,6.597029703,0.897,73.75,0.0,1992
218,909,725.0,Lightning,32.56916667,-110.4536111,Jun,3,30.77917808,3.448219178,15.69589041,0.0,2008
219,919,50.0,Debris Burning,35.51670001,-94.75148335,Feb,0,9.842815815,3.391899711,63.89060773,0.0,2009
220,920,1.5,Lightning,40.46307,-101.7912,Aug,0,23.76830986,3.719529412,60.88705882,21.2,2014
221,921,1.0,Debris Burning,34.93883823,-89.22131759,Jan,0,0.7777777779999999,1.3732193730000002,77.24157303,0.0,2014
222,925,8.0,Utilities,38.90525,-121.960717,May,0,20.1675,3.096944444,50.7,0.0,2012
223,929,5.0,Arson,34.86037408,-88.70755890000001,Feb,0,8.709954751,3.3687782810000004,56.42105263,0.0,1995
224,932,0.9,Lightning,35.28333333,-108.35,Jul,1,21.96842105,3.25754386,26.49647887,0.0,2004
225,933,1.0,Arson,35.3,-79.66666666,Aug,0,26.35137318,2.465957447,79.82833333,106.3,2010
226,935,7.0,Arson,36.23507,-91.16863,Mar,0,14.35689815,0.0,0.0,0.0,2012
227,937,62.0,Lightning,33.8962,-104.4169,Jul,0,28.17055215,3.762269939,50.12883436,20.9,1998
228,938,70.0,Arson,32.75036778,-89.89871456,Feb,0,8.694444444,3.186944444,71.64469914,189.9,1992
229,947,110.4,Lightning,45.25945,-88.44646999999999,May,2,11.4497683,3.439017609,67.01477833,34.9,2014
230,956,0.7,Arson,31.618,-81.8955,Feb,0,9.055248619,3.292265193,55.45930233,0.0,2000
231,959,80.0,Arson,32.286666,-85.373632,Mar,0,12.90594059,2.108933002,66.08264463,21.9,2007
232,963,146.0,Debris Burning,38.204,-93.528,Mar,0,-0.064606742,3.17688588,63.08043694,0.0,2014
233,970,1.8,Debris Burning,36.50583333,-81.0585,Apr,0,8.339219331,2.067753961,53.93839836,0.0,2013
234,974,20.0,Debris Burning,46.4054,-120.747,Jul,0,23.89473684,3.1528708130000003,43.28229665,7.9,2002
235,977,1.9,Lightning,31.59722222,-92.54388889,Jun,0,24.915,0.0,0.0,0.0,2012
236,984,1.0,Debris Burning,45.48194444,-88.49444444,Sep,0,15.97893773,1.972527473,72.22972973,11.7,2008
237,988,62.0,Arson,35.2758,-98.3019,Aug,1,29.99629286,0.121686747,60.03817505,0.0,2010
238,1002,1.0,Accidental,37.95704,-86.13524,Mar,0,9.869082126,3.323429952,72.94910941,26.7,2010
239,1003,2.0,Debris Burning,31.60720273,-89.63028941,Sep,0,24.92391304,1.7239782019999998,67.870317,5.6,1999
240,1006,2.51,Accidental,32.62073868,-83.34583685,Jan,0,0.0,0.0,0.0,0.0,2011
241,1010,1.0,Accidental,43.9592,-99.2376,Jul,0,18.54022989,5.025287356000001,65.97626113,40.3,2000
242,1013,360.0,Debris Burning,36.4739,-96.6853,Apr,0,10.47201946,5.36107056,59.4464752,13.0,2002
243,1014,0.6,Debris Burning,43.0038,-76.222,May,0,8.369575472000001,4.179432624,63.42316785,19.4,2015
244,1016,15.0,Lightning,36.78,-107.2744444,Aug,0,20.44225352,2.949295775,27.71186441,2.1,2002
245,1018,0.65,Utilities,47.4922,-117.4899,Jun,6,20.49779412,3.806862745,32.50735294,0.0,2015
246,1022,5.0,Lightning,42.12944444,-105.3236111,Jun,0,0.0,0.0,0.0,0.0,2002
247,1023,1.0,Debris Burning,31.63911778,-90.25931278,Sep,0,25.48240741,1.4729265969999998,67.94585253,0.0,2015
248,1030,95.0,Arson,34.9846667,-94.97000001,Jan,0,0.0,0.0,0.0,0.0,2011
