,fire_name,fire_size,fire_cause,latitude,longitude,state,discovery_month,putout_time,Vegetation,Temp_pre_30,Wind_pre_30,Hum_pre_30,Prec_pre_30,remoteness,year
501,FY2011-GLYNN-044,2.2,Lightning,31.27108084,-81.46903512,GA,Jun,1,12,24.90509584,2.589060309,68.29145978,0.0,0.1317947260004877,2011
504,FY2012-STEPHENS-013,0.75,Debris Burning,34.51570968,-83.35523917,GA,Apr,0,16,16.14093649,2.099026426,50.18830084,0.0,0.1463328540476784,2012
508,MM 141,1.0,Other,40.62478,-118.22181,NV,Jul,1,15,27.44635083,3.445725389,24.44836601,1.3,0.4759560222942425,2014
509,SURVEY,1.0,Other,44.29277778,-111.2758333,ID,Sep,1,15,9.785046729,2.728037383,63.86666667,47.8,0.4049254722154451,2000
525,DOOLEN'S RIDGE,29.0,Arson,35.0192,-96.6255,OK,Mar,1,15,6.8777985070000005,4.228311567,63.62540021,0.0,0.2677170736744372,2013
528,109,5.0,Debris Burning,38.79,-95.83,KS,Apr,0,0,10.92540894,4.169162996,62.8314978,27.1,0.2581467864755162,2015
531,BROKEN AXLE FIRE,42.0,Other,34.98655,-77.31756667,NC,Jun,0,16,23.45011601,2.778077102,69.38316244,8.7,0.0926948831327971,2011
538,RL007,1.0,Arson,47.8686,-95.0864,MN,Mar,0,15,-10.63913914,3.675975976,59.66740331,0.5,0.2481583090307548,2003
542,JOHN VANN,3.0,Arson,35.7242,-94.5592,OK,Nov,0,15,10.85252809,2.055383895,59.37794486,0.0,0.2479328220372507,2012
545,FY2015-BALDWIN-004,1.0,Debris Burning,33.03691667,-83.31219444,GA,Oct,0,16,18.69928532,0.483672347,71.56412478,0.0,0.1469335683955166,2014
547,VOLT CIRCLE,3.0,Utilities,35.74901666,-81.03288333,NC,Mar,0,15,2.149489322,2.412598791,61.35783563,14.2,0.124901880720901,2010
552,RIVER,5.0,Debris Burning,26.49373,-98.8915,TX,Aug,0,12,30.06204188,5.389267016,66.56749672,10.1,0.2956911557622441,2003
564,CEDAR GAP,33.0,Arson,36.27722222,-82.135,TN,Sep,5,0,21.63078849,1.235043805,71.8972973,37.7,0.1343757004848391,2005
566,LIVINGSTON - 226,10.0,Debris Burning,31.18938333,-95.61306667,TX,Apr,0,12,18.61419897,3.267211583,63.13804714,0.0,0.260857665858909,2011
589,OTA 14,12.1,Utilities,43.14277,-116.07345,ID,Jun,0,9,17.10993377,5.708609272,39.11419069,4.9,0.4532531997988818,2013
597,NAVAJO 1,1.0,Other,35.25564,-109.02519,NM,May,0,15,9.318459658,4.344132029,40.37897311,12.4,0.3868363367582998,2009
599,44,30.0,Debris Burning,39.15,-95.1,KS,Mar,0,0,-2.414776632,4.013793103,66.87022016,7.9,0.2511378725309803,2015
603,SECO,5.0,Other,36.23638889,-121.4586111,CA,Oct,0,0,24.94158879,1.849065421,34.82242991,0.0,0.511221204060621,1995
604,CROCKER 2,4.0,Other,35.4125,-119.7908,CA,Jun,0,15,23.23921114,3.0127634660000004,42.58196721,9.8,0.4946349756139305,2011
608,BAR,15.0,Lightning,39.49527778,-121.12583329999998,CA,May,3,0,14.80959302,1.988275194,38.63655137,0.0,0.5060989563401526,2013
614,CAL-PAC 17,4.0,Arson,41.0332,-123.6512,CA,Oct,0,15,12.81408451,2.936384977,79.90661831,130.9,0.5314339526666767,1998
621,5.92014E+12,2.0,Debris Burning,30.6826327,-88.57432712,MS,Oct,0,12,18.72245763,1.300849618,80.59679144,22.3,0.1961768044766867,2014
624,RL385,1.0,Other,47.9733,-95.2519,MN,Apr,0,15,1.470422535,4.63177305,74.67563025,0.0,0.2496878398688602,2000
625,FY2014-LAMAR-007,4.0,Arson,33.12555833,-84.19145,GA,Dec,0,16,10.76753976,1.865622077,37.14285714,0.0,0.1547448596559975,2013
626,1019,1.0,Other,39.29333,-88.368889,IL,Mar,0,0,3.896393762,4.316374269,79.58115778,18.6,0.1889289423543185,2010
627,DAILY,2.0,Lightning,47.25583,-107.15017,MT,May,0,15,11.24903581,4.035972222,62.0,43.7,0.3635890012615688,2014
630,LIMPY,0.8,Accidental,45.5275,-106.9812,MT,Mar,0,15,0.8973611109999999,2.961929825,61.27768014,0.5,0.3623306078746455,1995
632,CARVER CEMETERY,6.0,Accidental,38.4443,-83.2043,KY,Mar,0,0,2.476367006,1.61387422,66.53265766,200.2,0.1427360370627437,2015
633,WILLOW CREEK,1600.0,Lightning,46.6617,-108.5317,MT,Jul,0,15,25.58618331,3.46128591,38.36525308,11.8,0.3772416246178178,2006
636,FOURMILE,18.0,Lightning,41.6908,-116.4258,NV,Aug,1,15,24.23876765,2.84801027,29.6084724,16.1,0.4573374505922234,2012
640,WILSON,160.0,Debris Burning,47.34027778,-114.74666670000002,MT,May,19,15,12.94936709,2.9139240510000004,0.0,0.0,0.4387897863003969,2001
641,MILE MARKER FIVE 5,1.0,Other,39.44166667,-82.28555556,OH,Mar,0,0,0.877013423,3.282466443,77.13242784,128.7,0.1340571549659119,2008
642,OLD HWY 27,1.0,Arson,36.86638889,-84.49083333,KY,Apr,1,0,9.024425287,2.436690647,59.71268058,0.0,0.1550976497279488,2004
644,FY2002-DOOLY-024,12.1,Debris Burning,32.2014,-83.7933,GA,Jan,0,12,6.116071429,2.801208459,54.81873112,9.8,0.1518283634225365,2002
646,CHRISTOPHER,3.0,Lightning,34.2722222,-111.035556,AZ,Sep,3,16,23.35781544,1.850659134,47.67981791,0.0,0.4072993035087304,2010
647,PGE #2,1.5,Other,36.05823,-119.49154,CA,Aug,0,0,26.92458101,2.096757965,52.25153717,0.0,0.4911949250731027,2005
648,CON6029750,20.0,Other,35.3947,-92.8079,AR,Feb,0,15,1.198247536,2.276560789,63.53450164,16.6,0.2318452060429836,2014
654,KENSINGTON,1500.0,Debris Burning,39.83333333,-98.83333333,KS,Oct,1,0,12.19047619,4.969083969,49.28625954,0.0,0.2859650587401048,1999
662,CIG,1.0,Other,31.9167,-111.849,AZ,Oct,0,12,30.9250646,2.50620155,30.27906977,0.0,0.4169934233558297,2010
668,FY2002-TAYLOR-040,2.81,Debris Burning,32.4415,-84.1977,GA,Mar,0,12,0.0,0.0,0.0,0.0,0.1552804556401079,2002
670,HELPMEJACK LAKES,5.0,Lightning,66.9106,-153.675,AK,Jul,12,0,13.75043365,2.133637153,63.46863958,0.0,0.8586912894035243,2011
676,BOULDER,0.8,Lightning,45.18722222,-116.3205556,ID,Jul,1,9,18.76642336,1.734452555,51.60895522,11.7,0.4551229929663078,2003
684,WEITAS,8.0,Lightning,46.57666667,-115.4566667,ID,Aug,5,15,0.0,0.0,0.0,0.0,0.4460807082137461,1998
685,RUSH FK.,11.0,Debris Burning,39.43448578,-80.97662087,WV,Mar,0,0,3.64939759,3.329826733,66.47865459,39.5,0.122437589585753,2001
697,SHOE,5.0,Other,42.8848,-116.10859,ID,Aug,1,4,24.52621118,4.549813665,36.80199253,15.6,0.4536962940809865,2015
700,#9,1.0,Arson,34.8366667,-92.7663889,AR,Mar,1,16,0.0,0.0,0.0,0.0,0.2318062895759225,2010
711,OTA 127,25.0,Arson,43.2533,-116.1603,ID,Jul,0,9,21.81686122,4.244747082,38.36569149,5.6,0.4540914367171806,2011
714,BALLI,5.0,Arson,26.13027778,-98.15666667,TX,Jul,0,12,30.25891616,4.106113942,57.38341602,0.0,0.2890701506293072,2009
715,21007,2.0,Other,37.35,-94.83,KS,Feb,0,0,3.222545455,3.053818182,67.9642401,0.0,0.2495337379860136,2015
721,SHIPROCK 1,83.0,Debris Burning,36.7875,-108.6911,NM,Apr,0,0,6.245499382999999,4.773859433,43.92450495,8.9,0.3826516883500435,2009
722,DOYLE,8.0,Lightning,39.9932,-119.9877,CA,Jun,1,0,15.5336,2.9769333330000003,47.816,27.2,0.4942202298306937,1996
725,52,5.0,Other,39.01,-95.44,KS,Mar,0,0,-2.168499427,3.936896552,66.41714948,7.9,0.254386019240133,2015
730,PHOEBE ISLAND,0.7,Accidental,47.855,-91.00777778,MN,Jul,1,15,20.5701581,2.956768775,68.16287129,0.0,0.2103208496821123,2002
734,ARLENE,10610.0,Other,31.33888889,-110.54583329999998,AZ,May,6,12,9.706177156,3.596923077,0.0,0.0,0.4045070487834594,2011
744,57,0.6,Accidental,45.9916,-89.8529,WI,Apr,0,15,6.0,4.613793103,53.79310345,0.0,0.2000995831016367,1997
751,FENCEMAKER,2.0,Other,40.0649,-117.8626,NV,Jun,1,14,21.82527778,4.29375,21.26527778,0.0,0.4725553878801749,1994
755,493,10.0,Debris Burning,26.41166667,-98.92027778,TX,Jan,1,12,18.75618945,3.896736726,67.37198986,0.0,0.2960396582067426,2008
761,FY2000-POLK-105,10.11,Debris Burning,34.0531,-85.2719,GA,Jan,0,16,5.29875,0.9825,67.55844156,0.0,0.163831513910958,2000
769,LICK CREEK,25.0,Arson,35.367933,-84.39156,TN,Oct,0,15,20.11576194,0.416285154,73.98430034,0.0,0.1550827434169301,2007
775,FY2000-GRADY-073,0.6,Debris Burning,30.8988,-84.1749,GA,Feb,0,12,10.49365303,4.142172523999999,62.41923775,0.0,0.1562173027614379,2000
779,18TH AVE NE (11),2.0,Lightning,26.2639,-81.514,FL,Aug,0,12,28.58130435,2.714782609,80.65699874,303.3,0.1364048411776897,2014
788,CARROL FIRE,2.0,Debris Burning,28.34296667,-97.71205,TX,Aug,0,12,29.9369238,3.933113829,64.55549975,3.6,0.2828904830398058,2014
791,6.12015E+12,2.0,Debris Burning,31.8859302,-89.20268668,MS,May,0,12,0.0,0.0,0.0,0.0,0.2010089759528797,2015
804,FY2015-SEMINOLE-001,1.95,Debris Burning,31.01638889,-84.89972222,GA,Jul,0,12,28.82204577,1.913404951,70.59041804,0.0,0.1626370065565003,2014
808,COLUMBIA,4.9,Arson,44.70000082,-67.80000333,ME,Jun,0,15,11.35142857,3.990285714,0.0,0.0,0.0067724431516416,1992
811,2360 NORTH,70.0,Debris Burning,26.3825,-98.605,TX,Feb,1,12,-4.464861111,4.748328691,74.64306785,0.0,0.2930787647604218,2005
817,POWERPLANT,7.0,Utilities,42.60045,-114.39701,ID,Aug,0,4,24.98748261,4.396258993,36.95683453,3.3,0.4365927949789825,2000
818,SKU CANAL,2.0,Arson,41.7782,-122.6395,CA,Jul,0,15,21.00421941,2.954439252,40.08411215,0.0,0.5206880592619922,2000
826,FY2002-CARROLL-037,1.1,Accidental,33.6588,-85.1642,GA,Nov,0,16,12.962,1.625578231,63.98480243,8.1,0.1631233796990803,2001
834,BRIMESTONE,125.0,Arson,36.3156,-84.47952,TN,Apr,2,0,13.88186874,1.552968037,65.82526564,132.3,0.1553090833349424,2007
838,OLD TIMER,3.0,Other,46.44665,-111.96946,MT,Mar,4,9,-0.851944444,3.092083333,59.74444444,34.9,0.4112447677645359,1994
847,PEARL DRIVE,2.0,Other,34.74143333,-76.63756667,NC,Jul,0,16,27.91181912,4.832887975,75.77183967,61.0,0.0869210491891021,2011
848,T,10.0,Lightning,45.94527778,-115.3161111,ID,Aug,5,15,22.54532578,1.023087819,58.03835227,3.1,0.4448132550745456,2003
858,BAX23614311,27.0,Debris Burning,36.26666,-92.28333,AR,Apr,0,0,9.984333333,2.927,61.12918108,49.3,0.2264689712068655,2014
860,CLARK,1.0,Accidental,37.78222222,-118.9413889,CA,Sep,0,0,15.26635514,2.248405253,42.98915606,0.0,0.4846290400558102,2011
866,RL439,7.0,Other,47.8569,-94.8964,MN,Apr,0,15,2.538787024,4.384865629,58.29420085,13.0,0.2463847401782282,2000
873,WOOD CANYON COMPLEX,1.5,Utilities,32.2286,-104.3106,NM,Jun,0,12,28.30062112,4.452173913,39.77888199,15.1,0.3428787857430964,2010
874,762,1.0,Debris Burning,30.81772821,-89.62257954,MS,Oct,0,12,21.7015625,2.111169102,67.24425887,0.0,0.2056535221623097,2015
886,TRIBAL,5.0,Debris Burning,35.525,-106.3809,NM,May,0,15,0.0,0.0,0.0,0.0,0.3607884790592182,2002
888,JACK,0.8,Lightning,33.715,-109.1166667,AZ,Jun,1,16,23.00983146,4.043539326,25.01685393,0.0,0.3887247478700211,2000
890,WHITNEY PASS,12.0,Lightning,36.55,-114.0792,NV,Jul,2,0,33.89450549,3.364148352,8.872077029,0.0,0.43621870131364,2007
892,OGEMAW 02 - DECKERVILLE,14.6,Debris Burning,44.45954,-84.0329,MI,Mar,0,15,3.314919169,3.960214529,76.37787567,0.0,0.1477518121289611,2012
898,TURNER CREEK,48.4,Debris Burning,48.7929,-118.8518,WA,Apr,167,15,8.79620915,2.999736842,61.19894598,23.8,0.4800297438094687,2015
900,BUTTERFIELD,1.0,Other,34.505,-117.88,CA,Jul,0,16,26.85693431,4.613430657,37.93284672,0.0,0.4757571277580561,1998
904,EASTER,10.0,Debris Burning,37.1167,-107.2839,CO,Apr,0,0,3.950965825,3.312481426,58.55981595,0.0,0.3686804830504246,1998
909,CUMARO,725.0,Lightning,32.56916667,-110.4536111,AZ,Jun,3,12,26.70670038,3.870535714,21.50446999,113.2,0.4026973240532081,2008
919,30311,50.0,Debris Burning,35.51670001,-94.75148335,OK,Feb,0,15,6.28120145,2.956181015,59.50442478,0.0,0.2498524734697373,2009
