,fire_size,fire_cause,latitude,longitude,discovery_month,putout_time,Temp_pre_7,Wind_pre_7,Hum_pre_7,Prec_pre_7,year
119,2.0,Accidental,37.1575,-107.0202778,Sep,3,6.604060914,3.873857868,35.34010152,0.0,2008
123,3.0,Lightning,36.0602,-118.0965,Jul,2,35.10714286,4.509090909,0.0,0.0,2003
124,1.0,Arson,34.8839,-98.2039,Aug,0,34.41666667,3.982142857,36.39880952,0.0,2011
125,1.5,Arson,31.4636,-81.3551,Jul,0,28.92278481,4.007594937,66.16883117,52.0,1996
126,15.0,Arson,34.80025167,-89.65493016,May,0,17.91666667,4.4226190480000005,55.44444444,29.5,1996
127,4.0,Lightning,45.63666667,-106.0383333,Jun,1,0.0,0.0,0.0,0.0,1994
130,78.0,Arson,36.78186,-96.004014,Dec,0,-2.034069401,1.700630915,88.90733591,13.0,2013
131,3.0,Arson,33.2892,-110.4575,May,0,27.86300578,4.902312139,20.53179191,0.3,2006
139,1.0,Accidental,35.0623,-108.8434,May,0,0.0,0.0,0.0,0.0,1997
142,1.0,Lightning,33.9848,-110.0857,Jul,0,26.08510638,5.017021277,24.44680851,2.0,1997
146,1.0,Debris Burning,46.1144,-100.6923,Apr,0,-0.05988024,4.186144578,70.06289308,1.3,2001
148,3.0,Debris Burning,34.301426,-79.426903,Mar,0,10.03777336,2.676143141,67.94379391,0.0,2014
157,9.1,Accidental,29.1325,-81.62,May,0,26.05645161,2.93959596,73.06289308,0.0,2015
165,17.9,Accidental,48.0443,-118.3853,May,0,12.16666667,3.145454545,52.72727273,17.5,2001
170,4.0,Arson,33.310308,-87.777564,Apr,0,17.02094241,3.713612565,62.62303665,8.4,2008
173,40.0,Utilities,41.533,-96.0333,Aug,0,0.0,0.0,0.0,0.0,2002
175,1.74,Utilities,42.82194189,-73.35379719,Apr,0,10.19047619,2.124404762,46.70238095,0.0,2005
187,1.5,Lightning,33.7319444,-109.026667,Jul,3,25.51436782,3.047126437,40.27011494,0.8,2010
192,1.0,Lightning,40.22861111,-120.6713889,Jun,1,15.78106509,1.11035503,58.56089744,0.0,2006
193,10.0,Arson,32.51734167,-83.2437,Dec,0,8.580912863,1.846058091,70.85279188,0.0,2013
197,3.06,Accidental,33.71,-84.2811,Mar,0,10.53571429,3.469642857,59.16071429,0.0,1994
199,2.0,Debris Burning,42.9758,-108.9493,Mar,0,3.549494949,3.756060606,43.13131313,1.5,2006
204,1.0,Utilities,42.68452,-97.4667,Apr,0,9.272,5.5334,69.118,14.8,2015
206,1.03,Debris Burning,32.0471,-83.6526,Jun,0,25.23060109,2.142076503,76.35928144,5.3,1996
217,2.0,Arson,33.483334,-79.349998,Nov,0,14.90191388,2.959090909,68.04032258,0.0,2012
220,0.8,Debris Burning,32.45075,-82.61933333,Dec,0,7.799603175,1.818452381,67.85513078,0.0,2014
221,2.4,Arson,41.85472222,-77.70888889,Apr,0,6.834355828,5.726993865,71.43037975,11.0,2003
222,5.0,Accidental,31.55336502,-90.38181672,Nov,0,12.27435388,2.222266402,68.21428571,0.0,2014
227,46.4,Arson,37.73305556,-91.075,Mar,0,8.305555556,4.527777778,46.87698413,13.5,2012
230,1.0,Arson,30.3595,-84.8169,Jun,0,28.04398148,2.301869159,71.71495327,49.4,2015
232,76.0,Lightning,27.0042,-80.3196,Jul,0,25.728125,1.74984326,80.19242902,0.0,2015
236,510.0,Lightning,47.95055556,-115.6347222,Aug,18,28.54166667,2.270833333,0.0,0.0,2000
237,30.0,Utilities,34.197,-103.532,Mar,0,16.4,6.3875,22.725,0.0,2011
241,1.0,Debris Burning,36.0107,-80.650283,Jan,0,0.0,0.0,0.0,0.0,2015
251,15.0,Arson,30.54395234,-88.4540867,Feb,0,11.37323944,3.5300469480000003,74.15243902,6.9,1999
261,5.0,Arson,35.34527778,-82.63527778,May,1,15.2327044,1.526205451,61.81341719,0.0,2006
262,15.0,Debris Burning,34.8834,-109.034,Mar,0,0.0,0.0,0.0,0.0,1996
266,3.0,Accidental,43.255,-100.8376,May,0,8.09047619,5.335714286,64.56741573,43.9,2002
276,1.0,Arson,31.359876,-89.39684914,Feb,0,9.990963855,1.873493976,50.25903614,0.0,1993
277,1.8,Lightning,45.28217824,-88.82622296,Aug,0,0.0,0.0,0.0,0.0,1994
280,3.6,Debris Burning,32.1151,-81.7517,Feb,0,-16.89863014,3.997260274,73.94117647,0.0,1996
284,30.0,Debris Burning,34.11264952,-88.55461438,Oct,0,16.13772455,2.535542169,65.90361446,0.0,1999
286,5.2,Lightning,33.7556,-109.6509,Jun,3,17.09090909,5.270909091,35.43838384,0.0,2005
290,3.0,Lightning,39.4555,-109.9757,Aug,0,23.05882353,2.347058824,49.76470588,0.0,1996
291,29.0,Arson,31.0201,-82.23888889,Apr,16,0.0,0.0,0.0,0.0,2006
297,1.0,Lightning,39.28266823,-80.58605765,Apr,0,12.69115044,3.714159292,29.625,0.0,1995
298,20.0,Arson,33.559897,-86.926153,Feb,0,6.628968254,0.0,0.0,0.0,2007
313,1.0,Utilities,46.1525,-100.6915,May,0,2.457943925,6.230841121,55.09813084,1.0,2005
315,85.0,Arson,34.82717,-95.255,Feb,0,6.852356021,4.251308901,65.08376963,0.0,2015
318,9.0,Accidental,37.7073881,-81.73046153,May,0,16.20193237,3.985436893,55.99029126,4.6,2014
319,9.77,Debris Burning,34.4816,-85.1115,Apr,0,0.0,0.0,0.0,0.0,2002
323,4.5,Arson,48.8525,-99.685,Oct,0,13.71446809,5.46893617,61.06382979,3.3,2006
324,2.93,Debris Burning,32.1841,-83.3691,Feb,0,10.02983425,3.350276243,60.24309392,0.0,1996
328,2.0,Arson,30.524226,-87.522374,Apr,0,17.47183099,3.118439716,68.84745763,0.3,2004
338,2.0,Lightning,35.6845,-106.5517,Jul,1,26.0,3.1,28.0,0.0,2001
343,1.0,Debris Burning,34.93982412,-88.70155732,Mar,0,9.317391304,3.425465839,66.92546584,0.0,1993
344,2.0,Lightning,33.77555556,-108.8855556,Nov,0,6.705882353,3.036898396,52.27807487,12.4,2013
347,1.53,Arson,31.7893,-81.6331,Mar,0,19.90887097,0.727419355,69.63114754,0.5,1992
357,1.0,Debris Burning,35.6995,-80.25333333,Apr,0,17.51143451,1.063617464,53.87982833,0.0,2010
360,1.0,Accidental,46.49912396,-87.45859711,Apr,1,2.676969697,3.819393939,71.08484848,29.5,1995
361,4.89,Debris Burning,32.37227778,-83.84344444,Aug,0,26.67259036,1.985240964,78.5,15.7,2015
368,4.2,Debris Burning,42.9808,-108.4483,Apr,0,5.42173913,4.075982533,49.6069869,17.4,2012
369,25.0,Debris Burning,31.1505289,-91.04434619,Mar,0,0.0,0.0,0.0,0.0,1999
374,1.5,Accidental,32.37180688,-109.6627996,May,0,21.53367769,2.1148760330000003,24.60743802,0.0,1993
377,2.2,Debris Burning,38.86861111,-79.36194444,Apr,2,7.514285714,0.451190476,62.80238095,0.0,2009
382,2.0,Debris Burning,35.12,-77.83833333,Apr,0,20.79759519,0.705410822,55.85520362,0.0,2010
384,1.0,Debris Burning,37.10551834,-82.8234024,Dec,0,1.777777778,4.204166667,63.35795455,0.0,2013
385,470.0,Utilities,42.2017,-96.5558,Mar,0,6.06468254,4.668253968,63.68452381,0.0,2010
389,8.71,Accidental,34.67888889,-85.30972222,Apr,0,10.86403162,3.141463415,64.34934498,34.0,2014
393,1.0,Debris Burning,31.998438,-87.323307,Mar,0,6.313604767,2.3130952380000003,0.0,0.0,2008
395,60.0,Debris Burning,31.1773011,-88.51974019,Jan,0,0.0,0.0,0.0,0.0,1994
396,4.9,Debris Burning,48.8655,-99.8528,Apr,0,9.848906561,3.274051896,48.43712575,0.0,2010
399,8.57,Utilities,44.83029129999999,-88.05570118,May,0,12.82797619,4.18452381,51.83832335,6.0,1996
401,32.4,Lightning,41.2352,-116.7362,Jul,1,29.03448276,4.739285714,33.0,0.0,2001
407,15.0,Lightning,34.41000001,-95.91016668,Jun,0,28.31707317,2.139837398,70.23870968,0.0,2009
419,1.0,Arson,39.936181,-122.09345,Aug,0,0.0,0.0,0.0,0.0,2004
421,1.0,Arson,35.7239,-94.5942,Nov,0,5.5975609760000005,1.993902439,55.96,0.0,2008
424,656.0,Utilities,34.8,-102.24,Jul,0,28.74404762,4.243055556,38.73015873,0.0,2011
439,15.0,Debris Burning,37.10174179,-83.29543304,Apr,1,4.8111332010000005,1.803386454,74.33755274,0.0,2013
440,2.0,Debris Burning,42.35957122,-74.0207546,Apr,0,6.879225352000001,3.801056338,68.08243728,237.4,2007
441,3.0,Utilities,38.886764,-123.16392,Oct,0,12.07871287,1.088613861,58.14285714,0.0,2009
445,1.0,Accidental,35.36848333,-77.94196666,Mar,0,12.02472325,2.699630996,59.13475177,10.8,2010
448,1.01,Arson,31.6865,-81.7947,Feb,0,11.35375,4.37375,54.125,0.0,1996
455,10.0,Accidental,37.21778,-87.73299,Mar,1,13.86884921,0.0,0.0,0.0,2012
464,1.0,Arson,47.9783,-99.0225,Apr,0,-1.735059761,5.2156,57.604,0.0,2007
470,1.0,Debris Burning,41.81416667,-123.35833329999998,Jun,0,11.83786982,3.0112426039999995,59.31360947,0.0,2005
474,0.6,Lightning,34.33805556,-117.7088889,Jul,1,0.0,0.0,0.0,0.0,2011
479,0.55,Debris Burning,31.515,-81.3746,Sep,0,26.67021277,2.379787234,74.02150538,4.3,1997
482,1.0,Lightning,35.06555556,-112.0052778,May,0,28.9,7.2,18.0,0.0,2001
484,4.0,Arson,31.111340500000004,-89.59378043,Oct,0,19.49230769,3.523668639,68.72189349,0.0,1992
486,3.8,Lightning,34.383334999999995,-80.966667,Jul,0,28.0,2.020240964,53.47710843,0.0,2011
489,2.45,Debris Burning,32.84417763,-84.40365152,Apr,0,11.62828283,2.028888889,82.52040816,0.0,2011
494,1.68,Debris Burning,44.69583,-122.72389,Aug,0,21.63817097,3.539960239,58.33466135,0.0,2014
501,2.2,Lightning,31.27108084,-81.46903512,Jun,1,25.83266932,2.303984064,67.91341991,0.0,2011
504,0.75,Debris Burning,34.51570968,-83.35523917,Apr,0,16.59722222,2.989880952,44.06352941,0.0,2012
507,9.0,Arson,33.798132,-87.29437,Mar,0,10.89940828,3.1775147930000003,52.16969697,0.5,2004
513,2.0,Debris Burning,30.726895000000003,-88.352533,Sep,0,23.77142857,3.198148148,73.60377358,37.1,2006
516,1.0,Arson,31.121967,-88.23605400000001,Jan,0,0.0,0.0,0.0,0.0,2006
524,1.0,Debris Burning,33.009374,-85.826621,Mar,0,16.75151515,2.502626263,65.64537445,0.0,2006
525,29.0,Arson,35.0192,-96.6255,Mar,1,4.163021869,4.177534791,65.68058968,0.0,2013
528,5.0,Debris Burning,38.79,-95.83,Apr,0,14.65302326,5.603271027999999,63.60747664,9.9,2015
532,38.0,Arson,32.369469,-85.858073,Apr,0,21.89814815,2.222222222,50.79439252,0.8,2006
538,1.0,Arson,47.8686,-95.0864,Mar,0,4.470167064,3.684725537,76.22716049,0.5,2003
542,3.0,Arson,35.7242,-94.5592,Nov,0,10.45546559,2.173481781,57.35421166,0.0,2012
545,1.0,Debris Burning,33.03691667,-83.31219444,Oct,0,14.67857143,0.394642857,67.88599349,0.0,2014
547,3.0,Utilities,35.74901666,-81.03288333,Mar,0,2.959760956,2.915568862,56.34773663,2.0,2010
548,34.0,Lightning,34.2471,-93.54496,Jul,0,19.79484127,2.385119048,0.0,0.0,2011
552,5.0,Debris Burning,26.49373,-98.8915,Aug,0,31.30769231,6.678106509,59.52380952,0.0,2003
553,1.65,Utilities,34.3445,-85.462,Dec,0,7.716875,3.429375,57.5375,0.0,1994
555,1.0,Debris Burning,31.6769881,-89.8169897,Oct,0,21.08023952,1.389820359,58.68862275,0.0,1993
561,0.85,Debris Burning,32.0128,-83.6124,Jan,0,0.0,0.0,0.0,0.0,1996
564,33.0,Arson,36.27722222,-82.135,Sep,5,20.64361702,0.89893617,71.85549133,2.1,2005
565,8.0,Accidental,32.62693511,-89.99720688,Jul,0,25.78372093,2.37627907,80.25870647,69.0,1994
566,10.0,Debris Burning,31.18938333,-95.61306667,Apr,0,20.59081836,3.865868263,59.01234568,0.0,2011
576,60.0,Debris Burning,32.08419,-85.112963,Mar,0,15.81162791,3.331976744,42.61046512,0.0,2004
587,1.5,Debris Burning,41.89322313,-74.11896046,Mar,0,0.0,0.0,0.0,0.0,2006
589,12.1,Utilities,43.14277,-116.07345,Jun,0,23.45793651,5.311111111000001,26.63492063,0.0,2013
595,25.0,Accidental,31.92045542,-110.96774840000002,Nov,1,9.282738095,2.29047619,25.07142857,1.0,1992
599,30.0,Debris Burning,39.15,-95.1,Mar,0,-0.121808511,3.683870968,62.88172043,1.3,2015
606,1.0,Arson,34.51807952,-88.48278853,Nov,0,12.28061224,2.219897959,60.95419847,91.0,1999
608,15.0,Lightning,39.49527778,-121.12583329999998,May,3,20.11973392,2.066740576,28.64523282,0.0,2013
612,0.75,Arson,44.760028000000005,-68.827528,Feb,0,0.0,0.0,0.0,0.0,2006
613,65.0,Accidental,34.35624487,-89.74125852,Feb,0,10.73869048,3.883928571,51.23780488,0.0,1995
614,4.0,Arson,41.0332,-123.6512,Oct,0,13.28795987,2.7488294310000003,74.04562738,69.5,1998
621,2.0,Debris Burning,30.6826327,-88.57432712,Oct,0,16.63925926,1.148148148,78.88780488,0.0,2014
625,4.0,Arson,33.12555833,-84.19145,Dec,0,4.848906561000001,2.289065606,0.0,0.0,2013
627,2.0,Lightning,47.25583,-107.15017,May,0,19.40526316,2.884705882,52.97058824,3.0,2014
630,0.8,Accidental,45.5275,-106.9812,Mar,0,7.175595238,3.471428571,56.11278195,0.0,1995
632,6.0,Accidental,38.4443,-83.2043,Mar,0,9.152777778,1.996620278,62.20905172,15.3,2015
633,1600.0,Lightning,46.6617,-108.5317,Jul,0,27.43372781,2.595857988,36.36686391,2.8,2006
636,18.0,Lightning,41.6908,-116.4258,Aug,1,24.95191257,2.667759563,34.19125683,0.8,2012
640,160.0,Debris Burning,47.34027778,-114.74666670000002,May,19,13.16666667,2.704166667,0.0,0.0,2001
642,1.0,Arson,36.86638889,-84.49083333,Apr,1,8.296296296,3.081987578,65.06206897,0.0,2004
644,12.1,Debris Burning,32.2014,-83.7933,Jan,0,0.0,0.0,0.0,0.0,2002
646,3.0,Lightning,34.2722222,-111.035556,Sep,3,21.25754527,2.162575453,47.68666667,0.0,2010
654,1500.0,Debris Burning,39.83333333,-98.83333333,Oct,1,10.69871795,4.180769231,39.52564103,0.0,1999
655,1.0,Debris Burning,31.2408,-81.4975,Jun,0,29.16588235,2.149411765,60.68235294,0.0,1993
661,1.0,Arson,31.28657477,-89.76181109999999,May,0,24.88502994,1.371257485,63.34730539,0.0,1996
665,75.0,Utilities,43.175,-103.975,Oct,0,17.62363636,3.907272727,32.08181818,0.0,1992
668,2.81,Debris Burning,32.4415,-84.1977,Mar,0,0.0,0.0,0.0,0.0,2002
670,5.0,Lightning,66.9106,-153.675,Jul,12,14.41396226,1.97245283,57.48490566,0.0,2011
671,135.0,Debris Burning,34.64395,-92.18399,Jun,0,25.66555556,2.920555556,61.76666667,7.7,2012
676,0.8,Lightning,45.18722222,-116.3205556,Jul,1,19.52287582,1.321568627,56.91304348,3.8,2003
680,27.0,Arson,34.380043,-87.995841,Mar,0,3.0351190480000003,6.056547619,63.9939759,0.0,2005
684,8.0,Lightning,46.57666667,-115.4566667,Aug,5,0.0,0.0,0.0,0.0,1998
685,11.0,Debris Burning,39.43448578,-80.97662087,Mar,0,3.0421052630000003,3.863186813,62.54857143,1.3,2001
695,1.0,Arson,33.92163022,-89.94962868,Mar,0,13.86441718,2.654601227,67.16666667,2.0,1992
700,1.0,Arson,34.8366667,-92.7663889,Mar,1,0.0,0.0,0.0,0.0,2010
708,6.0,Debris Burning,40.60509109,-98.47724152,May,0,10.5025641,6.913675214,65.94642857,17.6,2013
710,8.0,Debris Burning,34.30303308,-88.96634433,Aug,0,26.27647059,1.766470588,67.41566265,11.2,1999
711,25.0,Arson,43.2533,-116.1603,Jul,0,23.69081081,3.769189189,37.51351351,0.0,2011
714,5.0,Arson,26.13027778,-98.15666667,Jul,0,30.73737575,3.313518887,56.550898200000006,0.0,2009
721,83.0,Debris Burning,36.7875,-108.6911,Apr,0,4.382938389,6.093838862999999,47.55502392,2.1,2009
722,8.0,Lightning,39.9932,-119.9877,Jun,1,21.45119048,2.007142857,37.0,0.0,1996
730,0.7,Accidental,47.855,-91.00777778,Jul,1,22.49786325,3.064316239,61.39400428,0.0,2002
744,0.6,Accidental,45.9916,-89.8529,Apr,0,10.42857143,3.514285714,28.71428571,0.0,1997
745,0.72,Debris Burning,43.31068615,-76.42438889,Apr,0,6.235294118,2.9779411760000003,76.12389381,4.8,2000
755,10.0,Debris Burning,26.41166667,-98.92027778,Jan,1,16.85667752,3.806614786,67.68669528,0.0,2008
761,10.11,Debris Burning,34.0531,-85.2719,Jan,0,0.0,0.0,0.0,0.0,2000
763,2.0,Accidental,48.465,-114.015,Apr,0,4.086904762,3.414285714,68.95238095,13.4,1992
769,25.0,Arson,35.367933,-84.39156,Oct,0,18.60206718,0.396640827,72.41436464,0.0,2007
772,35.0,Accidental,41.87133408,-103.4590988,Jul,0,0.0,0.0,0.0,0.0,2013
773,10.0,Accidental,33.594593,-80.206375,Feb,0,7.918489066,1.837574553,60.23777778,0.0,2011
775,0.6,Debris Burning,30.8988,-84.1749,Feb,0,18.49152542,3.930322581,71.55199999999999,0.0,2000
778,3.0,Utilities,34.54682996,-89.65597737,Jun,0,25.3,1.109418838,60.77955912,0.0,2012
779,2.0,Lightning,26.2639,-81.514,Aug,0,28.83116279,2.802790698,80.78064516,35.6,2014
782,1.0,Arson,43.17635235,-77.61052715,Aug,1,21.66622517,2.116225166,86.71276596,89.7,2003
788,2.0,Debris Burning,28.34296667,-97.71205,Aug,0,30.54543651,5.9468253970000005,65.97352342,0.0,2014
791,2.0,Debris Burning,31.8859302,-89.20268668,May,0,0.0,0.0,0.0,0.0,2015
801,1.0,Debris Burning,44.28044214,-91.93976122,May,0,7.447524752,3.82039604,74.74576271,0.0,2014
804,1.95,Debris Burning,31.01638889,-84.89972222,Jul,0,30.27108434,2.025903614,62.28915663,0.0,2014
808,4.9,Arson,44.70000082,-67.80000333,Jun,0,13.04666667,4.24,0.0,0.0,1992
811,70.0,Debris Burning,26.3825,-98.605,Feb,1,1.157738095,4.246706587,64.56287425,0.0,2005
817,7.0,Utilities,42.60045,-114.39701,Aug,0,25.23728814,4.5360000000000005,42.24571429,3.3,2000
818,2.0,Arson,41.7782,-122.6395,Jul,0,22.94797688,3.1865497080000003,39.78947368,0.0,2000
826,1.1,Accidental,33.6588,-85.1642,Nov,0,12.0519774,1.837714286,64.25675676,0.8,2001
834,125.0,Arson,36.3156,-84.47952,Apr,2,11.85675676,1.313513514,66.70813397,53.0,2007
842,4.0,Arson,32.456084999999995,-80.987724,Mar,0,11.84759825,2.445851528,74.69911504,0.0,2014
848,10.0,Lightning,45.94527778,-115.3161111,Aug,5,22.04347826,1.122981366,56.44720497,0.0,2003
856,1.0,Arson,31.45454988,-89.72966745,Feb,0,2.905952381,3.4101190480000003,76.17261905,0.0,1996
858,27.0,Debris Burning,36.26666,-92.28333,Apr,0,11.98125,2.772321429,66.13145540000001,17.8,2014
860,1.0,Accidental,37.78222222,-118.9413889,Sep,0,14.0,2.016898608,40.77733598,0.0,2011
864,1.0,Debris Burning,31.409569,-87.96703000000001,Jul,0,27.28720379,2.279146919,66.00473934,0.0,2006
873,1.5,Utilities,32.2286,-104.3106,Jun,0,30.4622549,5.002941176,41.23039216,0.8,2010
874,1.0,Debris Burning,30.81772821,-89.62257954,Oct,0,22.28015873,1.154183267,68.12151394,0.0,2015
885,1.0,Accidental,45.80415537,-87.19286579999999,May,0,7.472043011,5.508695652,70.0,9.0,1992
886,5.0,Debris Burning,35.525,-106.3809,May,0,0.0,0.0,0.0,0.0,2002
888,0.8,Lightning,33.715,-109.1166667,Jun,1,22.21686747,4.256626506,38.59036145,0.0,2000
890,12.0,Lightning,36.55,-114.0792,Jul,2,37.02176471,2.988823529,8.970588235,0.0,2007
892,14.6,Debris Burning,44.45954,-84.0329,Mar,0,11.99800797,1.77253012,79.07951807,0.0,2012
897,1.0,Arson,31.38485886,-89.69710991,Jul,0,27.76267748,1.85821501,56.92494929,0.0,2012
898,48.4,Debris Burning,48.7929,-118.8518,Apr,167,6.512716762999999,2.7354651160000003,51.56395349,0.3,2015
904,10.0,Debris Burning,37.1167,-107.2839,Apr,0,3.431137725,3.032934132,54.74375,0.0,1998
905,0.6,Debris Burning,34.7387,-85.0726,Mar,0,7.420930232999999,0.580952381,74.97619048,0.0,1992
909,725.0,Lightning,32.56916667,-110.4536111,Jun,3,32.88214286,3.5559523810000004,14.27380952,0.0,2008
919,50.0,Debris Burning,35.51670001,-94.75148335,Feb,0,7.507186858,3.229774127,61.95652174,0.0,2009
920,1.5,Lightning,40.46307,-101.7912,Aug,0,23.6372973,4.107065217,62.65217391,2.1,2014
921,1.0,Debris Burning,34.93883823,-89.22131759,Jan,0,0.0,0.0,0.0,0.0,2014
925,8.0,Utilities,38.90525,-121.960717,May,0,18.64674556,3.14556213,50.58579882,0.0,2012
929,5.0,Arson,34.86037408,-88.70755890000001,Feb,0,11.6631068,3.216504854,47.07142857,0.0,1995
932,0.9,Lightning,35.28333333,-108.35,Jul,1,22.07627119,3.041525424,39.51282051,0.0,2004
933,1.0,Arson,35.3,-79.66666666,Aug,0,24.88797814,1.820111732,83.48414986,75.2,2010
935,7.0,Arson,36.23507,-91.16863,Mar,0,15.61582341,0.0,0.0,0.0,2012
937,62.0,Lightning,33.8962,-104.4169,Jul,0,28.66363636,3.603246753,43.79220779,0.3,1998
938,70.0,Arson,32.75036778,-89.89871456,Feb,0,6.767857143,3.645833333,64.54761905,99.2,1992
947,110.4,Lightning,45.25945,-88.44646999999999,May,2,13.77797619,3.206746032,69.03298969,16.5,2014
956,0.7,Arson,31.618,-81.8955,Feb,0,12.18390805,3.196551724,54.69411765,0.0,2000
959,80.0,Arson,32.286666,-85.373632,Mar,0,15.55339806,2.36195122,72.09444444,21.9,2007
963,146.0,Debris Burning,38.204,-93.528,Mar,0,4.064386318,3.162704918,63.47186147,0.0,2014
970,1.8,Debris Burning,36.50583333,-81.0585,Apr,0,10.31349206,1.718924303,53.260181,0.0,2013
974,20.0,Debris Burning,46.4054,-120.747,Jul,0,27.34923077,3.243589744,37.98461538,0.0,2002
977,1.9,Lightning,31.59722222,-92.54388889,Jun,0,23.94598214,0.0,0.0,0.0,2012
984,1.0,Debris Burning,45.48194444,-88.49444444,Sep,0,17.85738397,2.201687764,70.21834061,8.6,2008
988,62.0,Arson,35.2758,-98.3019,Aug,1,29.46520875,0.015308151,59.43574297,0.0,2010
1002,1.0,Accidental,37.95704,-86.13524,Mar,0,9.723350254,3.830456853,74.76470588,7.9,2010
1003,2.0,Debris Burning,31.60720273,-89.63028941,Sep,0,24.45505618,2.414689266,57.85875706,0.0,1999
1006,2.51,Accidental,32.62073868,-83.34583685,Jan,0,0.0,0.0,0.0,0.0,2011
1010,1.0,Accidental,43.9592,-99.2376,Jul,0,17.94047619,4.036904762,70.03144654,31.0,2000
1013,360.0,Debris Burning,36.4739,-96.6853,Apr,0,9.901834862,5.286697248,60.47368421,13.0,2002
1014,0.6,Debris Burning,43.0038,-76.222,May,0,11.94857143,3.127011494,59.21264368,0.0,2015
1016,15.0,Lightning,36.78,-107.2744444,Aug,0,18.48170732,2.530487805,32.04907975,0.3,2002
1018,0.65,Utilities,47.4922,-117.4899,Jun,6,21.19513514,2.821621622,33.01621622,0.0,2015
1022,5.0,Lightning,42.12944444,-105.3236111,Jun,0,0.0,0.0,0.0,0.0,2002
1023,1.0,Debris Burning,31.63911778,-90.25931278,Sep,0,24.22619048,1.921357285,69.945,0.0,2015
1030,95.0,Arson,34.9846667,-94.97000001,Jan,0,0.0,0.0,0.0,0.0,2011
1031,2.0,Debris Burning,35.52415,-84.95835,Nov,0,1.095045045,3.42,65.39090909,37.6,2014
1035,0.75,Lightning,44.94805556,-119.7075,Jul,2,22.6983631,1.65,0.0,0.0,2008
1040,4.0,Lightning,29.0151,-80.9726,Jul,0,27.72897196,4.241121495,73.25233645,0.0,2015
1041,15.0,Lightning,44.95083333,-112.76666670000002,Jul,1,21.15957447,3.42606383,55.20108696,9.9,2003
1045,0.75,Debris Burning,32.142708899999995,-88.11415190000001,Feb,0,1.3668122269999998,2.843859649,76.18942731,13.8,2011
1062,3.0,Debris Burning,48.4667,-108.6007,Apr,0,4.488317757,5.025700935,70.08530806,3.9,1999
1077,20.0,Debris Burning,33.895671,-86.963599,Jan,0,5.343936382,2.341749503,76.40963855,0.0,2009
1079,7.0,Arson,34.30679716,-89.67820616,Mar,0,11.16864865,5.258918919,71.0,26.4,1998
1082,25.0,Arson,31.691048,-88.27058199999999,Feb,0,8.858525346,3.4736111110000003,68.13488372,47.2,2009
1083,3.0,Lightning,35.7917,-109.1932,Jul,0,22.78138298,3.083510638,39.87765957,15.5,2006
