,fire_name,fire_cause
13105,HAYSTACK,Other
13106,30115,Arson
13109,SHAKK,Arson
13112,FLATS ROAD,Debris Burning
13114,BARBER,Lightning
13116,CROOKED CR,Lightning
13125,633,Lightning
13128,FY2011-TREUTLEN-092,Debris Burning
13132,MILES,Lightning
13136,GULCH,Utilities
13137,MERIDIAN,Other
13141,FY2011-HARRIS-015,Debris Burning
13144,KINKO,Arson
13151,TRAILER,Utilities
13153,HARDISON FIRE,Other
13156,HENDERSON - 192,Other
13163,DEADHORSE,Debris Burning
13180,TRAIL,Other
13182,1.61201E+13,Debris Burning
13187,FIRST,Arson
13195,TECUMSEH,Utilities
13203,FY2013-BEN HILL-039,Debris Burning
13204,FY2001-WALKER-013,Debris Burning
13205,ROAD 6,Arson
13212,BORDER,Other
13218,BIG JOHNSON,Accidental
13220,JOHN MELVIN RD (46),Arson
13222,ROY LK,Arson
13225,RALPH,Arson
13232,CURUTES,Other
13260,WOODVILLE - 78,Other
13263,CLARENCE,Arson
13271,(19) ALLIGATORS FIRE,Lightning
13272,HELL,Lightning
13283,TIMBERED ROCK,Lightning
13285,SQUASH,Debris Burning
13287,RL156,Arson
13293,TURKEY,Debris Burning
13298,596 - TCHULKADE LAKE,Lightning
13300,GRIZZLY MTN,Lightning
13301,INC 380,Lightning
13304,JAIL,Arson
13306,MCLEOD,Lightning
13314,SLINKARD 2,Lightning
13318,FY2015-GREENE-004,Debris Burning
13320,S. YATES,Accidental
13322,CASTLE RK2,Lightning
13326,BEE HOUSE,Arson
13335,128137-07140-04012015-1055,Debris Burning
13336,MALT,Lightning
13341,MAJUBA,Other
13357,SYCAMORE,Lightning
13364,DWRANCH,Lightning
13365,MITCHELL COMPLEX -COAHOMA FIRE,Utilities
13367,WALNUT,Lightning
13369,SHARPSPOON,Lightning
13373,A1303023,Other
13383,NOBRAIN,Debris Burning
13393,CYPRESS SHOP(01),Other
13396,RL046,Arson
13399,PAUL WILLIS RD.,Debris Burning
13402,CARSON RIVER,Other
13406,W MNT N,Lightning
13409,WALKER'S TRAILER PARK,Other
13411,ROSITA,Other
13412,OLD DUMMY,Lightning
13426,LIN519860,Debris Burning
13427,HUNTER SAW IT,Other
13428,WAYMANS RIDGE ROAD,Accidental
13429,PURGITSVILLE,Lightning
13431,RUNWAY,Utilities
13439,DRY BLUE,Lightning
13442,FY2015-LUMPKIN-023,Debris Burning
13445,WALKER,Arson
13449,MUSTANG,Utilities
13457,GOODIN BRACNH FIRE,Debris Burning
13461,FY2014-PAULDING-004,Debris Burning
13471,SMALLWOOD RD.,Accidental
13479,FOSSIL,Other
13481,79TH FIRE,Lightning
13491,MCKINLEY RIVER,Lightning
13493,BRIDGE,Debris Burning
13498,REED,Utilities
13499,BORDER 10,Other
13507,WHITE STORE AND CAMDEN CHURCH ROAD,Utilities
13509,ISABELLE,Other
13513,HERON BAY,Other
13515,TIN CAN,Lightning
13517,FY2012-COLQUITT-013,Debris Burning
13532,TRENAY,Other
13539,PUMPKIN,Other
13541,PETTEFFY RANCH (43),Lightning
13553,HILLBILLY HILL,Debris Burning
13554,30608,Arson
13559,FY2001-CHATTAHOOCHEE-001,Lightning
13560,9.12015E+12,Debris Burning
13569,KENNEDY,Arson
13571,LIZZIE JETER LANE,Debris Burning
13575,OTA 133,Arson
13581,HWY 56 6,Accidental
13583,TOLL,Other
13586,SILLYII,Arson
13587,HIDDEN,Lightning
13588,PATTY'S,Arson
13597,LIVINGSTON - 243,Utilities
13598,DEWEYS,Accidental
13607,HOLLY GROVE,Arson
13608,BIG JOE,Utilities
13624,RL52,Debris Burning
13629,FY2014-MARION-027,Arson
13631,MULTIPLE FENCE (11),Arson
13633,DEVIL,Lightning
13638,SUNFLOWER FLAT,Lightning
13643,SANTAN7,Other
13651,UNNAMED FIRE 3603,Other
13652,BANNER RANCH,Lightning
13653,BISHOP,Lightning
13657,MS2001,Arson
13658,COLLEGE,Lightning
13659,BARTON,Other
13660,LEE FARMS,Other
13661,HT,Lightning
13665,DIRTY CAT,Utilities
13681,OTA 175,Arson
13682,FY2002-FLOYD-002,Arson
13684,EVERYWHERE,Arson
13686,123 FOWLER,Accidental
13698,FY2014-PULASKI-045,Debris Burning
13703,SEVEN SPRINGS,Debris Burning
13707,SUNSET,Other
13712,IRVINE,Arson
13714,TONTO'S 943 FIRE,Lightning
13715,INDIAN WAY,Debris Burning
13717,FUSSELL RD (25),Lightning
13727,HENDERSON - 533,Utilities
13728,KIOWA-690,Arson
13732,TRESTLE RIDGE,Other
13739,FY2000-JONES-067,Arson
13747,LINN,Lightning
13755,ELK LAKE,Lightning
13756,SNAKE,Arson
13758,TARKILN RIGDE,Lightning
13765,KALUKTAVIK RIVER,Lightning
13773,HOLSTEN,Other
13780,PIXDERCK1,Arson
13784,6199,Other
13795,44,Arson
13802,MR 2,Arson
13804,WEST FOREST TRAIL,Other
13819,WOLFPEN BRANCH,Arson
13823,SHOOTING RANGE,Other
13833,TILK HOLLOW,Arson
13855,SW 152 ST,Other
13856,FY2002-DOOLY-013,Accidental
13858,JOH9784035,Debris Burning
13859,JOHN L RD. FIRE,Arson
13866,EMRALD LN,Arson
13869,HENDERSON - 136,Arson
13872,JOSE,Debris Burning
13887,SW 27TH STREET(42),Debris Burning
13888,MINK,Debris Burning
13890,FORK,Lightning
13893,FY2012-DECATUR-011,Debris Burning
13896,CAMPBELL #6,Arson
13901,FY2012-SPALDING-027,Debris Burning
13911,25 MILE CREEK,Other
13918,1044 RD.,Utilities
13919,GOAT MOUNTAIN,Lightning
13928,MUD CREEK,Lightning
13929,07/STATE RD 69-0114,Debris Burning
13932,LINDEN - 6153,Debris Burning
13933,POTRERO,Lightning
13934,20062,Debris Burning
13940,SHULL RIDGE,Lightning
13956,TOWER,Lightning
13963,BETSY BEAVER,Debris Burning
13969,HENDERSON - 321,Other
13982,FY2015-JEFFERSON-044,Debris Burning
13983,FY2011-UPSON-049,Accidental
13988,HORSESHOE,Other
13995,LIT.PIN.3,Arson
13996,WOODS,Other
14008,DOWNWIND,Debris Burning
14015,30302,Arson
14029,JOE,Debris Burning
14031,RESERVATION,Utilities
14034,HORSE,Lightning
14051,BRUSHY CREEK,Arson
14056,STEWARD,Arson
14058,YELLOWSTON,Lightning
14059,HOLY CITY,Other
14060,OTTER,Debris Burning
14061,FITNESS,Other
14064,HOLT,Lightning
14065,TECOLOTE,Lightning
14069,30432,Debris Burning
14073,CARBON,Other
14074,RUGBY CREEK,Lightning
14093,BEAVER CREEK,Other
14098,PALMERTNK2,Other
14106,SHAWBORO RAILROAD #1,Other
14107,FLAG MOUNTAIN #4,Arson
14109,LIVINGSTON - 630,Arson
14111,WHITE OAK,Debris Burning
14114,HUMBOLDT,Other
14115,SEARIMHELP,Debris Burning
14118,RUBY,Debris Burning
14120,AMYOTTE,Debris Burning
14121,130450-11043-11132015-1353,Other
14128,BURRO,Lightning
14135,HEREFORD,Lightning
14137,EL RIDGE,Accidental
14143,WILLIAMS,Utilities
14144,FY2014-CHARLTON-036,Lightning
14153,MAXIEFIELD,Debris Burning
14157,BLACK,Lightning
14161,HELMER,Other
14170,ROSS FORK,Other
14181,PATTEN,Arson
14182,ALKALI CREEK,Other
14183,0385 BUCKHORN,Lightning
14193,TRAVELER'S HOME #2,Other
14200,OLD HOUSE,Other
14201,SUN DEVIL,Utilities
14222,BURNED BOTTLE,Arson
14223,PER8081251,Debris Burning
14233,VOLCANOVILLE,Other
14237,DUCK DUMP,Debris Burning
14239,BRADY 2 FIRE,Arson
14242,RL554,Accidental
14250,GOOSE CREEK,Lightning
14255,LIVINGSTON - 565,Arson
14270,PONCA DRIVE,Debris Burning
14276,FY2012-POLK-020,Arson
14280,NSHIELDS,Other
14288,ALL DAY,Debris Burning
14293,FY2014-TROUP-016,Arson
14294,42,Lightning
14296,SHEEP CREEK 3 WFU,Lightning
14301,ROAD 60,Debris Burning
14304,1.17202E+13,Debris Burning
14305,RIVER,Other
14317,FY2012-COFFEE-040,Debris Burning
14322,HORSE CAMP,Accidental
14323,CHANDLER CREEK,Arson
14324,MARKALLEY,Lightning
14328,VIADUCT,Lightning
14329,LOBO,Lightning
14335,132HIWAY,Utilities
14344,UP,Utilities
14356,WASHINGTON,Accidental
14359,FY2003-TWIGGS-006,Lightning
14366,UNNAMED FIRE 3752,Accidental
14376,BLOWN OVER,Arson
14379,PIONEER,Lightning
14381,FY2014-BLECKLEY-001,Debris Burning
14385,3 TRAILER,Accidental
14398,FY2011-MITCHELL-101,Debris Burning
14402,SPARKY'S ROAD,Other
14407,1304,Lightning
14408,CLOSED BRIDGE,Accidental
14416,ALSAKER,Other
14420,E. MCDONALD COW PASTURE,Arson
14431,30251,Arson
14437,466,Lightning
14439,LIVINGSTON - 262,Debris Burning
14445,221,Arson
14453,BARBWIRE,Debris Burning
14454,FY2014-PULASKI-021,Debris Burning
14461,FY2011-TWIGGS-048,Debris Burning
14466,MP11HWY134,Lightning
14467,BEAVER,Lightning
14473,NAU JALAG,Arson
14487,BUFFALO CREEK,Arson
14493,FY2015-JEFFERSON-012,Debris Burning
14505,VALADECES,Arson
14507,SUNSET,Other
14511,OWL,Lightning
14513,TAYLOR-2,Lightning
14521,HOLY GROUN,Arson
14524,HALU CREEK,Lightning
14534,BEAR LAKE WEST,Other
14535,CHEROKE,Accidental
14537,HALLOWEEN 2,Other
14542,CHURCH,Arson
14560,"CHARLES CIRCLE, AL",Debris Burning
14562,PIT2,Accidental
14568,FY2001-POLK-008,Arson
14571,STATE35,Other
14575,3 MILE CREEK,Other
14583,LUCILLE,Arson
14591,DRY LAKE,Lightning
14595,POWER POLE,Utilities
14599,SMITH GL,Lightning
14618,RISINGER,Debris Burning
14619,MP351,Debris Burning
14620,HELLS KITCHEN,Lightning
14622,SCHOOLHOUSE,Lightning
14629,III-A,Utilities
14630,TURKEY RIDGE,Arson
14631,COLUMBIA FALLS,Arson
14636,ALL T-3849,Accidental
14637,HUMMING BIRD,Arson
14640,S/R CHAPTER,Debris Burning
14646,20233,Arson
14650,STAR FORK,Debris Burning
14657,BRADEEN,Other
14665,4026,Debris Burning
14668,LITTLE WILD HORSE,Lightning
14672,FY2000-LIBERTY-064,Debris Burning
14678,TRI-RANCH COMPLEX,Other
14680,FW,Accidental
14683,FY2015-COFFEE-068,Lightning
14688,STAR,Lightning
14693,CORN,Arson
14694,WHISKEY ROCK,Arson
14696,OWINZA,Utilities
14697,17,Other
14699,FY2012-TROUP-009,Debris Burning
14701,NORTH CRAWFORD,Lightning
14707,30021,Other
14709,IDELBROOK DRIVE,Debris Burning
14712,10023,Debris Burning
14716,FY2012-WILCOX-045,Debris Burning
14720,FY2015-LONG-021,Debris Burning
14722,SANDY,Lightning
14724,TOUQERVILLE ASST. #1,Debris Burning
14728,WARD RESERVOIR,Lightning
14739,MESQUITE,Lightning
14741,FY2012-GLYNN-008,Debris Burning
14761,SPRING,Utilities
14767,APPLE DRIVE,Accidental
14769,RINCON 1,Other
14780,RT. 18/MEATHOUSE FK.,Utilities
14783,PALMER CREEK,Accidental
14788,FY2000-CAMDEN-078,Arson
14791,HALL RD,Debris Burning
14792,GREENWAY,Lightning
14802,DEADWOOD,Lightning
14805,GENERAL,Other
14808,LOGY COW,Accidental
14815,TRACKS,Other
14819,FISHTRAP #2,Debris Burning
14827,PIEDMONT,Utilities
14832,SHURTZCYN,Accidental
14833,PARSNIP,Lightning
14837,RAIN,Lightning
14859,PATT,Accidental
14860,EAST 1053,Lightning
14862,PIPELINE,Lightning
14863,20118,Arson
14866,FY2002-PULASKI-033,Debris Burning
14868,FY2013-DODGE-069,Accidental
14871,30408,Other
14872,SVS NW 18,Lightning
14873,RED WASH,Lightning
14885,490,Lightning
14887,BUCK CREEK #3,Arson
14889,BANDY,Arson
14892,LIVINGSTON - 175,Arson
14899,HWY 245 PUMPING STATION,Other
14910,FY2014-FORSYTH-001,Accidental
14911,FY2000-HARALSON-073,Arson
14915,LORENZO,Accidental
14920,REID,Arson
14925,2.52015E+12,Accidental
14939,TARR FIRE,Debris Burning
14942,KIRKWOOD/CDF T12 2,Debris Burning
14943,FY2013-COLQUITT-037,Debris Burning
14944,BURNING BARRELL,Debris Burning
14955,MILLS SPRINGS,Debris Burning
14956,LIAR FIRE,Debris Burning
14957,FY2013-COOK-020,Debris Burning
14969,ROYAL FIRE,Lightning
14980,FY2002-GORDON-038,Accidental
14990,BUFFALO,Utilities
14991,COW CREEK,Lightning
14997,WILDHORSE,Debris Burning
15010,TREAD FIRE,Utilities
15014,FRUIT STAND FIRE,Accidental
15021,FRANCIS,Other
15024,HAZEL,Accidental
15032,HATCHET CREEK HUNT CLUB (01),Other
15045,BIG MARY,Other
15047,HEDGECOTH ROAD FIRE,Other
15061,BLANCHARD LAKE,Other
15073,JACOBS ROAD,Debris Burning
15079,CHANCE BAY  (67),Lightning
15082,10345,Debris Burning
15088,HIGGINS FIRE,Debris Burning
15091,STOP HOLLOW,Arson
15093,NATIONAL GUARD ROAD,Other
15094,BETWEEN,Arson
15095,164,Other
15096,PFF,Other
15103,RUSSON DR.,Debris Burning
15104,EQUINE,Lightning
15110,GILLETTE,Other
15115,RAVINES FIRE,Arson
15125,CREEP,Debris Burning
15126,LONG LAKE,Arson
15137,FY2014-LAURENS-111,Debris Burning
15138,BO SHEPARD,Debris Burning
15152,RL 313,Accidental
15153,WALKER,Other
15164,MONTMORENCY #1,Other
15170,4-BALES,Utilities
15178,CAN CREEK #2,Utilities
15181,COLD SPRING,Arson
15191,88,Arson
15197,LNU HOUGH,Arson
15198,JAKE'S MOUNTAIN FIRE,Arson
15201,ROCK CREEK,Lightning
15202,SIGN 3,Arson
15205,RL047,Accidental
15211,UPPER,Lightning
15212,UPTON,Debris Burning
15215,RIVER ROAD,Accidental
15216,BUTLER RD FIRE,Other
15217,SANDHILL,Arson
15220,7040,Other
15221,1122,Utilities
15225,83RD,Debris Burning
15228,BROWNRANCH,Debris Burning
15234,RED LAKE 263,Accidental
15235,20177,Arson
15239,465,Debris Burning
15241,BLACKJACK,Lightning
15254,IVY,Other
15263,READ,Other
15265,CHURCH,Accidental
15272,TOMS CANYON,Lightning
15274,LA VERKIN,Debris Burning
15280,RED HILL,Lightning
15282,FY2003-HOUSTON-001,Lightning
15291,LINDEN - 124,Debris Burning
15300,HAWLEY,Lightning
15308,RED LAKE 192,Arson
15314,N ELMER CT,Accidental
15318,LINDEN - 13,Debris Burning
15340,ANGUS,Other
15347,SCOTT SIDE,Lightning
15351,MILL CREEK,Arson
15358,MYRON,Debris Burning
15363,A0807003,Accidental
15372,FY2002-CANDLER-061,Debris Burning
15382,MARIO # 2,Debris Burning
15385,HORSESHOE,Accidental
15391,CRATER,Utilities
15395,FY2002-CHATTAHOOCHEE-010,Accidental
15407,RINCON 4,Arson
15414,BENS LANE,Utilities
15417,HENDERSON - 046,Utilities
15418,AGENCY CK.,Debris Burning
15424,SLAUGHTER,Utilities
15427,7RIVERS,Other
15435,HANS FIRE,Debris Burning
15436,ROCKYRIDGE,Lightning
15437,SANFORDRX,Other
15438,CRAIG PT,Lightning
15440,CAMP,Arson
15441,OGEECHEE,Debris Burning
15443,CORAL,Lightning
15454,FY2014-TREUTLEN-036,Debris Burning
15456,STRADER,Accidental
15457,FY2012-GLASCOCK-013,Other
15464,RHODES LAKE,Other
15473,PUMPERNICK,Lightning
15477,ROCK SPRINGS #2,Debris Burning
15485,CHUN LEE,Utilities
15488,HAGER SPRINGS,Lightning
15490,MORNING FOG,Arson
15493,WEST,Lightning
15496,RL012,Accidental
15503,SANDS,Lightning
15508,FY2011-BULLOCH-129,Accidental
15509,ALLANSON,Lightning
15513,BAR CREEK,Lightning
15517,BASE,Other
15519,RUTH CREEK,Lightning
15520,I5  S/ CANYON RD,Other
15528,CEMETARY,Other
15534,63 SOUTH,Other
15537,SOUTH POINT,Accidental
15540,FY2011-GLASCOCK-010,Debris Burning
15541,10527,Other
15551,HOLCOMB,Other
15554,LOZEAU 2,Other
15556,RL280,Debris Burning
15557,HORSE,Accidental
15559,NOBODY,Other
15569,FY2002-GLYNN-001,Arson
15575,140,Lightning
15576,FY2012-JENKINS-002,Lightning
15578,R/RLADD SPRINGS,Debris Burning
15581,CONVICT,Utilities
15596,STONEY RIDGE,Lightning
15602,SPRAKER,Lightning
15611,WEED,Debris Burning
15612,PORTAL,Lightning
15615,CAMPBELL,Debris Burning
15621,SPORTSMEN,Other
15629,BIRDSPRINGS 1,Arson
15634,BOUNDARY,Lightning
15637,BUCKHORN,Accidental
15643,RL466,Arson
15644,HILLISPEAK,Lightning
15648,BLACK RIVER FALLS CO-OP 1,Debris Burning
15649,9143,Debris Burning
15650,6204,Lightning
15653,WARDEN FIRE,Debris Burning
15654,CRAMPTON,Lightning
15664,BISCARA,Lightning
15674,SALT SPRINGS,Other
15675,DRY CREEK,Arson
15677,MAPLE,Lightning
15689,HIGHWAY,Debris Burning
15692,THOUSAINDAIRE,Debris Burning
15694,IDLEWILD,Other
15696,FY2014-JENKINS-013,Debris Burning
15698,MM109 I84,Utilities
15700,CREAM CAN,Lightning
15711,JOHNSON,Other
15716,CENTER,Arson
15725,6227,Utilities
15727,FY2013-HANCOCK-017,Debris Burning
15728,SCOTT HALL,Debris Burning
15735,WINDING STAIR 4,Arson
15739,NEW HOPE RD.,Debris Burning
15741,RL 171,Accidental
15744,HOMESTEAD FARM RD,Other
15746,CHITTY,Lightning
15753,POWER,Lightning
15765,FY2014-TATTNALL-004,Debris Burning
15769,COYOTE,Lightning
15773,GRIFFIN,Lightning
15775,PYBURN LN,Debris Burning
15778,POWELLSVILLE,Debris Burning
15790,STRONG,Other
15793,FY2011-CHARLTON-090,Other
15799,MULE FIRE,Lightning
15810,WORK CENTER,Debris Burning
15817,MANNING,Lightning
15818,RIVER BEND,Lightning
15822,MAPLETON,Debris Burning
15828,KISWASH,Other
15834,7.72014E+12,Accidental
15835,FM 96-10,Other
15842,LITTLE FLATS,Lightning
15863,COLD SPRINGS,Other
15866,JOE MOSES,Lightning
15875,NEAL,Other
15883,DEER CREEK,Lightning
15886,BUTCHER,Other
15887,FY2011-BIBB-009,Debris Burning
15891,BOO11181735,Other
15909,1.57201E+13,Accidental
15910,GREEK SPRING,Lightning
15911,TH1702,Arson
15919,LENA,Utilities
15927,FY2012-COFFEE-037,Debris Burning
15930,ROCK MESA,Lightning
15934,TIOCANO,Arson
15944,FRALEY ACRES,Debris Burning
15947,RUBBLE,Other
15956,POISON SPRING,Lightning
15957,SADDLE,Utilities
15958,DONALDSON TRACK (1),Lightning
15962,FY2002-WAYNE-061,Arson
15965,THUNDERBOLT,Lightning
15967,SLEEPER,Lightning
15968,ADAMS ROAD MULTIPLE,Arson
15971,FIRST NOTCH,Lightning
15974,GARRETT DRIVE FIRE,Arson
15980,FY2012-CHARLTON-012,Lightning
15982,UINTARIVR2,Arson
15986,PINE GATE,Utilities
15994,SLOP,Other
16005,HOMER DRIVE,Debris Burning
16010,FLAG,Arson
16011,STATION FIRE,Arson
16013,FY2011-POLK-079,Debris Burning
16040,WILLIAMS BAY  (23),Lightning
16048,HAMS RIDGE,Lightning
16063,LINDEN - 6085,Debris Burning
16069,FY2003-BRYAN NORTH-003,Debris Burning
16074,COPPER (36),Arson
16077,LONG,Other
16078,FY2011-WORTH-083,Debris Burning
16089,FY2012-CANDLER-020,Debris Burning
16090,COFFEE,Other
16096,COUNCIL HOLLOW,Other
16105,RUBICON,Lightning
16107,ELK,Other
16112,FY2002-LEE-015,Debris Burning
16113,BAITCAMP,Other
16114,SHEEP#4,Lightning
16115,FY2000-WAYNE-104,Lightning
16118,ACOMA #2,Debris Burning
16124,151,Arson
16125,PINTO,Utilities
16128,MILL CREEK,Utilities
16132,4 CORNERS #2,Debris Burning
16137,BLAIR,Arson
16138,LAVATO,Accidental
16141,HOMEBOY,Lightning
16144,COAL LICK,Utilities
16146,11-000142,Utilities
16148,SHORT,Utilities
16153,NORTHMARSH,Lightning
16157,TOLIVER,Lightning
16160,NORLAND4N,Lightning
16162,KENNETH RAY,Debris Burning
16165,STEVENS,Other
16168,FY2002-WALKER-062,Arson
16172,RL374,Other
16175,CLARK,Other
16176,LINCOLN 2,Accidental
16181,BOONE TRL,Debris Burning
16182,EC20501,Arson
16183,COMPLEX 4,Other
16187,BIG BOTTOM,Lightning
16194,1.15201E+13,Accidental
16206,BERRY,Utilities
16209,SELAWIK RIVER,Lightning
16213,WAGONTONGUE,Lightning
16216,TRIMBLE,Lightning
16218,MODOC POINT,Arson
16219,LONG CANYON,Lightning
16223,12_4168,Other
16230,ALAFIA RIVER STATE PARK (29),Arson
16231,HWY 700 FIRE,Debris Burning
16232,DELORES ROAD (57),Arson
16238,FY2011-MILLER-047,Arson
16240,MILL CREEK,Other
16241,LITTLE EGYPT,Lightning
16242,HIGHLINE,Other
16244,DAY AFTER FIRE 1,Accidental
16251,GOAT'S MILK,Lightning
16254,UNNAMED FIRE 0547,Other
16260,SCUDBUSTER,Accidental
16261,6117,Utilities
16265,MILL CREEK,Lightning
16271,BART,Other
16279,STARSHIP,Other
16280,UNNAMED FIRE 0524,Utilities
16281,ALAMOS,Other
16285,FY2011-BURKE-025,Other
16286,FY2015-DECATUR-024,Debris Burning
16296,TIMBER-LANE,Arson
16304,COCOPAH,Accidental
16305,SPRING,Lightning
16313,SHAKTOOLIK RIVER,Lightning
16318,PONY FARM FIRE,Other
16327,7.52014E+12,Other
16332,SLASHER,Arson
16342,IRVINE FLATS,Utilities
16348,PANCAKE,Lightning
16353,RL123,Accidental
16354,MIWENI,Accidental
16355,KINI,Accidental
16357,PICABO,Lightning
16362,LIZZY CYN2,Other
16364,ANDERSON BEND ROADSIDE FIRE,Arson
16366,NE 30256,Arson
16368,CARDBOARD FIRE,Debris Burning
16370,OTA 83,Lightning
16372,ARROYO,Arson
16373,TREE HOUSE,Arson
16374,RED LAKE 186,Arson
16384,DUST(05),Debris Burning
16386,30266,Other
16387,FY2011-TATTNALL-052,Debris Burning
16389,30434,Arson
16393,FOUR MILE,Lightning
16394,10DIAMOND,Lightning
16397,DECOY FIRE,Accidental
16405,CANE GAP FIRE,Debris Burning
16409,MATHEWS2,Arson
16416,D LINE,Utilities
16420,CLAYTON,Debris Burning
16426,FY2011-PAULDING-038,Debris Burning
16429,FERRIS,Lightning
16440,FY2014-WARREN-015,Debris Burning
16454,FY2011-MCINTOSH-044,Debris Burning
16456,HILL,Accidental
16457,JOHNSON,Utilities
16461,30447,Arson
16465,SKIP JACK,Arson
16468,LITTLE COTTONWOOD,Lightning
16480,"17375 THOMPTON RD, AL",Debris Burning
16482,SIMMONS PIT (57),Other
16483,TRAVIS CREEK,Lightning
16486,STINKY,Other
16491,OTA 60,Utilities
16493,BONGO FIRE,Accidental
16499,MOUNTAIN RD,Other
16508,KWIK RIVER,Lightning
16509,HORIZON,Other
16511,TIRE,Other
16513,HONDA HILL,Accidental
16521,FY2002-CHATTAHOOCHEE-016,Debris Burning
16526,MORGAN RAN,Debris Burning
16532,RED,Lightning
16542,PONDEROSA,Lightning
16543,KELLOG,Debris Burning
16548,FY2014-LINCOLN-004,Debris Burning
16550,BOWKER,Accidental
16567,HARRISON ASSIST,Other
16569,CASEY POND,Debris Burning
16573,SOUTH WESLEYAN BLVD.,Debris Burning
16577,WOODVILLE - 59,Debris Burning
16579,53 POYNER ROAD SOUTH,Utilities
16580,SCATTERED WILLOW,Lightning
16581,NUMBER 6,Debris Burning
16585,IRON PIN,Arson
16589,PARKER RIDGE,Arson
16592,LIGHTNING,Lightning
16596,TWIN POND,Other
16601,QUAIL,Lightning
16603,S HWY 29   KELSEYVILLE,Other
16604,TORREON,Other
16613,POWER LINE,Utilities
16616,WHISKEY,Debris Burning
16617,ALLAN,Other
16620,LITTLE GRIDER,Lightning
16626,HENDERSON - 028,Debris Burning
16627,FY2011-FLOYD-105,Arson
16628,WARM SPRINGS RIDGE,Debris Burning
16633,IBAPAH,Utilities
16637,OLD SCHOOL,Accidental
16646,JACK TAR 3,Arson
16648,NUMBER 2 ROAD (35),Other
16651,TURKEY POINT WEST (13),Arson
16658,FY2011-LAURENS-133,Accidental
16664,FY2001-JASPER-027,Debris Burning
16674,GOBBLER'S KNOB,Lightning
16675,CARTER SPRINGS,Other
16683,FY2000-GORDON-045,Debris Burning
16694,SLATE,Lightning
16698,TRAILEE,Utilities
16701,CHINATOWN2,Other
16707,FY2014-CRAWFORD-010,Debris Burning
16708,8048,Debris Burning
16717,JACOB,Lightning
16723,HENDERSON - 108,Debris Burning
16724,MOON,Lightning
16725,GATE,Other
16730,HOLMES,Arson
16731,CLEAR,Arson
16735,SMOKE CREEK,Lightning
16741,KNUTESON CREEK FIRE,Other
16750,SACATE,Other
16758,BARREDA GARDEN,Debris Burning
16763,BOWL,Lightning
16764,UPPER BOX DEATH,Lightning
16767,BUCKMAN(54),Lightning
16768,N. SUMMIT 1,Lightning
16770,FY2015-UPSON-015,Accidental
16777,SHARP CEMETARY,Other
16778,HOLY ELK,Accidental
16783,LIVINGSTON - 377,Arson
16800,BOBCAT,Other
16808,05-10-THUNDER ROAD FIRE-2011-07-0183,Utilities
16816,14022,Debris Burning
16819,FY2013-COLQUITT-030,Arson
16823,DELONEGHA,Arson
16826,GUN RANGE,Other
16829,WORTHAM,Arson
16834,BUCK,Lightning
16837,TUCKER,Other
16842,DOG TOWN COMPLEX,Other
16851,SWEET WELL,Lightning
16852,THOMAS,Debris Burning
16854,ZODIAC 3,Other
16856,LIVINGSTON - 90,Arson
16863,DIXIE,Debris Burning
16864,SOLADAD LANE,Other
16865,JONES PRARIE,Other
16873,CREW CREEK,Lightning
16878,WALDO,Debris Burning
16882,SPUR CAP,Accidental
16887,FY2014-TATTNALL-016,Debris Burning
16891,FY2013-BERRIEN-008,Debris Burning
16899,FY2000-WILKINSON-042,Debris Burning
16909,FY2011-BURKE-030,Debris Burning
16922,PIERCE IC,Debris Burning
16924,MEADOW VALLEY,Other
16927,LOOP FENCE,Other
16933,FY2002-LONG-013,Other
16934,FY2011-MONROE-011,Debris Burning
16939,MEED LAKE,Lightning
16942,BASELINE,Arson
16943,PETEGAINES,Debris Burning
16944,IRON HOUSE,Accidental
16945,COCKS COMB,Lightning
16950,VULCAN,Other
16955,MONTURA RESERVOIR (26),Lightning
16958,ASPEN,Lightning
16961,KINGSBURY,Lightning
16966,T KING,Debris Burning
16978,FY2014-LAURENS-049,Debris Burning
16984,ONE SPOT (62) - 0204,Lightning
16990,OLDKENTON,Accidental
16993,561EMAKER3,Arson
16994,MARSH FORK,Arson
17000,TRAIL CREEK,Lightning
17001,STILLWATER,Lightning
17009,26TH STREET,Accidental
17012,20151,Arson
17014,HILL,Arson
17032,ZIERS,Debris Burning
17033,PRETTY BUTTE,Lightning
17039,FY2011-BACON-070,Debris Burning
17043,WINDMILL,Utilities
17048,NOTCH,Lightning
17052,RBC - CORRAL LAKE,Lightning
17060,DUNHAM CREEK,Accidental
17061,LINDEN - 6014,Utilities
17062,201031,Debris Burning
17068,CTR 2,Arson
17082,1.23201E+13,Other
17086,COURT2,Other
17092,165,Arson
17093,CYPRESS TREE FIRE,Lightning
17098,MARION MANN ROAD  (12),Debris Burning
17102,138,Debris Burning
17106,7013,Debris Burning
17123,020 EARLY MORNING,Other
17127,MCKITTRICK,Lightning
17128,RED MESA NHA,Other
17134,FY2015-TALIAFERRO-004,Debris Burning
17135,123,Accidental
17137,LYNNFIELD,Accidental
17140,DENVER,Debris Burning
17143,HORSETAIL,Other
17148,CARIBOU,Debris Burning
17151,FY2012-SUMTER-015,Debris Burning
17152,CAMPBELL,Accidental
17159,BOG LAKE,Lightning
17162,OCKLAWAHA CREEK (20),Lightning
17174,CATCLAW,Lightning
17176,JOY(54),Lightning
