,fire_name,latitude,longitude,state,remoteness
130,NICHOLS,36.78186,-96.004014,OK,0.260836229987279
131,MULTIPLE,33.2892,-110.4575,AZ,0.4022346600857496
133,FY2000-STEWART-045,32.0988,-84.7623,GA,0.1605963665451146
139,LASILOO,35.0623,-108.8434,NM,0.3851686196017032
142,LAKERIDGE1,33.9848,-110.0857,AZ,0.3980950892780281
146,AGARD,46.1144,-100.6923,ND,0.301474802346217
154,LINDEN - 411,33.58500167,-95.08555556,TX,0.2542088211236235
157,BUCK LAKE,29.1325,-81.62,FL,0.1348264311774838
165,HOLZERS,48.0443,-118.3853,WA,0.4754027581898195
173,WLDFR-BOYE,41.533,-96.0333,NE,0.2588358689611001
187,FRIEBORN,33.7319444,-109.026667,NM,0.3878281738083908
192,LONESOME,40.22861111,-120.6713889,CA,0.5011084791821621
193,FY2014-BLECKLEY-006,32.51734167,-83.2437,GA,0.1466857763978688
199,CROOKED RD,42.9758,-108.9493,WY,0.3823820474380426
219,FY2012-FULTON SOUTH-002,33.55983163,-84.47725968,GA,0.1570137205854405
220,FY2015-TREUTLEN-022,32.45075,-82.61933333,GA,0.141160670333434
222,8.52014E+12,31.55336502,-90.38181672,MS,0.2120601734587761
225,LEYBA,35.5773,-106.3884,NM,0.3608299295520969
227,INDIAN CREEK,37.73305556,-91.075,MO,0.2145037092842483
230,BURLINGTON ROAD (39),30.3595,-84.8169,FL,0.1624007292139953
232,WEST HUNGRYLAND (43),27.0042,-80.3196,FL,0.1251510307054246
236,GREEN MOUNTAIN,47.95055556,-115.6347222,MT,0.4476025693539021
237,LUCKY2,34.197,-103.532,NM,0.3340096913726771
241,1448 LIBERTY CHURCH RD.,36.0107,-80.650283,NC,0.1213598340723935
261,BANNING LANE,35.34527778,-82.63527778,NC,0.1393861218551078
262,YATSATTIE,34.8834,-109.034,NM,0.3871542684643707
266,MARSHMELLO,43.255,-100.8376,SD,0.3036802720230633
269,212DAYSCHL,45.0917,-100.4587,SD,0.2995062100566414
274,VALLEY 2,33.50411,-116.3795,CA,0.4612355740522211
286,LONG  CYN.,33.7556,-109.6509,AZ,0.3939582478635892
290,BLUEBELLSP,39.4555,-109.9757,UT,0.3939250170951713
291,COWHOUSE ISLAND 1,31.0201,-82.23888889,GA,0.1388270409937599
297,ELIZABETH STREET,39.28266823,-80.58605765,WV,0.1190527112701793
308,FREEWAY 2,39.951177,-122.200397,CA,0.5169308264175019
312,WENDY,35.92829376,-119.3128859,CA,0.4894498767334381
313,CREW CAB,46.1525,-100.6915,ND,0.3014581870491482
318,ELK TRACE,37.7073881,-81.73046153,WV,0.1299865007721712
319,FY2002-FLOYD-087,34.4816,-85.1115,GA,0.1621090790503823
323,FIGHTER,48.8525,-99.685,ND,0.291362207306082
338,HONDO,35.6845,-106.5517,NM,0.3623568554325755
344,LEFT HAND,33.77555556,-108.8855556,NM,0.3864116504135366
357,UPS FIRE,35.6995,-80.25333333,NC,0.1180362007557749
361,FY2016-HOUSTON-003,32.37227778,-83.84344444,GA,0.1521547062121024
368,1603 17 MILE FIRE,42.9808,-108.4483,WY,0.3774589159374497
377,SENECA FIRE,38.86861111,-79.36194444,WV,0.1084531228262617
382,SHEEP PASTURE ROAD FIRE,35.12,-77.83833333,NC,0.0971625642740896
384,TOWN HILL,37.10551834,-82.8234024,KY,0.1400410206112583
385,9N CORN,42.2017,-96.5558,NE,0.2634855151153379
389,FY2014-WALKER-051,34.67888889,-85.30972222,GA,0.1637680142564319
396,SHAWN,48.8655,-99.8528,ND,0.2929564751840856
401,SQUAWCREEK,41.2352,-116.7362,NV,0.4606533913802617
407,10316,34.41000001,-95.91016668,OK,0.2613862463907999
419,ROLLF,39.936181,-122.09345,CA,0.5158369078627127
421,FLAT TOP,35.7239,-94.5942,OK,0.2482595837950465
424,GABLE FIRE,34.8,-102.24,TX,0.3211932712657261
439,COON CREEK FIRE,37.10174179,-83.29543304,KY,0.1442580853792219
441,OAK,38.886764,-123.16392,CA,0.5273652849121566
445,ADA STROUD RD FIRE,35.36848333,-77.94196666,NC,0.0979164033188904
455,SWEENEY,37.21778,-87.73299,KY,0.1841991915309835
462,WARD ROAD,46.38,-120.337,WA,0.4956296560361821
464,96,47.9783,-99.0225,ND,0.2852066737854397
470,CADE,41.81416667,-123.35833329999998,CA,0.5280936571717687
474,SHEEP,34.33805556,-117.7088889,CA,0.4741295275066108
482,THUMB,35.06555556,-112.0052778,AZ,0.416416398838074
486,HOPE RD FIRE,34.383334999999995,-80.966667,SC,0.1251640706558876
489,FY2011-UPSON-070,32.84417763,-84.40365152,GA,0.1568441449371005
494,ZURFLUH GRASS FIRE,44.69583,-122.72389,OR,0.5205759301880752
501,FY2011-GLYNN-044,31.27108084,-81.46903512,GA,0.1317947260004877
504,FY2012-STEPHENS-013,34.51570968,-83.35523917,GA,0.1463328540476784
508,MM 141,40.62478,-118.22181,NV,0.4759560222942425
509,SURVEY,44.29277778,-111.2758333,ID,0.4049254722154451
525,DOOLEN'S RIDGE,35.0192,-96.6255,OK,0.2677170736744372
528,109,38.79,-95.83,KS,0.2581467864755162
531,BROKEN AXLE FIRE,34.98655,-77.31756667,NC,0.0926948831327971
538,RL007,47.8686,-95.0864,MN,0.2481583090307548
542,JOHN VANN,35.7242,-94.5592,OK,0.2479328220372507
545,FY2015-BALDWIN-004,33.03691667,-83.31219444,GA,0.1469335683955166
547,VOLT CIRCLE,35.74901666,-81.03288333,NC,0.124901880720901
552,RIVER,26.49373,-98.8915,TX,0.2956911557622441
564,CEDAR GAP,36.27722222,-82.135,TN,0.1343757004848391
566,LIVINGSTON - 226,31.18938333,-95.61306667,TX,0.260857665858909
589,OTA 14,43.14277,-116.07345,ID,0.4532531997988818
597,NAVAJO 1,35.25564,-109.02519,NM,0.3868363367582998
599,44,39.15,-95.1,KS,0.2511378725309803
603,SECO,36.23638889,-121.4586111,CA,0.511221204060621
604,CROCKER 2,35.4125,-119.7908,CA,0.4946349756139305
608,BAR,39.49527778,-121.12583329999998,CA,0.5060989563401526
614,CAL-PAC 17,41.0332,-123.6512,CA,0.5314339526666767
621,5.92014E+12,30.6826327,-88.57432712,MS,0.1961768044766867
624,RL385,47.9733,-95.2519,MN,0.2496878398688602
625,FY2014-LAMAR-007,33.12555833,-84.19145,GA,0.1547448596559975
626,1019,39.29333,-88.368889,IL,0.1889289423543185
627,DAILY,47.25583,-107.15017,MT,0.3635890012615688
630,LIMPY,45.5275,-106.9812,MT,0.3623306078746455
632,CARVER CEMETERY,38.4443,-83.2043,KY,0.1427360370627437
633,WILLOW CREEK,46.6617,-108.5317,MT,0.3772416246178178
636,FOURMILE,41.6908,-116.4258,NV,0.4573374505922234
640,WILSON,47.34027778,-114.74666670000002,MT,0.4387897863003969
641,MILE MARKER FIVE 5,39.44166667,-82.28555556,OH,0.1340571549659119
642,OLD HWY 27,36.86638889,-84.49083333,KY,0.1550976497279488
644,FY2002-DOOLY-024,32.2014,-83.7933,GA,0.1518283634225365
646,CHRISTOPHER,34.2722222,-111.035556,AZ,0.4072993035087304
647,PGE #2,36.05823,-119.49154,CA,0.4911949250731027
648,CON6029750,35.3947,-92.8079,AR,0.2318452060429836
654,KENSINGTON,39.83333333,-98.83333333,KS,0.2859650587401048
662,CIG,31.9167,-111.849,AZ,0.4169934233558297
668,FY2002-TAYLOR-040,32.4415,-84.1977,GA,0.1552804556401079
670,HELPMEJACK LAKES,66.9106,-153.675,AK,0.8586912894035243
676,BOULDER,45.18722222,-116.3205556,ID,0.4551229929663078
684,WEITAS,46.57666667,-115.4566667,ID,0.4460807082137461
685,RUSH FK.,39.43448578,-80.97662087,WV,0.122437589585753
697,SHOE,42.8848,-116.10859,ID,0.4536962940809865
700,#9,34.8366667,-92.7663889,AR,0.2318062895759225
711,OTA 127,43.2533,-116.1603,ID,0.4540914367171806
714,BALLI,26.13027778,-98.15666667,TX,0.2890701506293072
715,21007,37.35,-94.83,KS,0.2495337379860136
721,SHIPROCK 1,36.7875,-108.6911,NM,0.3826516883500435
722,DOYLE,39.9932,-119.9877,CA,0.4942202298306937
725,52,39.01,-95.44,KS,0.254386019240133
730,PHOEBE ISLAND,47.855,-91.00777778,MN,0.2103208496821123
734,ARLENE,31.33888889,-110.54583329999998,AZ,0.4045070487834594
744,57,45.9916,-89.8529,WI,0.2000995831016367
751,FENCEMAKER,40.0649,-117.8626,NV,0.4725553878801749
755,493,26.41166667,-98.92027778,TX,0.2960396582067426
761,FY2000-POLK-105,34.0531,-85.2719,GA,0.163831513910958
769,LICK CREEK,35.367933,-84.39156,TN,0.1550827434169301
775,FY2000-GRADY-073,30.8988,-84.1749,GA,0.1562173027614379
779,18TH AVE NE (11),26.2639,-81.514,FL,0.1364048411776897
788,CARROL FIRE,28.34296667,-97.71205,TX,0.2828904830398058
791,6.12015E+12,31.8859302,-89.20268668,MS,0.2010089759528797
804,FY2015-SEMINOLE-001,31.01638889,-84.89972222,GA,0.1626370065565003
808,COLUMBIA,44.70000082,-67.80000333,ME,0.0067724431516416
811,2360 NORTH,26.3825,-98.605,TX,0.2930787647604218
817,POWERPLANT,42.60045,-114.39701,ID,0.4365927949789825
818,SKU CANAL,41.7782,-122.6395,CA,0.5206880592619922
826,FY2002-CARROLL-037,33.6588,-85.1642,GA,0.1631233796990803
834,BRIMESTONE,36.3156,-84.47952,TN,0.1553090833349424
838,OLD TIMER,46.44665,-111.96946,MT,0.4112447677645359
847,PEARL DRIVE,34.74143333,-76.63756667,NC,0.0869210491891021
848,T,45.94527778,-115.3161111,ID,0.4448132550745456
858,BAX23614311,36.26666,-92.28333,AR,0.2264689712068655
860,CLARK,37.78222222,-118.9413889,CA,0.4846290400558102
866,RL439,47.8569,-94.8964,MN,0.2463847401782282
873,WOOD CANYON COMPLEX,32.2286,-104.3106,NM,0.3428787857430964
874,762,30.81772821,-89.62257954,MS,0.2056535221623097
886,TRIBAL,35.525,-106.3809,NM,0.3607884790592182
888,JACK,33.715,-109.1166667,AZ,0.3887247478700211
890,WHITNEY PASS,36.55,-114.0792,NV,0.43621870131364
892,OGEMAW 02 - DECKERVILLE,44.45954,-84.0329,MI,0.1477518121289611
898,TURNER CREEK,48.7929,-118.8518,WA,0.4800297438094687
900,BUTTERFIELD,34.505,-117.88,CA,0.4757571277580561
904,EASTER,37.1167,-107.2839,CO,0.3686804830504246
909,CUMARO,32.56916667,-110.4536111,AZ,0.4026973240532081
919,30311,35.51670001,-94.75148335,OK,0.2498524734697373
921,9.2014E+11,34.93883823,-89.22131759,MS,0.199106099457603
922,HONEY SPRINGS,35.5367,-95.4822,OK,0.2566723818528424
925,COUNTY ROAD 31  / COUNTY,38.90525,-121.960717,CA,0.5149555902398779
928,MT ZION,32.1403,-90.6644,MS,0.214226392051672
932,COTTONWOOD,35.28333333,-108.35,NM,0.3801870871714341
933,EAGLE SPRINGS SANDPIT,35.3,-79.66666666,NC,0.1131031893429668
937,HORSE,33.8962,-104.4169,NM,0.3427541118471446
947,SNOW FALLS FIRE,45.25945,-88.44646999999999,WI,0.1874278694626883
953,CORNPATCH,33.1501,-111.7865,AZ,0.4154972881546717
956,FY2000-WAYNE-046,31.618,-81.8955,GA,0.1353229735364645
970,HORSE PASTURE FIRE,36.50583333,-81.0585,NC,0.1246864920119881
974,HUBBARD LN,46.4054,-120.747,WA,0.4998206447373718
977,021 DAY OFF,31.59722222,-92.54388889,LA,0.2319670433636802
984,RAT RIVER,45.48194444,-88.49444444,WI,0.1878069475254435
988,CARPFARM,35.2758,-98.3019,OK,0.2833693855117736
994,15-0052,37.28,-94.87,KS,0.2499453709607821
1001,18TH DRIVE,43.80695,-89.25458,WI,0.1952303568133884
1006,FY2011-TWIGGS-040,32.62073868,-83.34583685,GA,0.1475253861168117
1008,FIFTEENTH,36.4103,-96.8369,OK,0.2688724444466612
1010,CACTUS;S,43.9592,-99.2376,SD,0.2882182582048926
1013,HICKEY,36.4739,-96.6853,OK,0.2674098596427618
1016,GENE,36.78,-107.2744444,NM,0.3687752230257162
1017,READING,40.595767,-122.8924,CA,0.5237789032686173
1018,CURTIS ROAD,47.4922,-117.4899,WA,0.4664174266260488
1022,ROCK,42.12944444,-105.3236111,WY,0.347268890141323
1023,382,31.63911778,-90.25931278,MS,0.2108716092139753
1030,20034,34.9846667,-94.97000001,OK,0.2522208130376069
1031,WILKEY RD. 11/22/14,35.52415,-84.95835,TN,0.160080783439457
1035,WALKER,44.94805556,-119.7075,OR,0.4895584553827361
1040,SELECK (64),29.0151,-80.9726,FL,0.1291827551868525
1041,MAUER,44.95083333,-112.76666670000002,MT,0.419553040568664
1042,30117,35.95900002,-94.65166664,OK,0.2486561415818349
1045,"361 NEWTON HILL RD., AL",32.142708899999995,-88.11415190000001,AL,0.1908896026551019
1056,TWP ROR,39.133333,-89.828333,IL,0.2023445304259523
1062,LEONS,48.4667,-108.6007,MT,0.3775836853386385
1083,SCATWIL 01,35.7917,-109.1932,AZ,0.388164538896629
1086,FAREWELL,35.79222222,-82.01472222,NC,0.1335908441971995
1087,NYGARD,48.1109,-105.3189,MT,0.3456020950982479
1089,JEEP TRAIL,39.5214825,-78.32149812,WV,0.0990036673545735
1093,DEAD MAN,45.563,-107.6611,MT,0.3689676308740806
1097,MOORE,36.51855,-86.556833,TN,0.1739198607290766
1099,COLE CREEK,45.71166667,-102.5286111,SD,0.3191574983615628
1101,RED LAKE 178,47.92056,-95.37611,MN,0.2508591227198471
1103,LENA,34.6769444,-93.2147222,AR,0.236065848248909
1104,JAKE,37.81888889,-91.93388889,MO,0.2223807236587727
1113,JAZZY GIRL,35.1311,-96.7453,OK,0.2687742173102563
1122,GOOD LUCK,45.27,-107.6309,MT,0.3687484611685987
1127,CHUI CHU,32.7537,-111.7699,AZ,0.4156080005094777
1129,551 JARVISBURG RD,36.17985,-75.84795,NC,0.0791836627741668
1131,TEN MILE,38.8333,-109.8173,UT,0.3926606408628357
1140,FY2001-PULASKI-038,32.2356,-83.5304,GA,0.1494506354110081
1145,MILE POST 6 FIRE,32.27305556,-110.6427778,AZ,0.4047790532758002
1151,DALY,44.0772,-99.4571,SD,0.2902663826549814
1153,JOLLY RODGER,45.66833333,-118.04833329999998,OR,0.4724810330446247
1158,515,39.33,-95.77,KS,0.2573239583164093
1172,FOWLERS FIRE,29.41944444,-83.00055556,FL,0.1468817832948685
1180,HILL,38.3525,-122.537833,CA,0.5211721427187956
1182,PEONY,48.6419,-119.1895,WA,0.4834905121898516
1197,SIMMONS POND FIRE,34.1485,-78.74366667,NC,0.1057146148931524
1199,RED WILLOW,35.8911,-108.8073,NM,0.3843106397640985
1207,MUSKEGON 03,43.202603,-86.09146,MI,0.1666745052706237
1210,WESTON HILLS,44.6061,-105.3747,WY,0.3469422878493886
1211,2011-CARUSO FIRE-0106,27.4463,-82.4795,FL,0.1439172674464419
1212,LONG BRANCH,37.96294298,-81.40544539,WV,0.1269670220083258
1213,DEEP CREEK,30.35333333,-82.52694444,FL,0.1419085828251425
1214,FY2001-BRANTLEY-088,31.3266,-81.8971,GA,0.135554791586081
1215,STOCKDALE,42.0439,-111.7747,ID,0.4106375473838362
1235,CHANDALAR,67.983,-147.7194,AK,0.7920140379564891
1236,WILLIAM SMITH ROAD,39.55455495,-80.10804517,WV,0.1147017842356197
1247,FY2014-LOWNDES-009,30.91638889,-83.02333333,GA,0.1458992731677273
1251,BOULDER-WYMAN,46.40694444,-113.2186111,MT,0.4236939310217429
1260,4TH OF JULY,34.8972,-114.6331,AZ,0.4427582451848415
1261,REBURN,46.25,-100.6837,ND,0.3013609944366258
1271,H HOLLOW 2,38.75,-112.7174,UT,0.4214493807064239
1276,8054,30.83833333,-95.82066667,TX,0.2630707628837547
1277,UNNAMED FIRE 1981,37.989414,-120.412489,CA,0.499534414844526
1285,STERLING FIRE,47.087222,-68.048611,ME,0.0082786079712164
1291,OLD WHETSTONE,38.554,-82.8766,KY,0.1397550172819313
1294,MURPH,48.41666667,-107.73333329999998,MT,0.3690872485694116
1297,FY2012-DECATUR-001,30.77560111,-84.54970796,GA,0.1596758853267033
1304,DEER LAKE,36.8039,-96.2222,OK,0.26287142027464
1308,6272,32.60381667,-94.68415,TX,0.2511362255884786
1309,HIDDEN AGENDA,47.9472,-117.9017,WA,0.4705096583807591
1310,POPLAR,43.73333333,-85.7,MI,0.1629658713465891
1312,RL059,47.8725,-94.9872,MN,0.2472304076828242
1323,DONUT,43.0839,-102.5936,SD,0.3205603245974695
1327,BLUE,33.3001,-110.434,AZ,0.4019949379320811
1328,UNIT 48,35.76823,-106.29758,NM,0.3598306298482567
1334,LINDEN - 6283,33.80944444,-94.96555556,TX,0.2529370420154513
1336,HENDERSON - 385,31.81123333,-95.6897,TX,0.2611118518276161
1338,RL37,47.8777,-95.0419,MN,0.2477407339920072
1339,WOODVILLE - 200,30.42027778,-94.66861111,TX,0.2526186584023004
1340,HURRICANE ASST. #3,37.155594,-113.400836,UT,0.4290971856488308
1351,OTA 11,43.24603,-116.15787,ID,0.4540693788415519
1357,REICHWEIN RD,40.7575,-76.39,PA,0.0815908358519938
1368,FY2013-BULLOCH-053,32.45363889,-81.70655556,GA,0.1330365070530956
1370,BROOLYN BRIDGE,31.05277778,-89.18444444,MS,0.2014644034815482
1375,MCNIGHT FIRE,30.75407502,-103.7228986,TX,0.3383016995185006
1376,"LOST CREEK RD, AL",33.932387899999995,-88.1866787,AL,0.1903113416233723
1383,WHITE BODY,47.6,-101.9004,ND,0.3127177736711846
1393,CAYUSE,45.44222222,-114.5575,ID,0.437322629793248
1399,UNKNOWN,38.4621,-107.8663,CO,0.3736702770322662
1406,LAGUNA,31.9117,-111.8935,AZ,0.4174391313095424
1416,LONGHOLL2,45.6894,-97.1606,SD,0.2680889334234844
1423,RL192,48.0361,-94.8855,MN,0.2462520013181262
1430,CANADA,36.11472222,-105.84166670000002,NM,0.35518914224633
1432,FY2015-COWETA-013,33.316125,-84.54743056,GA,0.1578091476297478
1436,LIVINGSTON - 231,30.49633333,-95.34413333,TX,0.2588725393122921
1441,DEEP LAKE,26.03333,-81.3,FL,0.1347212166478804
1454,HIDDEN VALLEY,42.885,-114.0164,ID,0.4326802336716109
1455,MS2003,47.9722,-98.8726,ND,0.2837861775121442
1459,BIRTHDAY (38),29.3822,-82.7936,FL,0.1450654502296131
1466,AIRPORT,34.6264,-95.318,OK,0.2557007572313801
1474,LA PLATA 3,36.8728,-108.1854,NM,0.3776409435167815
1480,SLICK CREEK 8,43.99672,-107.87236,WY,0.3714790745830358
1482,HORSE STABLE,36.3425,-96.8003,OK,0.2685671110664713
1489,SOME KUDZU,36.86805556,-84.4025,KY,0.1543036770471524
1496,RL489,47.8797,-94.8908,MN,0.2463284299069914
1512,8017,30.84941667,-94.75041667,TX,0.2530493828391187
1518,FLEMING,38.7025,-120.5541667,CA,0.5006226999845609
1519,WHEAT,33.4735,-111.8174,AZ,0.4155834106993865
1520,STATE,33.706481,-117.2667,CA,0.4700658490293332
1522,RT 10 NEAR SAND CREEK,38.02980904,-82.12238461,WV,0.1333018139792616
1523,LIVESTOCK YARD,46.94317,-114.13546,MT,0.4327431125420959
1528,FITZHUGH WILLIAMS LN,34.30333333,-78.32166667,NC,0.1019122040630606
1529,VALLEY CRK 184,47.161,-114.2815,MT,0.4341613660108352
1531,OWL SPRINGS 1,36.107690000000005,-108.85778,NM,0.3846791918600514
1536,HAWK CREEK,46.2739,-108.1459,MT,0.3735435746957025
1539,RADIO RANGE,34.83888889,-76.80666667,NC,0.0883321685211944
1542,HONDAH,34.0945,-109.9229,AZ,0.396416371765476
1543,LIVINGSTON - 52,30.79303333,-93.71521667,TX,0.2434458042224692
1555,PETERSONII,45.6833,-101.1338,SD,0.3057970478335361
1564,H. GROUND,33.3501,-110.434,AZ,0.4019608307114053
1565,RIDGE,36.47333333,-106.245,NM,0.3589063041954912
1566,MOSQUITO CREEK,38.80916667,-116.68194440000002,NV,0.4611938706795995
1567,11-00098,44.076,-107.924611,WY,0.371966405740741
1568,"9769 HWY 159, AL",33.5995656,-87.87323,AL,0.1876800217623948
1583,HOLIDAY,40.696883,-122.151983,CA,0.5161057436028238
1585,FY2013-DECATUR-006,30.91525278,-84.53261667,GA,0.159415053552872
1593,GOOD FRIDAY,48.4903,-108.7985,MT,0.3795230784704735
1599,PENNER POND 21,29.48277778,-81.80916667,FL,0.1362187326665453
1604,RL636,47.873000000000005,-95.0431,MN,0.2477527730545561
1608,SAPLIN HEAD,30.19416667,-84.81638889,FL,0.1625264819008556
1610,WEBB ROAD,37.95896804,-82.46998378,WV,0.136433239171972
1613,GREEN PASTURES FIRE,36.1975,-78.18826667,NC,0.0995783715133378
1620,GARDEN BURNER,36.8961,-94.7139,OK,0.2486991654712118
1624,HOURGLASS,40.05,-105.05,CO,0.34547035242051
1626,LIME KILN #1,42.28833333,-112.3533333,ID,0.4162980136482848
1629,MELTON 1,47.4289,-114.3914,MT,0.435210229795721
1633,30463,35.87686666,-94.55785001,OK,0.2478292581100214
1634,JOSHUA,32.85722222,-108.8655556,NM,0.3868417788140208
1639,15-0156,38.78,-99.56,KS,0.2933614581710186
1642,FY2012-DOOLY-025,32.12529791,-83.78150273,GA,0.1517777149736345
1643,JOHN STARR,40.5375,-110.1622,UT,0.3952794688827863
1665,17-PILGRIM TRAIL FIRE-0309,30.7819,-87.4196,FL,0.185590279336703
1669,C-1 WASH,34.1184,-110.4423,AZ,0.401529731573383
1670,LAWN MOWER MAN,35.69616666,-80.07783333,NC,0.1164887781965915
1673,FIRE BALL,31.165,-89.14,MS,0.2009728631222234
1677,LEWIN,33.77845,-117.459261,CA,0.4719675132355048
1681,BIG HLW 2,34.58149,-88.24894,MS,0.1904567985394607
1687,MERRIWEATHER,30.43527778,-103.7019444,TX,0.338347311286101
1688,BANKS,47.38306,-95.49222,MN,0.2520442470333146
1694,A. J. LANE,34.13116667,-78.85683333,NC,0.106719664953379
1695,FY2011-CALHOUN-034,31.45949288,-84.51523117,GA,0.1588471196348877
1705,HEISLER RD (32),30.925,-85.5009,FL,0.1681199106342925
1707,OTA 11,43.26661,-116.12597,ID,0.4537408294975928
1710,ASH,39.175,-119.83,NV,0.4929891277624032
1711,RUUD,35.01218333,-84.25651666,NC,0.1540904717134426
1712,LESLIE,39.825,-120.375,CA,0.4982558867576891
1713,KING RUN ROAD,38.85449901,-79.83531315,WV,0.1126298582422056
1714,DEAD CALF,35.8506,-85.173683,TN,0.1618228484604182
1717,STONE HOUSE RD.,37.99803165,-80.8932798,WV,0.1224095086061174
1718,WALATOWA,35.64444,-106.72669,NM,0.3640873078532418
1719,CAP1,33.4001,-103.7172,NM,0.3363266350063121
1720,MULE PASS,31.5,-110.0,AZ,0.3989946897054304
1737,WINNIE DAM #1,47.35444444,-94.17194444,MN,0.2397186201489152
1751,SECTION 30,35.0833,-114.6175,AZ,0.4424856355936264
1755,ANDERSONBR,47.55,-109.5841,MT,0.3874134285479929
1761,FY2014-MACON-010,32.35810278,-84.20607778,GA,0.1554151772795582
1762,NORTH BEAVER CREEK,39.06333333,-104.9327778,CO,0.3447927460742708
1764,"27301 CORD 32, AL",31.3509515,-85.33582320000001,AL,0.1663092557736565
1772,B FIREHOLE,41.338,-109.3985,WY,0.387415084378756
1776,BOLGER FIRE,35.2078,-87.971067,TN,0.187533651098207
1788,008-032,41.248333,-89.238056,IL,0.1960038789995819
1791,TH1815,47.9875,-99.0296,ND,0.2852724490090927
1792,FY2015-EARLY-015,31.26656944,-84.876375,GA,0.1622373390982769
1794,FY2012-MERIWETHER-006,32.91407029,-84.56089574,GA,0.1582072885726937
1795,NOT READY,26.2275,-98.35555556,TX,0.2908609379607019
1797,LINDEN - 235,32.89211667,-94.68493333,TX,0.2509410759729775
1811,CAN,41.61869,-87.18137,IN,0.1771215748135723
1817,RT301EAST,35.0856,-108.7867,NM,0.3845969430286684
1818,BUTTERMILK,41.7,-117.48333329999998,NV,0.4680264962472933
1819,"1724 ROBERTSMILL POND RD, AL",33.587684499999995,-86.3352112,AL,0.1737374760507828
1835,MHM SE 36,63.6828,-151.0856,AK,0.8279174524665769
1837,JACK KNIFE II,44.73,-101.8288,SD,0.3127047870502883
1852,JEFFERSON,41.995131,-122.603839,CA,0.5202372079678437
1855,PAPOOSE,45.27,-114.805,ID,0.4398507301035446
1861,WESTWATER 1,39.0636,-109.1575,UT,0.3860492265122077
1869,DEER VALLEY FIRE,36.559666,-81.31263299999999,NC,0.1269084647498219
1870,RL212,48.0613,-94.9967,MN,0.2472867549013422
1878,35 E,31.67583333,-92.85027778,LA,0.2347476096770173
1881,EUCALYPTUS 2 (26),26.5983,-81.37899999999999,FL,0.1348984872647163
1882,WATER TOWER,34.65,-94.705,OK,0.2499565938718246
1883,NESP DUMP,48.1375,-119.0061,WA,0.4817016862014107
1892,STEAMHOLLO,38.507090000000005,-78.56877,VA,0.1016627117933439
1898,HARMON II,36.90167,-84.94834,KY,0.159189728465144
1902,DITCH,33.1173,-111.9179,AZ,0.4168250873584964
1906,17 - HWY 90 FIRE,30.5347,-87.4156,FL,0.1857455581298899
1909,LOST 2,36.4347,-96.0783,OK,0.2617302635747451
1913,30445,35.61921666,-94.79961669,OK,0.2502400187340283
1922,(OK) LARSONS (746),27.2492,-80.74600000000001,FL,0.1287009490419723
1923,RED HOUSE 2,41.1567,-116.0739,NV,0.4540016255441002
1926,15-BLUE DUCK FIRE SET 2-0121,29.6254,-83.2385,FL,0.1488392108827982
1939,FY2015-RANDOLPH-009,31.6625,-84.77501944,GA,0.1610302884903012
1945,MS2208,47.975,-98.8296,ND,0.2833780611517464
1949,UPO,43.3311,-102.1958,SD,0.3166566067613543
1955,RED LAKE 069,47.8692,-95.1805,MN,0.2490380696393768
1959,FY2003-BARTOW-006,34.31863882,-84.89151561,GA,0.1602348992646736
